,Player,Position,Age,Height,Weight,GP,EV ATOI,PP ATOI,PK ATOI,EV G/60,PP G/60,PK G/60,EV A1/60,PP A1/60,PK A1/60,EV A2/60,PP A2/60,PK A2/60,GOALS,PRIMARY ASSISTS,SECONDARY ASSISTS,POINTS
1,Patrick Kane,R,26.9,70,177,78.58,16.633808000000013,3.218063000000005,0.0977889999999999,1.1161267540045092,2.9824382194864625,0.6768440914432555,1.0185504713561495,2.3197462235111734,0.3635328206174656,0.545429273833087,2.3163873159868564,0.005255294423031233,38.518101203388326,31.52554999623057,22.072354491571645,92.11600569119054
2,Sidney Crosby,C,28.2,71,200,75.89,16.03409599999998,3.644495000000005,0.4178049999999998,1.0630640539149776,1.823392011491241,0.14388770715818466,1.0620556417195617,1.6461778299161538,0.5468749984792639,0.689930561820159,2.3540573078772913,0.0,30.040716471099596,28.921768899722576,24.62885529803503,83.5913406688572
3,Alex Ovechkin,L,30.0,75,238,78.27,16.030610999999983,4.164448999999999,0.029594,1.3493903737715438,3.4928325377957132,0.19649636165449225,0.28615902544270566,0.6889243146840962,0.27072059434567697,0.5455103772952595,1.7037960392426326,0.19120711829894266,48.41586909203202,9.881842821328593,21.987154926165736,80.28486683952636
4,Jamie Benn,L,26.2,74,205,80.09,14.982278999999982,3.257833999999999,1.564893999999998,1.0030858416424695,3.119496698093889,0.7894789189034103,0.7526472327252318,1.3991945774253705,1.0589854561487977,0.6584168644652401,2.118241152719236,0.023353621237496337,35.27532704067949,23.282308608000925,21.675926820409714,80.23356246909013
5,Joe Thornton,C,36.2,76,220,81.15,14.601941999999998,3.3609239999999967,0.2306609999999999,0.5331973467691213,1.4007816329616514,0.17473886157650764,0.9323887993884057,2.2339566600535505,0.3354423125045708,0.9181082272068788,2.094154124035814,0.25254789056007065,16.952157612123056,28.95178941466047,28.0,73.90394702678353
6,Tyler Seguin,C,23.7,73,205,73.46,15.83039900000001,3.392526000000001,0.049113,1.186536443729446,1.9381294338615729,0.1874676316618215,0.8284057548660608,2.118617896441924,0.3568803889571753,0.394081012288855,2.0943611751382845,0.021772383289759615,31.486549733077304,24.186568443232495,16.0,71.6731181763098
7,John Tavares,C,25.0,73,216,76.43,16.796031999999986,3.3057970000000045,0.0680280000000001,1.066903557347733,1.5896963075831907,0.3368325419133955,0.8874295745774405,1.9460732945803842,0.11114906660618974,0.25198479425240905,2.2294710788056715,0.0640916975027879,29.550224678090604,26.779159145732105,15.0,71.32938382382271
8,Joe Pavelski,C,31.2,71,200,81.2,15.31300299999998,3.408689000000004,0.8790459999999986,1.053992596255185,2.369615680500778,0.2738906411190978,0.6297435638063811,1.6871899500581724,0.3462646157746069,0.39350567104845174,1.8628245591388402,0.007334546212954174,33.09960629703544,21.0,17.0,71.09960629703545
9,Blake Wheeler,R,29.1,77,220,80.63,15.014030000000012,3.125815,1.3722589999999997,0.9324608929922211,0.9669340447116695,0.849196327625919,1.0500896445810846,1.579862600527606,0.8022430803692184,0.403196409677188,2.076641209680025,0.024935698627434867,24.463388075590434,28.649750272799608,17.0,70.11313834839004
10,Evgeni Malkin,C,29.2,75,195,71.44,15.276670000000006,3.736346000000005,0.2249769999999999,0.997426546140006,2.5189708395107657,0.413352561138129,0.772685839835467,2.0311152613341426,0.2745769616154735,0.29881490602588134,2.3485927099312907,0.2674388460026267,30.49728266186731,23.0,16.145551957323704,69.642834619191
