,Player,Position,Age,Height,Weight,GP,EV ATOI,PP ATOI,PK ATOI,EV G/60,PP G/60,PK G/60,EV A1/60,PP A1/60,PK A1/60,EV A2/60,PP A2/60,PK A2/60
1,A.J. Greer,L,21.8,75,208,66.79,11.483933999999998,0.8748880000000002,0.40450799999999987,0.5151740000000001,1.423711,,0.570782,0.9254260000000002,,0.39014699999999997,1.4436739999999997,
2,Aaron Ekblad,D,22.6,76,215,78.23,19.72249299999998,1.951938000000001,2.211182999999997,0.37266000000000044,1.5333289999999988,0.034418,0.26244000000000034,1.0815899999999992,0.028595000000000002,0.4337890000000002,,0.016253
3,Aaron Ness,D,28.4,70,184,61.03,14.620057999999997,0.16010700000000017,0.6087469999999999,0.13927199999999992,,0.019662000000000002,0.21614100000000008,,0.07961599999999996,0.25436900000000007,,0.33110799999999985
4,Adam Clendening,D,25.9,72,194,65.28,16.295368999999997,1.5702880000000006,0.283872,0.18308400000000002,0.3315980000000001,0.151718,0.30400299999999997,1.2100099999999998,0.10443799999999999,0.3286430000000001,,0.04644000000000001
5,Adam Cracknell,R,33.2,74,209,71.1,9.179702999999998,0.11624300000000008,0.5244689999999997,0.599202,,0.38053900000000007,0.47734800000000005,,0.20703699999999992,0.24447200000000005,,0.0
6,Adam Erne,L,23.4,73,212,64.64,10.538874000000007,0.153787,0.315181,0.613711,1.2013139999999995,0.170228,0.347733,0.8918260000000005,0.43680500000000017,0.34811100000000006,1.5151519999999998,0.009398
7,Adam Gaudette,C,22.0,73,194,65.0,11.926273000000007,0.4556120000000001,0.10381299999999995,0.6769279999999998,1.4722280000000003,,0.42195700000000014,0.7886020000000004,,0.40555199999999997,1.4080509999999995,
8,Adam Henrique,C,28.6,72,195,80.61,13.284451,2.4140450000000007,1.3296350000000003,0.6411960000000004,2.234911999999997,0.18659699999999999,0.6382039999999999,0.6745989999999995,0.5238970000000002,0.33784499999999995,1.4696710000000002,0.006455
9,Adam Larsson,D,25.9,75,209,76.82,19.27421200000002,0.1558719999999999,1.9505300000000008,0.13735899999999976,0.6827920000000003,0.037550999999999994,0.26835099999999984,0.829389,0.2298719999999999,0.3381769999999998,,0.09971599999999999
10,Adam Lowry,C,25.5,78,208,68.82,12.285464999999983,0.34196900000000013,2.116592000000003,0.6075180000000002,1.3621959999999986,0.3727360000000003,0.6584889999999999,1.2445180000000002,0.43240900000000027,0.4188380000000001,1.3632400000000007,0.2263000000000003
11,Adam McQuaid,D,32.0,76,210,67.82,14.662317999999996,0.046583000000000034,2.198484,0.13796299999999984,0.7077920000000003,0.002333,0.24730700000000005,1.1858889999999993,0.49224799999999996,0.273072,,0.050843
12,Adam Pelech,D,24.1,75,210,71.71,17.037047000000022,0.4100189999999994,1.8754120000000003,0.1579939999999999,0.7240690000000004,0.0,0.27057,1.4249219999999996,0.022767,0.3444949999999998,,0.06530600000000002
13,Adrian Kempe,"C, R",22.0,74,200,80.51,12.642248000000013,1.4325989999999993,0.4759150000000002,0.7375399999999986,1.704001000000001,0.7013969999999999,0.43795799999999924,1.3242800000000003,0.18941099999999994,0.3566709999999996,1.2409249999999998,0.050462999999999994
14,Alan Quine,C,25.6,72,203,63.17,10.922450000000001,0.16396899999999998,0.5549509999999998,0.590197,1.1964270000000001,0.20877400000000002,0.41841100000000003,0.9888740000000003,0.18206099999999992,0.31440199999999996,1.1484479999999997,0.042406
15,Alec Martinez,D,31.2,73,210,70.84,18.00087299999999,1.3936389999999992,1.9482489999999983,0.21837900000000027,0.427843,0.019548999999999997,0.22959500000000027,1.5993139999999983,0.0,0.3915840000000006,,0.07376100000000001
16,Aleksander Barkov,C,23.1,75,215,78.93,16.454470000000004,3.585342999999998,1.851471000000003,0.9813810000000008,2.3587920000000033,0.353409,1.0619509999999985,1.850040000000001,0.30748499999999973,0.6235620000000008,2.040012,0.0
17,Ales Hemsky,R,35.1,72,177,72.1,11.377614,1.3952509999999998,0.26536700000000013,0.7578900000000002,1.434362,0.3171690000000001,0.7472560000000001,1.2584419999999996,0.5646950000000002,0.45918799999999954,1.4121179999999995,0.12859599999999996
18,Alex Biega,D,30.5,70,195,62.2,13.171225999999999,0.0933939999999999,0.9060929999999991,0.160168,0.6267560000000002,0.017869000000000003,0.321173,1.0295199999999993,0.12960100000000005,0.35965899999999995,,0.15714900000000004
19,Alex Broadhurst,C,25.6,72,178,72.29,11.401342,0.12535300000000002,0.056871999999999964,0.7271110000000001,1.145301,,0.440364,0.8641260000000004,,0.2877309999999999,1.3531019999999996,
20,Alex Chiasson,R,28.0,76,208,71.89,12.151084000000012,2.027984,0.8835130000000005,0.7109420000000007,1.4795749999999992,0.216943,0.4290769999999998,0.7439940000000003,0.43571600000000005,0.11415399999999992,1.338170000000001,0.035977
21,Alex DeBrincat,R,20.8,68,178,79.8,13.716407999999992,2.654005999999998,0.22554000000000018,1.3312220000000012,2.425633999999998,0.475447,0.586757,1.7280860000000007,0.7212010000000001,0.6561549999999999,1.4336179999999994,0.24530000000000007
22,Alex Formenton,L,19.1,75,195,62.91,11.848513,0.181879,0.15246300000000018,0.6705959999999996,,,0.43011900000000003,,,0.411766,,
23,Alex Galchenyuk,C,24.6,73,194,71.18,12.877599000000005,3.0018319999999985,0.06517699999999998,0.7084059999999995,2.0679870000000027,0.29676000000000013,0.44368599999999975,1.649119999999999,0.143182,0.3900499999999996,2.542429,0.0
