,Player,Position,Age,Height,Weight,GP,EV ATOI,PP ATOI,PK ATOI,EV G/60,PP G/60,PK G/60,EV A1/60,PP A1/60,PK A1/60,EV A2/60,PP A2/60,PK A2/60,GOALS,PRIMARY ASSISTS,SECONDARY ASSISTS,POINTS
1,Connor McDavid,C,21.7,73,193,82.0,17.54058019580841,3.175128231827418,1.1199195576985677,1.3109103428624862,2.0904166732508354,0.3748299725224009,1.0267206375502724,2.6181818541759774,0.030742445372210776,0.6721049942421079,2.3775651420305035,0.00012518544134115483,41,36,26,103
2,Auston Matthews,C,21.0,75,208,78.23389530181885,16.703807141685488,2.546856161355972,0.08014358236789704,1.656629770181215,2.241515289240986,0.08312403597598728,0.8137613119340658,1.811062012219929,0.00011298946621957197,0.5014566086015351,1.0395792338280136,0.0020823569373228214,44,24,14,82
3,Leon Draisaitl,C,22.9,74,208,80.33938105901082,15.796531078179678,3.063920316918691,0.9587044534047445,0.927519912460084,3.1902309813270917,0.7189226557614155,0.8783006461063505,2.226328367149643,0.00010923386907504025,0.6225951771757811,1.5891216442100926,0.0022384427078913772,34,28,20,82
4,Steven Stamkos,C,28.6,72,182,79.51846742630005,14.999381427311897,3.387246699488163,0.3314476818084717,0.8799771992766561,3.288131215871116,0.4615442258331026,0.9053884705509235,2.520118322270135,0.0001081335231571405,0.6111455954510724,1.6993018908749238,0.0017104112910402574,32,29,20,81
5,Nikita Kucherov,R,25.3,71,181,79.0621770620346,15.803935981273652,3.334945723295212,0.01956807789802551,1.0505563386134136,2.3075030841858184,0.17660764168410553,0.8298541291855668,2.3775945426828287,0.0001089890397877374,0.5339891091234984,1.881458078169926,0.0006910727270372382,32,28,19,79
6,Artemi Panarin,L,26.9,72,173,81.54752087593079,16.8475567261219,2.9988695334613324,0.049172452912727996,1.0967516923518064,1.5857832555016445,0.33866046541015427,0.8783443677392475,1.7020915087678787,0.00010945518385987423,0.5971045715608079,1.2075704230059654,0.0,32,27,19,78
7,Johnny Gaudreau,L,25.1,69,165,79.35813474655151,15.726390035963059,3.3187453341543676,0.04453728294372559,0.847316473396082,1.5259628348372698,0.5401187647860731,0.8590317747817214,2.667074727993761,0.00010792140900689848,0.5674321642698813,2.523939623273964,0.0017200027586244605,24,30,23,77
8,Sidney Crosby,C,31.2,71,200,78.90244150161743,16.214501113224028,3.3694926257133484,0.23940535516738892,1.0074015536927177,1.971404573357854,0.2125771674856621,0.8676084490690926,1.7501815342305413,0.00010968301417675424,0.611257806182489,1.6322998251210528,0.002437234545282064,30,26,20,76
9,Tyler Seguin,C,26.7,73,205,78.34930229187012,15.911317051839829,3.0776585777282714,1.0965671422958374,0.9985995951812765,2.834812734921203,0.2852277235743185,0.7948948449926093,2.05894401132633,0.00011222847103781761,0.49772644868333243,1.5837166670957887,0.0025970946537824256,33,25,17,75
10,Clayton Keller,R,20.2,70,178,81.6992102265358,15.869740611362458,3.314981255245209,0.15804011914134025,1.1494010941218349,2.0039851044209227,0.37661699468670584,0.6977208460986303,1.5675613607214827,0.00011334501984287991,0.4681328161575257,1.6551818669671605,0.0018726306090657181,34,22,18,74
11,Patrik Laine,L,20.5,77,205,82.0,14.868232357978822,3.2967829244613647,0.07256927042007447,1.5375384062906114,2.5570080942288858,0.1388248605017995,0.5849018875735311,1.2917606557023233,0.00011274660075036209,0.3976056380957409,1.0666534992201406,0.007370759745862693,43,18,13,74
12,Mark Scheifele,C,25.5,75,198,74.75976252555847,16.149443401908876,3.100973604774475,1.1153979963779448,0.9954241183442422,2.4487120835214897,0.28441978769695025,0.922592024503398,1.5776153482541808,0.0160391260464241,0.6379047180421064,1.4826894454125987,0.0,30,25,19,74
13,David Pastrnak,R,22.4,73,195,77.78226693471272,15.197997312736511,3.013307978439331,0.058792274904251096,1.1375611654039697,2.6093171627412493,0.05385946777765428,0.8177604904526343,1.8581036990148003,0.00011310590242356995,0.5711009979240937,1.4110713933616965,0.0020603301868893547,33,23,17,73
14,Patrick Kane,R,29.9,70,177,79.22178840637207,16.305870315265658,3.1832624009370805,0.06025893383026123,0.9477985875652915,2.067352798821002,0.36191331720397646,0.8200474807031333,1.6066075720652084,0.00011304072850688107,0.5851556716291495,1.468072843411869,0.002047164932058426,29,24,19,72
15,Aleksander Barkov,C,23.1,75,215,72.0992796421051,16.676023590660094,3.4131413489341735,1.744950740480423,0.896293221505271,3.0065526422158113,0.3753668966762348,0.8532318562735766,1.7764289871120127,0.008658730788399918,0.5647220375734006,1.3681024282033618,8.601301864032105e-05,31,24,17,72
16,Jonathan Huberdeau,C,25.3,73,200,82.0,16.258685264873506,3.4468669509530065,0.10096936220526695,0.8266410655960389,1.9391941608046033,0.1110569844906635,0.7831359172280478,1.675358666626766,0.00011045540561134545,0.5185378981653966,1.6766480800567398,0.0023712498278072973,28,25,19,72
17,Mathew Barzal,C,21.4,73,190,82.0,15.52102134809494,3.431573965215683,0.054367030388116834,0.7227019451522718,1.2342898687602994,0.0236383606511297,0.8807525826003931,2.2248846136488423,0.00010835395224014084,0.5803734980280232,2.0937075350289165,0.0017677508746738802,21,29,22,72
18,Mikko Rantanen,R,21.9,76,215,81.74655938148499,16.1668359500885,3.834767115306854,0.05617978138923645,0.9546572151892773,1.6945239991804266,0.108344868281872,0.6944404917693142,1.47688071528025,0.0001130550601816253,0.46073584456877337,1.4962419919535797,0.002143173196825635,30,23,18,71
19,Mitchell Marner,R,21.4,72,181,82.0,14.819699594497681,2.4901181505680086,0.07863906314373016,1.072543154473462,1.8422532955665083,0.4770863245736847,0.7939553562389693,2.6204513178427646,0.0001118880471294393,0.45486195286329156,2.248654304771447,0.0018002294645004387,28,25,17,70
20,Nathan MacKinnon,C,23.1,72,200,76.31500029563904,15.591122995328902,3.3829758533477783,0.49808311564922336,1.009647987182255,1.8587173449213643,0.39661048312227976,0.839409622888304,1.856457162183786,0.00011277530172661883,0.5260438221152591,1.620745358675818,0.0023423491409290333,28,25,17,70
21,Jamie Benn,L,29.2,74,205,80.14967948198318,15.069379190427066,2.924676862335205,1.402958324933052,0.8914398295735327,2.503254132002594,0.3567188089708213,0.8282753626125277,1.821844727353591,0.045569747423065306,0.5893539702928036,1.448959372694498,0.0,28,24,18,70
22,Brad Marchand,L,30.4,69,176,76.79053616523743,14.629986346411705,2.667631621456146,1.6504432415962218,1.0115211627528593,2.180390399205962,0.8885811490969532,0.8383179836479762,2.312590274071958,0.09630239596804818,0.6011659504135078,1.963596281946369,0.0,28,24,18,70
23,Blake Wheeler,R,32.1,77,220,79.9655157327652,15.350915043145418,2.938207642841339,1.2837274003505708,0.7708463831626199,1.3705230414848395,0.3560545589879504,0.8274540206013596,2.957571047804163,0.05004574306101046,0.5894227564511256,1.5449472128334234,0.0,22,29,18,69
24,Claude Giroux,R,30.7,71,190,80.19610071182251,15.619145856213569,3.310055320072174,0.7901193598270416,0.7618132358500935,1.526841846716438,0.3559070144177614,0.680771978700606,2.5138417264508126,0.00011115432389717133,0.5127268207037022,2.4288678571108875,0.0018638699690638407,23,25,21,69
25,Sean Monahan,C,24.0,74,196,79.42705894261599,15.222790341711043,3.477519229364395,0.41351811633110047,0.8303338125676095,2.8898728226358905,0.02535996394137972,0.7314573432174889,1.539950936534686,0.00011363172590510507,0.4920546968715575,1.3431773617150973,0.0021074496915373764,30,22,16,68
26,Evgeni Malkin,C,32.2,75,195,68.96594190597534,14.825854355525971,3.430505934429169,0.05566198525428771,1.0723842096424248,2.4288781163914464,0.1307701008495365,0.8265327331290279,1.674825461595432,0.00011374177822040761,0.6049646113196285,1.9033088874193231,0.0,28,21,18,67
27,Alex Ovechkin,L,33.0,75,238,80.07081562280655,15.788283595234155,3.7326814284801486,0.04743147459030152,1.095638812862987,3.595004547176797,0.017566413955984416,0.5378922812995183,0.5381934121905407,0.00011052273677166256,0.4051548537251785,0.6984288925249815,0.0007320567616747821,41,14,12,67
28,Brayden Schenn,C,27.1,73,199,80.07052904367447,15.38701234035492,3.194422330379486,0.4944519329547882,0.8469267807732598,3.0020929217071273,0.1865862334849484,0.7135579693485161,1.1398437341357492,0.00011456402545021877,0.5140420516014826,1.0177618687324645,0.0025048602992723953,30,20,15,65
29,John Tavares,C,28.0,73,216,79.49071151018143,15.200074279594421,2.998747273397446,1.2777961275100709,0.878696144772828,1.7597745073631434,0.21486435223139871,0.8146810503413477,1.5757322453577123,0.020603845328038564,0.522455272773022,1.646681317389281,0.0,25,23,17,65
30,Kyle Connor,L,21.8,74,179,82.0,15.177696330547333,2.9594437465190886,0.029583141261339187,1.1165911649780318,2.0897183665706973,0.17311128281763796,0.6812307284488184,1.0706146169015132,0.00011408746523481284,0.5029044918691812,1.1528296000797564,0.0019603405876746534,32,18,15,65
31,Vladimir Tarasenko,R,26.8,73,228,79.66325706988573,15.483717538762093,3.1216211225271224,0.19890036873817443,1.1391845205419582,2.609345258785103,0.05615002636453259,0.6310516076684728,0.9050233598344395,0.00011050414732470628,0.5102142017510167,0.8242986958773566,0.0027106349461198474,34,17,14,65
32,Mark Stone,R,26.4,75,217,73.08030414581299,16.028319676876066,3.067059146571159,1.1371203704357147,0.8413229338528029,1.692135210772857,0.2622830752019805,0.8809754220109645,2.0074666157633665,0.00011242376744278879,0.5841634862842187,1.4707561239251674,0.002499193509764595,23,25,17,65
33,Brayden Point,C,22.6,71,180,81.64742136001587,15.853580651283265,2.5430923055171966,1.7469806906700134,1.1976862165765954,1.7754699374434546,0.4954317039663667,0.7164306538419956,0.6700319771427222,0.00011232284939683007,0.4060194290901979,1.3922962422544765,0.001740449891400864,33,18,14,65
