,Player,Position,Age,Height,Weight,GP,EV ATOI,PP ATOI,PK ATOI,EV G/60,PP G/60,PK G/60,EV A1/60,PP A1/60,PK A1/60,EV A2/60,PP A2/60,PK A2/60
0,A.J. Greer,L,25.8,75,208,75.09605478534633,9.3279279274845,0.1131434838707874,0.10981202335880746,0.6224419665730362,1.0692401605526016,0.20280486939125064,0.45057164526704396,0.6377240796480694,0.10033677831204985,0.3103271906476653,0.50520949468713,0.09949009760464797
1,Aaron Ekblad,D,26.6,76,215,75.78766552106077,18.690001449935508,3.1475177499357536,2.616557334431979,0.34464941768685126,1.8474616501793486,0.20076607334475716,0.459360108170474,1.7667102247750157,0.09999713239855834,0.29533609321352366,1.4316162949817215,0.09987961418204755
2,Adam Beckman,L,21.4,74,182,75.46101986629685,12.286335912849488,0.8343693170325452,0.22764290238190787,0.6430889194898768,1.1755870324025075,0.27136917883166034,0.6363590899832321,0.9552194419838486,0.12872181395667606,0.42172770183807895,0.9469725691785263,0.0943868407506756
3,Adam Boqvist,D,22.1,72,182,75.04935330661743,16.536597542882333,2.407925567850401,0.29953667910848925,0.40107928516553215,0.10003585855691521,0.09740968035614408,0.3439489928038099,1.511260372035598,0.09897251536011184,0.40478211540055137,1.3504328114159017,0.09933389934926802
4,Adam Brooks,C,26.4,72,179,73.75664258707017,10.059576329695336,0.2394301037636392,0.13862024794339134,0.5808907606535669,1.1578855372920698,0.43323929215951007,0.5887722860509925,0.9003797924858596,0.09858074572537845,0.3591579477262942,0.9897890273408791,0.09958000050489273
5,Adam Erne,L,27.4,73,212,71.72360585329983,12.46058194667319,1.0533149653732536,0.12483060148634828,0.7615879115474586,1.2076182070532457,0.1148432921786639,0.49634571833815466,0.5272320965056102,0.09947966548201517,0.32725786050610106,0.765031228458086,0.09970148242483592
6,Adam Fox,D,24.6,71,182,77.15157401695024,18.78623811060271,2.930226067688903,2.0102790354474447,0.33069784874810493,0.2252738037931138,0.06268896123296953,0.5104819525741251,2.960358247124834,0.10592280300884212,0.5782543041090208,2.7600429441418504,0.14703372875115203
7,Adam Gaudette,C,26.0,73,194,74.05332546724658,10.78140002624382,1.051285949341203,0.12104877991730989,0.7237911952806954,1.3559566162952366,0.09743345873023768,0.5066078186084045,0.7863196881343133,0.10023564461967571,0.3256450517915719,1.2009984426886557,0.09928762386336727
8,Adam Henrique,C,32.6,72,195,76.30600959099685,14.31894749510938,2.004378538908466,0.26948980840073067,1.227916369353028,1.86488296674854,0.22578822639996998,0.501369705487983,1.110478753225286,0.09893959792506396,0.4529462089962121,0.47860256544690793,0.0997332155321296
9,Adam Larsson,D,29.9,75,209,78.55370775643836,18.639635083346484,0.1294986706283167,2.4947071645340024,0.14797263219120715,0.49852318459895495,0.15947767638499002,0.3253111987485903,1.0536783647983026,0.10386127511965466,0.36070073693363236,0.9874601000144562,0.09274627285370997
10,Adam Lowry,C,29.5,78,208,73.77134373369385,12.1398868701173,0.8517884555776016,2.2010111028597827,0.6934318391674421,0.8314903909846357,0.6641244418012355,0.5107467920688035,1.2221175444539139,0.5357594963990334,0.4496754961814533,0.7057661844814294,0.017172872777490196
11,Adam Pelech,D,28.1,75,210,76.72770943563707,18.64551477495177,0.1495566264841612,2.2913116761207144,0.20930339406605086,0.5938346256670898,0.1003584695390364,0.4288836774362419,0.6972078261442223,0.09523284135470857,0.36692395791608057,0.9106781201914074,0.08747372382159792
12,Adam Raska,R,21.0,70,178,75.46576183926832,12.094869346053398,0.6212383082121484,0.06698166086530666,0.6708775882913556,,,0.4520121591830575,,,0.3406150092361606,,
13,Adam Ruzicka,C,23.4,76,215,73.68281741728792,10.48230596636229,0.3193346184487216,0.06390148759171677,0.716476609709975,0.7375817609142212,,0.5053530462028706,0.7188128794960242,,0.3793430577519217,0.5624960401145412,
14,Adrian Kempe,"C, R",26.0,74,200,79.58320716579495,14.202723685350296,2.94537377807059,1.5085011920969318,1.2759259109894598,1.964018337005494,0.38075874337950033,0.5719986562922732,1.4171918211709083,0.0412142450076767,0.37004096114384083,0.8512077530986571,0.08733416817964015
15,Alec Martinez,D,35.2,73,210,70.12821741374148,17.417744799819218,0.2788194071078183,1.397235055556933,0.24165525330696544,0.9027092539514546,0.09963731817807808,0.3573249541481383,1.1902729123006817,0.09966620237309665,0.43235450349917104,1.439161318010017,0.09981066441420675
16,Alec Regula,D,22.2,76,208,73.12237016971159,16.205038688674176,0.7063764321800001,1.2755032373299235,0.10567540027218578,0.5991948155802284,0.09991403547398035,0.21408858306274994,1.0773841226917136,0.10005672869243082,0.3415999199314612,1.1239175379052675,0.10039032121807928
17,Aleksander Barkov,C,27.1,75,215,76.48903416417522,15.0321569340093,3.456024251771245,2.14461858140353,0.9237461656800888,1.9180021092729334,0.35839805577966255,1.1594696926364894,2.4816026897786942,0.3142433814808887,0.7236685637375948,1.9900048680858113,0.05209422490826526
18,Aleksi Heponiemi,C,23.7,70,155,75.5576196679716,12.618703745788526,0.6467524629157446,0.20689006118142195,0.7729425559892931,0.8771935313972604,0.5715656324281602,0.5883500780283691,0.9569145558995278,0.5604453720256779,0.3187489827981762,0.7054825472510522,0.1461766931519258
19,Alex Barr��-Boulet,C,25.4,70,180,74.83761869307895,11.157631899519345,1.2013261757779317,0.09291814087427941,0.6550096783131163,1.0073434555496708,,0.5621472793440662,1.033423686284832,,0.3404346276454455,0.8582796204227378,
20,Alex Belzile,R,31.1,72,196,74.9698814576383,10.408347608432551,0.4846682028241771,0.25726506874184873,0.5300677228501822,1.2333203132785844,0.11667901379166856,0.4085107815570662,0.7081406483456052,0.09931300816700589,0.30016133625633684,0.6349266219627894,0.09948456237055854
21,Alex Biega,D,34.5,70,195,73.95233060929814,14.10076237248492,0.2172918896512452,1.3227424397764085,0.19550698360948182,,0.10047686003348555,0.26234374299597785,,0.1002475659107005,0.34062696791363345,,0.10041368630466055
22,Alex Chiasson,R,32.0,76,208,71.7970472238818,10.347799229150974,1.845798677201468,0.05165428541122319,0.6820050835436844,2.1235200715024596,0.31814535021094914,0.34423611032096296,1.3052103225102445,0.22155739638104419,0.40206242823272365,0.16924662434038829,0.09815053620485488
23,Alex DeBrincat,R,24.8,68,178,79.80931825060193,15.489916620960477,3.3910031320745446,0.5054533031324047,0.8869262259485952,2.0708498477120902,1.0656834108529905,0.7432443063582982,1.2651722856692482,0.1756207982971216,0.296511756623146,1.1748216803363465,0.10121244615957883
24,Alex Formenton,L,23.1,75,195,78.56770125284983,13.104475296870955,1.0541362440319166,1.7825634171062383,0.9286892106816018,1.020111019816457,0.7146447420189843,0.6564695634963507,0.9717504389617766,0.10576058248359918,0.4438546042112841,0.6324001001261339,0.09481678287022798
25,Alex Galchenyuk,C,28.6,73,194,74.41855106279685,12.120429808766293,0.942260620871462,0.12452331291733876,0.8213776557683703,1.3631447239722838,0.09877056175151411,0.5409819854664333,1.086034724956104,0.099593244653984,0.4100819140511984,0.9083652486614604,0.09947258376778054
26,Alex Goligoski,D,37.2,71,173,76.06820565281883,16.481875722754012,0.6504688605654142,1.064033913988103,0.12208461542118727,0.5276660322531435,0.08024721032969787,0.2177477327279523,1.6461693488644356,0.14248926201583967,0.40979538849066954,1.6727346586174883,0.15795651810549963
27,Alex Iafallo,L,28.8,72,200,80.18214775592517,14.02461668924654,2.6077911315700724,1.56119088173515,0.5823157412345213,1.7330925156641717,0.09988904397589482,0.8670752267299819,0.6061483328123158,0.1456061862825887,0.5361566702442968,0.7117434658436137,0.0962367757092493
