,Model ID,Parent Model ID,Epochs,Scaler,MAE Test,MAE Train,Proj. 1,Proj. 2,Proj. 3,Proj. 4,Proj. 5
1,144,12,100,MinMaxScaler(),0.12,0.1,0.42,0.46,0.47,0.84,0.6
2,32,3,30,MinMaxScaler(),0.12,0.1,1.28,0.83,0.76,1.27,0.75
3,116,10,30,MinMaxScaler(),0.12,0.11,1.06,0.65,0.78,1.1,0.59
4,76,7,5,MinMaxScaler(),0.12,0.11,0.95,0.8,0.7,1.12,0.6
5,115,10,30,StandardScaler(),0.12,0.1,1.8,1.03,1.13,1.71,0.65
6,38,4,1,MinMaxScaler(),0.12,0.12,1.0,0.82,0.76,1.03,0.67
7,114,10,10,MinMaxScaler(),0.12,0.12,0.88,0.69,0.65,0.9,0.51
8,40,4,5,MinMaxScaler(),0.12,0.11,1.22,0.81,0.77,1.32,0.61
9,42,4,10,MinMaxScaler(),0.12,0.09,1.15,0.72,0.66,1.31,0.56
10,112,10,5,MinMaxScaler(),0.12,0.12,0.75,0.66,0.59,0.77,0.48
11,106,9,50,MinMaxScaler(),0.12,0.09,0.65,0.69,0.49,1.12,0.63
12,104,9,30,MinMaxScaler(),0.12,0.1,0.64,0.7,0.62,1.0,0.64
13,118,10,50,MinMaxScaler(),0.12,0.11,1.14,0.68,0.83,1.26,0.58
14,102,9,10,MinMaxScaler(),0.12,0.11,0.86,0.73,0.66,0.98,0.66
15,50,5,1,MinMaxScaler(),0.12,0.12,0.87,0.7,0.58,1.02,0.57
16,52,5,5,MinMaxScaler(),0.12,0.11,1.15,0.81,0.68,1.31,0.56
17,54,5,10,MinMaxScaler(),0.12,0.1,0.98,0.78,0.68,1.24,0.55
18,90,8,10,MinMaxScaler(),0.12,0.1,1.01,0.76,0.64,1.11,0.6
19,88,8,5,MinMaxScaler(),0.12,0.11,1.02,0.83,0.76,1.18,0.63
20,86,8,1,MinMaxScaler(),0.12,0.12,0.68,0.65,0.62,0.82,0.44
21,64,6,5,MinMaxScaler(),0.12,0.12,0.8,0.74,0.66,0.89,0.57
22,65,6,10,StandardScaler(),0.12,0.1,1.29,1.08,0.93,1.52,0.76
23,66,6,10,MinMaxScaler(),0.12,0.11,0.87,0.73,0.66,0.95,0.55
24,68,6,30,MinMaxScaler(),0.12,0.1,0.77,0.65,0.62,0.96,0.55
25,78,7,10,MinMaxScaler(),0.12,0.1,1.0,0.82,0.72,1.2,0.68
26,100,9,5,MinMaxScaler(),0.12,0.11,0.89,0.8,0.63,1.02,0.6
27,30,3,10,MinMaxScaler(),0.12,0.11,1.09,0.84,0.71,1.18,0.63
28,74,7,1,MinMaxScaler(),0.12,0.13,0.61,0.6,0.47,0.7,0.38
29,138,12,10,MinMaxScaler(),0.12,0.12,0.9,0.52,0.7,0.86,0.51
30,16,2,5,MinMaxScaler(),0.12,0.11,0.99,0.76,0.77,1.09,0.58
31,142,12,50,MinMaxScaler(),0.12,0.11,0.78,0.62,0.58,1.0,0.55
32,130,11,50,MinMaxScaler(),0.12,0.1,0.99,0.82,0.69,1.12,0.5
33,18,2,10,MinMaxScaler(),0.12,0.11,0.87,0.59,0.55,1.02,0.51
34,6,1,10,MinMaxScaler(),0.12,0.1,1.13,0.79,0.7,1.2,0.62
35,28,3,5,MinMaxScaler(),0.12,0.12,0.83,0.77,0.63,0.89,0.6
36,4,1,5,MinMaxScaler(),0.12,0.11,1.06,0.8,0.72,1.12,0.59
37,128,11,30,MinMaxScaler(),0.12,0.11,1.1,0.82,0.74,1.2,0.55
38,140,12,30,MinMaxScaler(),0.12,0.11,1.05,0.72,0.76,1.16,0.58
39,126,11,10,MinMaxScaler(),0.12,0.11,0.93,0.72,0.64,0.99,0.47
40,124,11,5,MinMaxScaler(),0.12,0.12,0.81,0.65,0.56,0.91,0.53
41,3,1,5,StandardScaler(),0.12,0.1,1.7,1.08,1.0,1.83,0.79
42,2,1,1,MinMaxScaler(),0.12,0.12,0.7,0.58,0.55,0.71,0.47
43,26,3,1,MinMaxScaler(),0.12,0.12,0.71,0.66,0.54,0.73,0.45
44,120,10,100,MinMaxScaler(),0.12,0.09,1.29,0.71,0.95,1.66,0.73
45,70,6,50,MinMaxScaler(),0.13,0.07,0.64,0.63,0.64,1.09,0.56
46,63,6,5,StandardScaler(),0.13,0.12,1.3,1.17,0.97,1.59,0.73
47,8,1,30,MinMaxScaler(),0.13,0.07,0.59,0.77,0.56,1.06,0.71
48,56,5,30,MinMaxScaler(),0.13,0.08,0.59,0.61,0.42,0.98,0.52
49,92,8,30,MinMaxScaler(),0.13,0.08,0.95,0.68,0.55,1.28,0.66
50,67,6,30,StandardScaler(),0.13,0.07,1.03,0.88,0.86,1.38,0.76
51,5,1,10,StandardScaler(),0.13,0.07,1.13,0.94,0.68,1.53,0.73
52,36,3,100,MinMaxScaler(),0.13,0.04,0.95,0.81,0.64,1.26,0.56
53,98,9,1,MinMaxScaler(),0.13,0.14,0.28,0.49,0.22,0.55,0.46
54,136,12,5,MinMaxScaler(),0.13,0.13,0.98,0.44,0.79,0.89,0.6
55,14,2,1,MinMaxScaler(),0.13,0.12,1.01,0.77,0.78,1.13,0.57
56,122,11,1,MinMaxScaler(),0.13,0.14,0.93,0.75,0.58,1.11,0.62
57,132,11,100,MinMaxScaler(),0.13,0.09,0.81,0.75,0.55,1.01,0.46
