,Model ID,Parent Model ID,Epochs,Scaler,MAE Test,MAE Train,Proj. 1,Proj. 2,Proj. 3,Proj. 4,Proj. 5
1,54,5,10,MinMaxScaler(),1.03,1.12,20.45,21.38,17.1,15.87,17.96
2,77,7,10,StandardScaler(),1.03,1.08,20.33,21.45,16.23,15.78,18.19
3,139,12,30,StandardScaler(),1.03,1.12,20.27,21.28,16.62,15.3,17.54
4,40,4,5,MinMaxScaler(),1.03,1.13,20.57,21.59,17.01,15.79,17.83
5,144,12,100,MinMaxScaler(),1.04,1.12,20.42,21.63,16.67,16.02,17.93
6,116,10,30,MinMaxScaler(),1.04,1.12,20.46,21.42,16.69,15.99,17.8
7,78,7,10,MinMaxScaler(),1.04,1.14,20.22,21.28,16.84,15.69,17.7
8,80,7,30,MinMaxScaler(),1.04,1.1,20.55,21.46,16.9,15.98,18.38
9,104,9,30,MinMaxScaler(),1.04,1.12,20.4,21.52,16.71,15.51,17.9
10,89,8,10,StandardScaler(),1.04,1.09,20.45,21.97,16.23,15.73,18.34
11,30,3,10,MinMaxScaler(),1.04,1.12,20.46,21.5,16.89,15.79,17.9
12,101,9,10,StandardScaler(),1.04,1.11,20.27,21.71,16.38,15.6,18.15
13,66,6,10,MinMaxScaler(),1.04,1.13,20.39,21.5,17.13,16.03,17.81
14,90,8,10,MinMaxScaler(),1.04,1.14,20.38,21.32,16.95,15.75,17.58
15,42,4,10,MinMaxScaler(),1.04,1.12,20.3,21.36,17.07,15.97,17.86
16,102,9,10,MinMaxScaler(),1.04,1.13,20.5,21.45,16.89,15.93,17.75
17,18,2,10,MinMaxScaler(),1.04,1.11,20.61,21.59,17.03,15.81,18.02
18,118,10,50,MinMaxScaler(),1.04,1.11,20.45,21.51,16.7,16.0,18.07
19,120,10,100,MinMaxScaler(),1.04,1.11,20.26,21.57,16.71,15.87,18.25
20,142,12,50,MinMaxScaler(),1.04,1.14,20.46,21.54,16.86,16.18,17.56
21,4,1,5,MinMaxScaler(),1.04,1.13,20.61,21.67,17.3,15.94,17.84
22,68,6,30,MinMaxScaler(),1.04,1.12,20.17,21.45,16.93,15.79,18.11
23,53,5,10,StandardScaler(),1.04,1.09,20.34,21.49,16.63,15.98,18.15
24,75,7,5,StandardScaler(),1.04,1.1,20.41,21.62,16.35,15.83,18.07
25,76,7,5,MinMaxScaler(),1.04,1.14,20.42,21.42,16.93,15.86,17.47
26,39,4,5,StandardScaler(),1.04,1.09,20.25,21.8,16.13,15.67,18.18
27,130,11,50,MinMaxScaler(),1.04,1.13,20.41,21.54,16.82,16.13,17.76
28,129,11,50,StandardScaler(),1.04,1.09,20.42,21.59,16.26,15.71,18.21
29,56,5,30,MinMaxScaler(),1.04,1.1,20.42,21.37,16.92,15.78,18.33
30,84,7,100,MinMaxScaler(),1.05,1.04,20.47,21.52,16.23,15.72,18.72
31,44,4,30,MinMaxScaler(),1.05,1.09,20.71,21.74,16.89,15.68,18.4
32,70,6,50,MinMaxScaler(),1.05,1.1,20.37,21.47,16.95,15.76,18.33
33,67,6,30,StandardScaler(),1.05,1.08,20.59,21.09,16.59,15.9,18.37
34,52,5,5,MinMaxScaler(),1.05,1.15,20.46,21.2,17.15,15.97,17.43
35,41,4,10,StandardScaler(),1.05,1.07,20.65,21.95,16.81,15.71,18.21
36,87,8,5,StandardScaler(),1.05,1.11,20.22,21.5,16.49,15.8,18.16
37,143,12,100,StandardScaler(),1.05,1.1,20.24,21.76,16.07,15.5,18.14
38,65,6,10,StandardScaler(),1.05,1.11,20.51,21.45,16.84,16.21,18.14
39,92,8,30,MinMaxScaler(),1.05,1.11,20.45,21.56,16.79,15.84,18.29
40,141,12,50,StandardScaler(),1.05,1.11,20.3,21.54,16.2,15.36,17.92
41,132,11,100,MinMaxScaler(),1.05,1.12,20.5,21.7,16.81,15.87,18.16
42,8,1,30,MinMaxScaler(),1.05,1.1,20.43,21.41,16.9,15.73,18.53
43,131,11,100,StandardScaler(),1.05,1.08,20.61,21.54,16.05,15.61,18.36
44,10,1,50,MinMaxScaler(),1.05,1.07,20.63,21.11,16.74,15.57,18.4
45,127,11,30,StandardScaler(),1.05,1.11,20.32,21.71,16.28,15.81,18.46
46,125,11,10,StandardScaler(),1.05,1.11,20.29,21.48,16.29,15.91,18.44
47,17,2,10,StandardScaler(),1.05,1.07,20.3,21.53,16.43,15.63,18.32
48,117,10,50,StandardScaler(),1.05,1.08,20.34,22.33,16.33,15.91,18.29
49,115,10,30,StandardScaler(),1.05,1.1,20.48,21.97,16.45,16.07,18.16
50,103,9,30,StandardScaler(),1.05,1.08,20.25,21.79,16.13,15.43,18.33
51,29,3,10,StandardScaler(),1.05,1.09,20.48,21.8,16.52,15.79,18.38
52,34,3,50,MinMaxScaler(),1.05,1.08,20.43,21.5,16.86,15.75,18.59
53,96,8,100,MinMaxScaler(),1.05,1.08,20.22,21.4,16.12,15.33,18.29
54,108,9,100,MinMaxScaler(),1.05,1.09,20.47,21.27,16.91,15.8,18.26
55,79,7,30,StandardScaler(),1.06,1.01,20.47,21.62,16.37,15.56,18.6
56,91,8,30,StandardScaler(),1.06,1.05,20.33,21.93,16.23,15.65,18.51
57,106,9,50,MinMaxScaler(),1.06,1.11,20.67,21.66,16.72,15.78,18.27
58,105,9,50,StandardScaler(),1.06,1.05,20.51,21.6,16.02,15.33,18.26
59,88,8,5,MinMaxScaler(),1.06,1.14,20.56,21.31,17.24,16.13,17.23
60,128,11,30,MinMaxScaler(),1.06,1.14,20.51,21.47,16.94,16.36,17.39
61,99,9,5,StandardScaler(),1.06,1.12,20.39,21.97,16.61,15.98,17.86
62,137,12,10,StandardScaler(),1.06,1.16,20.13,21.55,17.56,15.5,17.27
63,94,8,50,MinMaxScaler(),1.06,1.09,20.56,21.65,16.79,15.71,18.65
64,100,9,5,MinMaxScaler(),1.06,1.16,20.4,21.1,17.05,16.04,17.02
65,72,6,100,MinMaxScaler(),1.06,1.09,20.59,21.4,16.84,15.91,18.66
66,31,3,30,StandardScaler(),1.06,1.05,20.6,21.36,16.33,15.66,18.73
67,15,2,5,StandardScaler(),1.06,1.1,20.58,21.55,16.75,15.82,18.08
68,3,1,5,StandardScaler(),1.06,1.09,20.37,21.48,16.44,15.75,18.24
69,16,2,5,MinMaxScaler(),1.06,1.13,20.66,21.56,16.89,15.75,17.76
70,5,1,10,StandardScaler(),1.06,1.07,20.37,21.55,16.35,15.85,18.55
71,51,5,5,StandardScaler(),1.06,1.11,20.44,21.38,16.65,16.03,17.88
72,28,3,5,MinMaxScaler(),1.06,1.14,20.64,21.34,17.14,15.98,17.63
73,58,5,50,MinMaxScaler(),1.06,1.08,20.27,21.34,16.54,15.57,18.45
74,55,5,30,StandardScaler(),1.06,1.04,20.19,21.63,16.55,15.66,18.24
75,123,11,5,StandardScaler(),1.07,1.14,20.35,21.16,17.13,16.37,17.92
76,6,1,10,MinMaxScaler(),1.07,1.13,20.79,21.92,17.18,16.0,18.4
77,63,6,5,StandardScaler(),1.07,1.14,20.48,21.21,17.02,16.48,17.29
78,73,7,1,StandardScaler(),1.07,1.14,20.65,21.33,16.75,16.3,17.27
79,140,12,30,MinMaxScaler(),1.07,1.16,20.5,21.33,17.13,16.41,17.15
80,27,3,5,StandardScaler(),1.07,1.12,20.59,21.58,16.94,16.03,17.95
81,119,10,100,StandardScaler(),1.07,1.06,20.3,22.41,16.51,16.06,18.55
82,22,2,50,MinMaxScaler(),1.07,1.09,20.67,21.72,17.1,15.86,18.66
83,46,4,50,MinMaxScaler(),1.07,1.05,20.77,21.65,16.36,15.42,18.49
84,126,11,10,MinMaxScaler(),1.08,1.2,20.39,20.77,17.59,16.73,16.79
85,36,3,100,MinMaxScaler(),1.08,1.02,20.55,21.42,16.21,15.21,18.84
86,93,8,50,StandardScaler(),1.08,1.01,20.45,21.92,15.72,15.29,18.0
87,37,4,1,StandardScaler(),1.08,1.14,20.73,21.44,16.72,15.99,17.18
88,113,10,10,StandardScaler(),1.08,1.14,20.62,21.54,16.64,16.39,17.45
89,114,10,10,MinMaxScaler(),1.09,1.17,20.68,21.07,17.15,16.53,17.02
90,19,2,30,StandardScaler(),1.09,1.02,20.57,22.1,16.73,15.48,18.66
91,24,2,100,MinMaxScaler(),1.09,1.0,20.24,21.05,15.92,15.12,18.63
92,64,6,5,MinMaxScaler(),1.09,1.16,20.52,21.47,17.45,16.4,17.29
93,82,7,50,MinMaxScaler(),1.09,1.1,20.81,21.66,16.76,15.89,18.85
94,135,12,5,StandardScaler(),1.09,1.21,20.46,21.21,18.29,16.32,16.72
95,13,2,1,StandardScaler(),1.09,1.18,20.6,20.76,17.62,16.45,17.0
96,48,4,100,MinMaxScaler(),1.09,0.94,20.52,21.18,15.73,14.86,18.45
97,85,8,1,StandardScaler(),1.09,1.18,20.38,20.93,17.64,16.67,17.23
98,38,4,1,MinMaxScaler(),1.09,1.2,20.4,20.75,17.31,16.35,16.6
99,7,1,30,StandardScaler(),1.09,1.0,20.83,21.77,16.33,15.53,18.74
100,20,2,30,MinMaxScaler(),1.1,1.12,20.91,21.87,17.06,15.97,18.71
