,Model ID,Parent Model ID,Epochs,Scaler,MAE Test,MAE Train,Proj. 1,Proj. 2,Proj. 3,Proj. 4,Proj. 5
1,1,1,1,StandardScaler(),0.09,0.1,0.02,0.02,0.02,-0.02,-0.02
2,92,8,30,MinMaxScaler(),0.09,0.08,-0.11,-0.12,-0.02,-0.1,-0.02
3,90,8,10,MinMaxScaler(),0.09,0.09,-0.04,-0.02,-0.01,-0.08,-0.01
4,88,8,5,MinMaxScaler(),0.09,0.09,-0.02,-0.01,-0.03,-0.07,0.0
5,86,8,1,MinMaxScaler(),0.09,0.09,-0.0,-0.0,-0.03,-0.07,-0.03
6,82,7,50,MinMaxScaler(),0.09,0.07,-0.13,-0.18,-0.06,-0.08,-0.01
7,80,7,30,MinMaxScaler(),0.09,0.08,-0.08,-0.12,-0.02,-0.06,0.0
8,78,7,10,MinMaxScaler(),0.09,0.09,-0.01,0.02,-0.01,-0.07,0.01
9,76,7,5,MinMaxScaler(),0.09,0.09,0.01,0.05,-0.01,-0.07,-0.0
10,74,7,1,MinMaxScaler(),0.09,0.1,0.06,0.08,0.03,-0.0,0.04
11,94,8,50,MinMaxScaler(),0.09,0.08,-0.07,-0.15,0.0,-0.07,0.01
12,143,12,100,StandardScaler(),0.09,0.09,0.01,-0.02,-0.03,-0.09,0.01
13,68,6,30,MinMaxScaler(),0.09,0.09,-0.01,-0.01,-0.04,-0.05,-0.0
14,66,6,10,MinMaxScaler(),0.09,0.09,-0.0,0.02,-0.05,-0.07,-0.02
15,65,6,10,StandardScaler(),0.09,0.08,-0.0,0.07,-0.06,-0.08,-0.01
16,64,6,5,MinMaxScaler(),0.09,0.09,-0.03,-0.02,-0.04,-0.04,-0.03
17,63,6,5,StandardScaler(),0.09,0.09,-0.03,-0.01,-0.04,-0.04,-0.0
18,62,6,1,MinMaxScaler(),0.09,0.1,-0.01,-0.01,-0.02,-0.02,-0.02
19,58,5,50,MinMaxScaler(),0.09,0.08,0.02,-0.05,-0.03,-0.04,-0.01
20,56,5,30,MinMaxScaler(),0.09,0.08,-0.04,-0.07,-0.04,-0.08,-0.02
21,54,5,10,MinMaxScaler(),0.09,0.09,0.01,0.02,-0.02,-0.06,-0.0
