,Model ID,Parent Model ID,Epochs,Scaler,MAE Test,MAE Train,Proj. 1,Proj. 2,Proj. 3,Proj. 4,Proj. 5
1,144,12,100,MinMaxScaler(),0.08,0.09,0.29,0.36,0.26,0.36,0.21
2,142,12,50,MinMaxScaler(),0.08,0.09,0.28,0.38,0.27,0.36,0.19
3,140,12,30,MinMaxScaler(),0.08,0.09,0.28,0.36,0.29,0.33,0.19
4,130,11,50,MinMaxScaler(),0.08,0.09,0.3,0.37,0.37,0.38,0.12
5,128,11,30,MinMaxScaler(),0.08,0.09,0.32,0.36,0.34,0.38,0.14
6,78,7,10,MinMaxScaler(),0.08,0.08,0.24,0.42,0.35,0.36,0.16
7,18,2,10,MinMaxScaler(),0.08,0.09,0.32,0.35,0.34,0.35,0.15
8,76,7,5,MinMaxScaler(),0.08,0.09,0.27,0.38,0.31,0.34,0.17
9,114,10,10,MinMaxScaler(),0.08,0.09,0.24,0.33,0.27,0.27,0.17
10,116,10,30,MinMaxScaler(),0.08,0.09,0.27,0.37,0.29,0.3,0.16
11,86,8,1,MinMaxScaler(),0.09,0.1,0.37,0.33,0.25,0.28,0.11
12,80,7,30,MinMaxScaler(),0.09,0.07,0.23,0.48,0.38,0.42,0.18
13,74,7,1,MinMaxScaler(),0.09,0.1,0.25,0.35,0.28,0.29,0.17
14,68,6,30,MinMaxScaler(),0.09,0.08,0.31,0.45,0.35,0.4,0.16
15,88,8,5,MinMaxScaler(),0.09,0.09,0.31,0.36,0.35,0.32,0.14
16,66,6,10,MinMaxScaler(),0.09,0.09,0.34,0.4,0.29,0.37,0.15
17,64,6,5,MinMaxScaler(),0.09,0.09,0.32,0.37,0.27,0.32,0.18
18,62,6,1,MinMaxScaler(),0.09,0.11,0.19,0.31,0.17,0.2,0.22
19,56,5,30,MinMaxScaler(),0.09,0.07,0.21,0.44,0.25,0.33,0.12
20,54,5,10,MinMaxScaler(),0.09,0.08,0.27,0.38,0.31,0.31,0.15
21,52,5,5,MinMaxScaler(),0.09,0.09,0.3,0.4,0.3,0.33,0.16
22,70,6,50,MinMaxScaler(),0.09,0.07,0.28,0.44,0.37,0.38,0.17
23,90,8,10,MinMaxScaler(),0.09,0.09,0.36,0.4,0.34,0.37,0.12
24,102,9,10,MinMaxScaler(),0.09,0.09,0.36,0.39,0.3,0.35,0.14
25,98,9,1,MinMaxScaler(),0.09,0.1,0.36,0.38,0.25,0.31,0.16
26,138,12,10,MinMaxScaler(),0.09,0.1,0.23,0.35,0.27,0.27,0.23
27,132,11,100,MinMaxScaler(),0.09,0.08,0.24,0.36,0.34,0.3,0.12
28,126,11,10,MinMaxScaler(),0.09,0.09,0.32,0.38,0.31,0.37,0.16
29,124,11,5,MinMaxScaler(),0.09,0.1,0.3,0.38,0.28,0.35,0.16
30,120,10,100,MinMaxScaler(),0.09,0.09,0.29,0.39,0.31,0.37,0.13
31,118,10,50,MinMaxScaler(),0.09,0.09,0.28,0.39,0.29,0.31,0.16
32,92,8,30,MinMaxScaler(),0.09,0.07,0.29,0.41,0.34,0.35,0.13
33,117,10,50,StandardScaler(),0.09,0.08,0.23,0.43,0.3,0.25,0.11
34,112,10,5,MinMaxScaler(),0.09,0.1,0.18,0.29,0.24,0.22,0.16
35,108,9,100,MinMaxScaler(),0.09,0.07,0.27,0.43,0.34,0.48,0.22
36,106,9,50,MinMaxScaler(),0.09,0.08,0.33,0.42,0.33,0.42,0.17
37,104,9,30,MinMaxScaler(),0.09,0.09,0.37,0.42,0.32,0.39,0.15
38,50,5,1,MinMaxScaler(),0.09,0.1,0.26,0.4,0.25,0.34,0.17
39,100,9,5,MinMaxScaler(),0.09,0.09,0.37,0.39,0.29,0.35,0.16
40,115,10,30,StandardScaler(),0.09,0.09,0.24,0.39,0.29,0.21,0.15
41,44,4,30,MinMaxScaler(),0.09,0.06,0.14,0.57,0.33,0.42,0.17
42,1,1,1,StandardScaler(),0.09,0.1,0.32,0.39,0.26,0.33,0.22
43,30,3,10,MinMaxScaler(),0.09,0.09,0.34,0.39,0.31,0.35,0.17
44,8,1,30,MinMaxScaler(),0.09,0.07,0.15,0.4,0.39,0.33,0.14
45,6,1,10,MinMaxScaler(),0.09,0.09,0.27,0.39,0.33,0.36,0.14
46,26,3,1,MinMaxScaler(),0.09,0.1,0.31,0.38,0.25,0.33,0.22
47,34,3,50,MinMaxScaler(),0.09,0.07,0.31,0.44,0.23,0.4,0.15
48,16,2,5,MinMaxScaler(),0.09,0.09,0.34,0.37,0.31,0.35,0.16
49,4,1,5,MinMaxScaler(),0.09,0.09,0.32,0.32,0.3,0.32,0.12
50,38,4,1,MinMaxScaler(),0.09,0.1,0.34,0.37,0.27,0.34,0.2
51,27,3,5,StandardScaler(),0.09,0.09,0.33,0.37,0.25,0.32,0.21
52,15,2,5,StandardScaler(),0.09,0.08,0.26,0.14,0.28,0.34,0.25
53,42,4,10,MinMaxScaler(),0.09,0.08,0.28,0.41,0.31,0.36,0.19
54,40,4,5,MinMaxScaler(),0.09,0.09,0.36,0.42,0.33,0.41,0.19
55,32,3,30,MinMaxScaler(),0.09,0.08,0.27,0.39,0.3,0.35,0.14
56,28,3,5,MinMaxScaler(),0.09,0.1,0.32,0.38,0.25,0.33,0.22
57,20,2,30,MinMaxScaler(),0.09,0.08,0.26,0.43,0.4,0.32,0.15
58,2,1,1,MinMaxScaler(),0.09,0.1,0.32,0.36,0.26,0.33,0.18
59,29,3,10,StandardScaler(),0.09,0.08,0.31,0.35,0.24,0.31,0.2
60,39,4,5,StandardScaler(),0.09,0.06,0.41,0.45,0.28,0.5,0.23
61,13,2,1,StandardScaler(),0.1,0.11,0.34,0.25,0.25,0.33,0.24
62,14,2,1,MinMaxScaler(),0.1,0.1,0.38,0.38,0.28,0.36,0.2
63,82,7,50,MinMaxScaler(),0.1,0.05,0.11,0.52,0.45,0.46,0.16
64,72,6,100,MinMaxScaler(),0.1,0.05,0.26,0.51,0.38,0.36,0.17
65,87,8,5,StandardScaler(),0.1,0.08,0.2,0.33,0.26,0.32,-0.06
66,77,7,10,StandardScaler(),0.1,0.05,0.28,0.46,0.22,0.33,0.11
67,110,10,1,MinMaxScaler(),0.1,0.11,0.12,0.28,0.15,0.13,0.17
68,24,2,100,MinMaxScaler(),0.1,0.04,0.12,0.54,0.35,0.26,0.16
69,94,8,50,MinMaxScaler(),0.1,0.07,0.33,0.43,0.42,0.42,0.16
70,17,2,10,StandardScaler(),0.1,0.06,0.34,0.17,0.28,0.47,0.27
71,96,8,100,MinMaxScaler(),0.1,0.05,0.32,0.4,0.43,0.36,0.1
72,22,2,50,MinMaxScaler(),0.1,0.07,0.32,0.47,0.42,0.29,0.14
73,113,10,10,StandardScaler(),0.1,0.1,0.14,0.41,0.31,0.09,0.15
74,89,8,10,StandardScaler(),0.1,0.06,0.25,0.34,0.25,0.37,-0.02
75,143,12,100,StandardScaler(),0.1,0.08,0.32,0.42,0.28,0.38,0.15
