,Model ID,Parent Model ID,Epochs,Scaler,MAE Test,MAE Train,Proj. 1,Proj. 2,Proj. 3,Proj. 4,Proj. 5
1,132,11,100,MinMaxScaler(),0.49,0.5,0.09,1.28,2.19,1.9,2.37
2,130,11,50,MinMaxScaler(),0.49,0.5,0.1,1.3,2.19,1.85,2.32
3,144,12,100,MinMaxScaler(),0.5,0.51,0.31,1.27,2.09,1.74,2.21
4,104,9,30,MinMaxScaler(),0.5,0.5,0.2,1.37,2.24,1.85,2.27
5,70,6,50,MinMaxScaler(),0.5,0.48,0.02,1.37,2.23,1.78,2.42
6,101,9,10,StandardScaler(),0.5,0.49,0.06,1.21,2.41,1.87,2.34
7,99,9,5,StandardScaler(),0.5,0.5,-0.02,1.13,2.19,1.72,2.25
8,39,4,5,StandardScaler(),0.5,0.49,0.06,1.22,2.46,1.85,2.49
9,40,4,5,MinMaxScaler(),0.5,0.5,0.12,1.29,2.14,1.82,2.27
10,42,4,10,MinMaxScaler(),0.5,0.49,0.14,1.35,2.19,1.96,2.27
11,92,8,30,MinMaxScaler(),0.5,0.49,0.03,1.32,2.19,1.79,2.25
12,91,8,30,StandardScaler(),0.5,0.47,-0.02,1.23,2.27,1.55,2.12
13,90,8,10,MinMaxScaler(),0.5,0.5,0.1,1.28,2.12,1.82,2.24
14,89,8,10,StandardScaler(),0.5,0.48,0.14,1.3,2.26,1.79,2.3
15,88,8,5,MinMaxScaler(),0.5,0.51,0.25,1.32,2.08,1.82,2.25
16,52,5,5,MinMaxScaler(),0.5,0.5,0.2,1.34,2.14,1.84,2.31
17,106,9,50,MinMaxScaler(),0.5,0.49,0.01,1.31,2.23,1.8,2.28
18,54,5,10,MinMaxScaler(),0.5,0.5,0.11,1.37,2.17,1.83,2.29
19,80,7,30,MinMaxScaler(),0.5,0.48,0.04,1.3,2.28,1.76,2.3
20,56,5,30,MinMaxScaler(),0.5,0.49,-0.04,1.16,2.25,1.73,2.32
21,78,7,10,MinMaxScaler(),0.5,0.5,0.17,1.35,2.15,1.81,2.21
22,58,5,50,MinMaxScaler(),0.5,0.47,-0.02,1.2,2.25,1.71,2.32
23,76,7,5,MinMaxScaler(),0.5,0.5,0.22,1.35,2.13,1.82,2.28
24,75,7,5,StandardScaler(),0.5,0.49,0.13,1.28,2.27,1.65,2.3
25,63,6,5,StandardScaler(),0.5,0.5,0.12,1.22,2.14,1.84,2.23
26,143,12,100,StandardScaler(),0.5,0.5,0.17,1.16,2.38,1.75,2.3
27,65,6,10,StandardScaler(),0.5,0.49,0.07,1.18,2.08,1.76,2.13
28,66,6,10,MinMaxScaler(),0.5,0.5,0.15,1.35,2.17,1.93,2.26
29,87,8,5,StandardScaler(),0.5,0.5,0.06,1.2,2.26,1.81,2.33
