,Model ID,Parent Model ID,Epochs,Scaler,MSE Test,MSE Train,Proj. 1,Proj. 2,Proj. 3,Proj. 4,Proj. 5
1,76,7,5,MinMaxScaler(),0.65,0.73,4.09,2.41,2.51,3.31,2.25
2,66,6,10,MinMaxScaler(),0.65,0.74,4.07,2.38,2.39,3.35,2.37
3,16,2,5,MinMaxScaler(),0.65,0.75,3.79,2.14,2.25,3.08,2.33
4,40,4,5,MinMaxScaler(),0.66,0.73,4.34,2.51,2.7,3.62,2.48
5,90,8,10,MinMaxScaler(),0.66,0.68,4.14,2.19,2.4,3.2,2.3
6,142,12,50,MinMaxScaler(),0.66,0.71,4.0,2.45,2.27,3.37,2.63
7,140,12,30,MinMaxScaler(),0.66,0.75,3.72,2.27,2.19,3.1,2.41
8,88,8,5,MinMaxScaler(),0.66,0.77,3.67,2.19,2.48,3.13,2.07
9,18,2,10,MinMaxScaler(),0.66,0.66,4.47,2.2,1.93,3.52,2.73
10,30,3,10,MinMaxScaler(),0.67,0.75,3.44,2.21,2.16,3.03,2.18
11,126,11,10,MinMaxScaler(),0.67,0.77,3.5,2.16,2.21,3.08,2.02
12,4,1,5,MinMaxScaler(),0.67,0.78,3.68,2.27,2.44,3.1,2.17
13,64,6,5,MinMaxScaler(),0.67,0.79,3.42,2.15,2.3,2.83,2.0
14,102,9,10,MinMaxScaler(),0.67,0.78,3.36,2.21,2.41,2.89,2.16
15,54,5,10,MinMaxScaler(),0.67,0.71,4.13,2.54,2.74,3.36,2.48
16,128,11,30,MinMaxScaler(),0.67,0.7,4.14,2.29,2.02,3.19,2.39
17,144,12,100,MinMaxScaler(),0.68,0.65,4.54,2.69,2.51,3.54,2.8
18,114,10,10,MinMaxScaler(),0.68,0.79,2.59,1.79,1.96,2.24,1.76
19,116,10,30,MinMaxScaler(),0.68,0.71,3.08,1.88,1.59,2.74,2.23
20,28,3,5,MinMaxScaler(),0.68,0.8,3.18,2.23,2.41,2.94,2.07
21,52,5,5,MinMaxScaler(),0.68,0.78,3.55,2.21,2.45,2.94,2.03
22,130,11,50,MinMaxScaler(),0.69,0.6,4.78,2.44,1.92,3.31,2.43
23,78,7,10,MinMaxScaler(),0.69,0.67,4.91,2.82,2.98,3.79,2.7
24,68,6,30,MinMaxScaler(),0.69,0.5,4.77,2.52,2.05,3.47,2.53
25,100,9,5,MinMaxScaler(),0.69,0.81,3.13,2.24,2.57,2.91,2.0
26,124,11,5,MinMaxScaler(),0.69,0.81,3.25,2.2,2.27,3.15,1.94
27,6,1,10,MinMaxScaler(),0.7,0.65,4.28,1.98,2.34,2.87,2.51
28,138,12,10,MinMaxScaler(),0.7,0.82,3.21,2.25,2.35,2.79,2.04
29,65,6,10,StandardScaler(),0.71,0.6,7.76,3.15,3.74,5.58,2.54
30,74,7,1,MinMaxScaler(),0.71,0.83,3.82,2.41,2.74,3.32,2.04
31,104,9,30,MinMaxScaler(),0.72,0.62,4.14,1.93,1.73,2.89,2.33
32,38,4,1,MinMaxScaler(),0.72,0.83,3.22,2.13,2.28,3.04,1.95
33,15,2,5,StandardScaler(),0.73,0.65,7.19,2.29,3.41,4.39,2.96
34,112,10,5,MinMaxScaler(),0.73,0.84,2.33,1.77,2.2,2.17,1.49
35,42,4,10,MinMaxScaler(),0.73,0.53,4.29,2.16,2.25,3.4,2.45
36,118,10,50,MinMaxScaler(),0.74,0.61,3.6,1.88,1.28,2.38,2.56
37,56,5,30,MinMaxScaler(),0.74,0.39,4.97,2.64,2.18,3.61,2.37
38,92,8,30,MinMaxScaler(),0.74,0.45,5.0,2.81,2.0,3.76,2.71
39,75,7,5,StandardScaler(),0.75,0.58,7.74,2.99,3.25,4.75,3.48
