,Model ID,Parent Model ID,Epochs,Scaler,MAE Test,MAE Train,Proj. 1,Proj. 2,Proj. 3,Proj. 4,Proj. 5
1,66,6,10,MinMaxScaler(),0.39,0.35,-0.04,0.87,2.03,1.06,1.3
2,56,5,30,MinMaxScaler(),0.39,0.32,0.04,0.99,2.25,1.1,1.55
3,4,1,5,MinMaxScaler(),0.39,0.38,-0.02,0.84,1.81,0.93,1.16
4,6,1,10,MinMaxScaler(),0.39,0.34,0.02,1.04,2.18,1.3,1.62
5,34,3,50,MinMaxScaler(),0.4,0.28,0.06,0.77,2.28,0.9,1.49
6,68,6,30,MinMaxScaler(),0.4,0.33,0.02,0.8,2.09,0.96,1.24
7,118,10,50,MinMaxScaler(),0.4,0.37,-0.09,0.85,1.89,1.32,1.55
8,120,10,100,MinMaxScaler(),0.4,0.35,-0.03,0.84,1.95,1.31,1.58
9,90,8,10,MinMaxScaler(),0.4,0.35,0.06,0.94,1.99,1.41,1.72
10,128,11,30,MinMaxScaler(),0.4,0.36,0.05,0.98,1.99,1.66,1.84
11,104,9,30,MinMaxScaler(),0.4,0.34,0.01,0.9,2.15,1.36,1.67
12,132,11,100,MinMaxScaler(),0.4,0.35,0.15,0.96,2.13,1.47,1.91
13,64,6,5,MinMaxScaler(),0.4,0.39,-0.0,0.92,1.99,1.03,1.26
14,58,5,50,MinMaxScaler(),0.4,0.28,-0.02,0.89,2.55,0.93,1.22
15,140,12,30,MinMaxScaler(),0.4,0.37,0.03,0.96,1.9,1.21,1.36
16,54,5,10,MinMaxScaler(),0.4,0.35,0.01,0.88,2.0,1.0,1.47
17,130,11,50,MinMaxScaler(),0.4,0.36,0.06,0.96,2.04,1.59,1.86
18,44,4,30,MinMaxScaler(),0.41,0.27,0.14,1.08,2.33,1.24,1.54
19,70,6,50,MinMaxScaler(),0.41,0.31,0.04,0.81,2.11,1.07,1.26
20,40,4,5,MinMaxScaler(),0.41,0.36,0.05,1.03,2.08,1.18,1.44
21,36,3,100,MinMaxScaler(),0.41,0.25,0.1,0.95,2.64,0.84,1.51
22,78,7,10,MinMaxScaler(),0.41,0.38,-0.05,0.78,1.96,1.31,1.66
23,32,3,30,MinMaxScaler(),0.41,0.33,0.1,0.97,2.27,0.95,1.5
24,29,3,10,StandardScaler(),0.41,0.32,-0.05,0.91,1.71,0.91,1.24
25,144,12,100,MinMaxScaler(),0.41,0.36,0.04,1.0,1.97,1.47,1.62
26,52,5,5,MinMaxScaler(),0.41,0.38,-0.02,0.91,1.95,1.08,1.46
27,106,9,50,MinMaxScaler(),0.41,0.33,-0.03,0.89,2.2,1.22,1.57
28,142,12,50,MinMaxScaler(),0.41,0.37,0.05,1.0,1.97,1.28,1.47
29,8,1,30,MinMaxScaler(),0.41,0.31,-0.02,1.0,2.38,1.01,1.5
30,20,2,30,MinMaxScaler(),0.41,0.3,0.09,1.01,2.2,0.93,1.73
31,116,10,30,MinMaxScaler(),0.41,0.37,-0.03,0.95,1.98,1.46,1.63
32,16,2,5,MinMaxScaler(),0.41,0.38,-0.08,0.81,1.85,1.13,1.39
33,53,5,10,StandardScaler(),0.41,0.32,0.16,0.85,2.14,0.91,1.44
34,18,2,10,MinMaxScaler(),0.41,0.36,0.01,0.87,1.94,1.23,1.65
35,92,8,30,MinMaxScaler(),0.42,0.33,0.18,1.07,2.2,1.44,1.75
36,55,5,30,StandardScaler(),0.42,0.25,0.27,0.99,2.15,1.09,1.66
37,141,12,50,StandardScaler(),0.42,0.36,0.04,1.03,2.14,1.1,1.37
38,139,12,30,StandardScaler(),0.42,0.37,0.02,1.07,2.17,1.06,1.33
39,127,11,30,StandardScaler(),0.42,0.35,0.23,1.07,2.17,1.7,1.73
40,126,11,10,MinMaxScaler(),0.42,0.39,0.03,0.97,1.89,1.34,1.53
41,143,12,100,StandardScaler(),0.42,0.35,0.08,0.99,2.09,1.39,1.66
42,75,7,5,StandardScaler(),0.42,0.33,-0.09,1.0,2.25,1.41,1.6
43,76,7,5,MinMaxScaler(),0.42,0.36,0.15,1.01,2.1,1.7,1.96
44,115,10,30,StandardScaler(),0.42,0.36,-0.13,0.89,2.09,1.41,1.69
45,80,7,30,MinMaxScaler(),0.42,0.33,0.11,0.92,2.24,1.22,1.7
46,114,10,10,MinMaxScaler(),0.42,0.41,-0.1,0.88,1.86,1.16,1.3
47,88,8,5,MinMaxScaler(),0.42,0.39,-0.07,0.84,1.77,1.14,1.45
48,89,8,10,StandardScaler(),0.42,0.32,-0.1,1.07,2.14,1.65,1.67
49,108,9,100,MinMaxScaler(),0.42,0.29,-0.05,1.15,2.43,1.38,1.74
50,117,10,50,StandardScaler(),0.42,0.34,0.06,0.95,2.14,1.48,1.92
51,94,8,50,MinMaxScaler(),0.42,0.29,0.16,1.02,2.18,1.35,1.76
52,72,6,100,MinMaxScaler(),0.42,0.28,0.11,1.0,2.43,1.11,1.2
53,3,1,5,StandardScaler(),0.42,0.35,-0.16,0.77,1.96,0.73,1.06
54,17,2,10,StandardScaler(),0.42,0.31,-0.06,0.86,2.23,1.29,1.61
55,39,4,5,StandardScaler(),0.42,0.33,-0.04,0.89,2.04,1.01,1.23
56,31,3,30,StandardScaler(),0.42,0.25,-0.03,0.96,2.29,1.09,1.47
57,28,3,5,MinMaxScaler(),0.42,0.41,-0.08,0.87,1.78,0.87,1.16
58,51,5,5,StandardScaler(),0.42,0.36,0.04,0.83,2.04,0.98,1.4
59,129,11,50,StandardScaler(),0.43,0.34,0.19,1.01,2.15,1.71,1.79
60,10,1,50,MinMaxScaler(),0.43,0.25,0.3,1.12,2.38,0.96,1.57
61,82,7,50,MinMaxScaler(),0.43,0.24,0.2,1.25,2.74,1.38,1.97
62,30,3,10,MinMaxScaler(),0.43,0.37,-0.03,0.92,2.05,1.12,1.48
63,91,8,30,StandardScaler(),0.43,0.25,0.03,1.14,2.36,1.42,1.67
64,96,8,100,MinMaxScaler(),0.43,0.25,0.24,1.04,2.11,1.35,1.83
65,125,11,10,StandardScaler(),0.43,0.38,0.24,1.13,2.31,1.47,1.56
66,100,9,5,MinMaxScaler(),0.43,0.4,0.09,0.96,1.88,1.11,1.3
67,102,9,10,MinMaxScaler(),0.43,0.38,0.24,1.07,2.05,1.51,1.71
68,15,2,5,StandardScaler(),0.43,0.38,-0.26,0.88,2.16,1.05,1.3
69,5,1,10,StandardScaler(),0.43,0.29,-0.09,0.81,2.11,1.12,1.59
70,131,11,100,StandardScaler(),0.43,0.32,0.21,1.06,2.09,1.66,1.84
71,77,7,10,StandardScaler(),0.43,0.29,0.0,1.04,2.4,1.56,1.72
72,103,9,30,StandardScaler(),0.44,0.3,0.19,0.93,2.42,1.24,1.61
73,87,8,5,StandardScaler(),0.44,0.37,-0.17,0.9,1.84,1.28,1.36
74,84,7,100,MinMaxScaler(),0.44,0.18,0.24,1.16,2.65,1.34,1.78
75,124,11,5,MinMaxScaler(),0.44,0.43,-0.11,0.85,1.82,0.9,1.17
76,22,2,50,MinMaxScaler(),0.44,0.27,0.31,1.23,2.53,0.87,1.99
77,42,4,10,MinMaxScaler(),0.44,0.37,0.08,1.08,2.33,1.11,1.48
78,138,12,10,MinMaxScaler(),0.44,0.44,-0.03,0.88,1.8,0.82,1.01
79,63,6,5,StandardScaler(),0.44,0.4,-0.18,0.87,2.1,0.82,0.89
80,46,4,50,MinMaxScaler(),0.44,0.19,0.19,1.29,2.69,1.39,1.98
81,41,4,10,StandardScaler(),0.44,0.27,0.16,1.09,2.3,1.19,1.46
82,67,6,30,StandardScaler(),0.44,0.29,-0.01,0.98,2.36,1.12,1.27
83,12,1,100,MinMaxScaler(),0.45,0.2,0.45,0.85,2.11,0.83,1.89
84,105,9,50,StandardScaler(),0.45,0.24,0.06,0.63,2.38,1.08,1.51
85,27,3,5,StandardScaler(),0.45,0.42,-0.14,0.83,1.63,0.76,0.92
86,65,6,10,StandardScaler(),0.45,0.34,-0.08,0.94,2.25,0.96,1.18
87,60,5,100,MinMaxScaler(),0.45,0.22,-0.1,0.99,2.71,1.33,1.47
88,38,4,1,MinMaxScaler(),0.45,0.44,-0.01,0.92,1.84,0.83,1.04
89,119,10,100,StandardScaler(),0.45,0.32,0.03,0.92,2.04,1.54,2.05
90,57,5,50,StandardScaler(),0.45,0.18,0.37,1.03,2.18,1.08,1.2
91,113,10,10,StandardScaler(),0.45,0.42,-0.2,0.82,1.86,1.32,1.06
92,7,1,30,StandardScaler(),0.45,0.2,0.11,0.79,2.38,0.64,1.6
93,19,2,30,StandardScaler(),0.45,0.22,-0.07,0.95,2.18,1.19,1.97
94,112,10,5,MinMaxScaler(),0.45,0.46,-0.12,0.84,1.73,0.83,0.93
95,79,7,30,StandardScaler(),0.45,0.22,0.03,0.99,2.31,1.38,1.53
96,74,7,1,MinMaxScaler(),0.45,0.45,-0.02,0.89,1.85,0.81,1.07
97,69,6,50,StandardScaler(),0.45,0.25,-0.01,1.1,2.38,1.12,1.37
98,101,9,10,StandardScaler(),0.45,0.36,0.14,1.01,2.22,1.11,1.44
99,37,4,1,StandardScaler(),0.46,0.44,-0.23,0.89,1.91,0.74,0.95
100,14,2,1,MinMaxScaler(),0.47,0.47,-0.03,0.88,1.86,0.67,0.89
101,13,2,1,StandardScaler(),0.47,0.47,-0.13,0.94,1.98,0.6,0.96
102,99,9,5,StandardScaler(),0.47,0.42,0.18,1.16,2.08,0.96,1.35
103,62,6,1,MinMaxScaler(),0.47,0.46,-0.07,0.87,1.85,0.7,0.88
104,134,12,1,MinMaxScaler(),0.47,0.49,-0.11,0.8,1.58,0.61,0.77
105,93,8,50,StandardScaler(),0.47,0.19,0.24,1.2,2.62,1.24,1.73
106,43,4,30,StandardScaler(),0.47,0.15,0.23,1.27,2.44,1.36,1.69
107,86,8,1,MinMaxScaler(),0.47,0.47,-0.06,0.85,1.7,0.63,0.83
108,9,1,50,StandardScaler(),0.47,0.12,0.52,0.97,2.34,0.1,1.68
109,73,7,1,StandardScaler(),0.47,0.45,-0.04,0.96,2.01,0.92,1.09
110,33,3,50,StandardScaler(),0.47,0.19,-0.02,1.05,2.95,1.05,1.39
111,136,12,5,MinMaxScaler(),0.47,0.47,-0.11,0.8,1.67,0.65,0.86
112,98,9,1,MinMaxScaler(),0.47,0.47,-0.08,0.87,1.82,0.65,0.87
113,123,11,5,StandardScaler(),0.48,0.44,0.26,1.16,2.31,0.87,1.17
114,11,1,100,StandardScaler(),0.48,0.09,0.81,1.52,2.18,0.93,1.61
115,50,5,1,MinMaxScaler(),0.48,0.47,-0.12,0.86,1.84,0.67,0.88
116,111,10,5,StandardScaler(),0.48,0.47,-0.22,0.8,1.78,1.04,0.77
117,49,5,1,StandardScaler(),0.48,0.48,-0.19,0.74,1.7,0.63,0.6
118,107,9,100,StandardScaler(),0.48,0.2,0.3,0.84,1.98,1.06,1.34
119,48,4,100,MinMaxScaler(),0.48,0.1,0.53,1.67,2.66,1.13,2.04
120,24,2,100,MinMaxScaler(),0.48,0.15,0.75,1.56,2.89,1.08,2.65
121,21,2,50,StandardScaler(),0.48,0.15,0.18,1.17,2.67,1.45,2.29
122,2,1,1,MinMaxScaler(),0.49,0.49,-0.17,0.8,1.77,0.57,0.76
123,23,2,100,StandardScaler(),0.49,0.08,0.13,1.18,3.29,1.67,2.7
124,47,4,100,StandardScaler(),0.49,0.07,0.7,1.12,2.17,1.0,1.73
125,137,12,10,StandardScaler(),0.49,0.45,0.29,1.2,2.34,0.96,1.41
126,95,8,100,StandardScaler(),0.49,0.11,0.35,1.6,2.82,1.46,1.83
127,61,6,1,StandardScaler(),0.49,0.49,-0.29,0.78,1.96,0.65,0.69
128,45,4,50,StandardScaler(),0.49,0.1,0.5,1.25,2.27,1.41,1.91
129,59,5,100,StandardScaler(),0.5,0.11,0.09,1.24,2.6,1.32,1.39
130,26,3,1,MinMaxScaler(),0.5,0.49,-0.11,0.86,1.85,0.63,0.81
131,35,3,100,StandardScaler(),0.5,0.12,0.2,1.2,2.7,1.38,1.78
132,81,7,50,StandardScaler(),0.51,0.13,0.14,1.25,2.57,1.57,1.84
133,71,6,100,StandardScaler(),0.51,0.2,0.41,1.59,2.84,1.4,1.43
134,1,1,1,StandardScaler(),0.51,0.49,-0.13,0.88,1.88,0.67,0.86
135,25,3,1,StandardScaler(),0.52,0.5,-0.11,0.9,1.79,0.73,0.88
136,110,10,1,MinMaxScaler(),0.52,0.51,-0.09,0.91,1.91,0.68,0.84
137,85,8,1,StandardScaler(),0.53,0.51,-0.19,0.92,1.64,0.85,0.91
138,97,9,1,StandardScaler(),0.54,0.53,0.01,0.98,1.85,0.64,0.93
139,122,11,1,MinMaxScaler(),0.54,0.5,-0.22,0.86,2.03,0.61,1.04
140,83,7,100,StandardScaler(),0.55,0.08,0.04,1.22,2.45,1.47,1.88
141,109,10,1,StandardScaler(),0.55,0.53,-0.07,0.95,1.96,0.93,0.88
142,135,12,5,StandardScaler(),0.59,0.55,0.7,1.5,2.26,0.97,1.69
143,121,11,1,StandardScaler(),0.76,0.68,0.56,1.54,2.87,0.59,1.54
144,133,12,1,StandardScaler(),0.78,0.76,0.46,1.38,1.78,0.78,1.51
