,Model ID,Parent Model ID,Epochs,Scaler,MAE Test,MAE Train,Proj. 1,Proj. 2,Proj. 3,Proj. 4,Proj. 5
1,3,1,5,StandardScaler(),0.47,0.43,0.5,0.62,0.94,0.92,0.93
2,86,8,1,MinMaxScaler(),0.47,0.46,0.61,0.48,0.71,0.67,0.66
3,138,12,10,MinMaxScaler(),0.47,0.47,0.68,0.31,0.51,0.5,0.47
4,144,12,100,MinMaxScaler(),0.48,0.43,0.46,0.53,0.63,0.58,0.56
5,26,3,1,MinMaxScaler(),0.48,0.47,0.67,0.4,0.62,0.61,0.62
6,28,3,5,MinMaxScaler(),0.48,0.46,0.68,0.51,0.63,0.61,0.61
7,38,4,1,MinMaxScaler(),0.48,0.46,0.68,0.34,0.61,0.6,0.58
8,40,4,5,MinMaxScaler(),0.48,0.44,0.65,0.48,0.66,0.64,0.62
9,42,4,10,MinMaxScaler(),0.48,0.42,0.59,0.56,0.76,0.73,0.69
10,52,5,5,MinMaxScaler(),0.48,0.45,0.62,0.45,0.55,0.52,0.52
11,56,5,30,MinMaxScaler(),0.48,0.37,0.37,0.61,0.93,0.91,0.94
12,64,6,5,MinMaxScaler(),0.48,0.45,0.74,0.42,0.66,0.63,0.61
13,74,7,1,MinMaxScaler(),0.48,0.46,0.68,0.33,0.66,0.65,0.65
14,76,7,5,MinMaxScaler(),0.48,0.44,0.58,0.46,0.65,0.62,0.61
15,78,7,10,MinMaxScaler(),0.48,0.42,0.45,0.46,0.75,0.69,0.68
16,88,8,5,MinMaxScaler(),0.48,0.45,0.66,0.46,0.67,0.63,0.61
17,90,8,10,MinMaxScaler(),0.48,0.43,0.56,0.57,0.66,0.62,0.62
18,104,9,30,MinMaxScaler(),0.48,0.41,0.53,0.52,0.7,0.64,0.62
19,98,9,1,MinMaxScaler(),0.48,0.47,0.59,0.44,0.74,0.74,0.74
20,100,9,5,MinMaxScaler(),0.48,0.45,0.53,0.46,0.55,0.54,0.54
21,66,6,10,MinMaxScaler(),0.48,0.44,0.71,0.47,0.64,0.6,0.57
22,136,12,5,MinMaxScaler(),0.48,0.48,0.6,0.23,0.38,0.38,0.34
23,102,9,10,MinMaxScaler(),0.48,0.44,0.61,0.51,0.63,0.62,0.61
24,2,1,1,MinMaxScaler(),0.48,0.47,0.78,0.42,0.74,0.72,0.72
25,4,1,5,MinMaxScaler(),0.48,0.45,0.62,0.43,0.59,0.57,0.56
26,142,12,50,MinMaxScaler(),0.48,0.44,0.7,0.51,0.68,0.63,0.62
27,5,1,10,StandardScaler(),0.48,0.36,0.49,0.47,1.05,1.04,1.06
28,140,12,30,MinMaxScaler(),0.48,0.45,0.74,0.48,0.66,0.61,0.6
29,6,1,10,MinMaxScaler(),0.48,0.43,0.57,0.56,0.69,0.67,0.65
30,16,2,5,MinMaxScaler(),0.49,0.45,0.65,0.37,0.52,0.47,0.46
31,124,11,5,MinMaxScaler(),0.49,0.46,0.64,0.39,0.66,0.63,0.62
32,114,10,10,MinMaxScaler(),0.49,0.45,0.67,0.5,0.65,0.62,0.6
33,50,5,1,MinMaxScaler(),0.49,0.48,0.77,0.46,0.79,0.76,0.76
34,101,9,10,StandardScaler(),0.49,0.41,0.33,0.5,0.9,0.92,0.89
35,54,5,10,MinMaxScaler(),0.49,0.43,0.54,0.54,0.62,0.59,0.57
36,126,11,10,MinMaxScaler(),0.49,0.45,0.64,0.49,0.72,0.68,0.67
37,14,2,1,MinMaxScaler(),0.49,0.46,0.74,0.4,0.72,0.69,0.68
38,58,5,50,MinMaxScaler(),0.49,0.26,0.41,0.6,0.79,0.81,0.95
39,118,10,50,MinMaxScaler(),0.49,0.42,0.35,0.46,0.66,0.61,0.58
40,68,6,30,MinMaxScaler(),0.49,0.39,0.31,0.49,0.77,0.72,0.71
41,44,4,30,MinMaxScaler(),0.49,0.27,0.35,0.47,1.17,1.22,1.12
42,116,10,30,MinMaxScaler(),0.49,0.44,0.57,0.46,0.66,0.62,0.61
43,80,7,30,MinMaxScaler(),0.49,0.36,0.29,0.39,0.85,0.84,0.79
44,112,10,5,MinMaxScaler(),0.49,0.46,0.67,0.47,0.61,0.58,0.58
45,108,9,100,MinMaxScaler(),0.49,0.32,0.16,0.04,0.87,0.92,0.9
46,27,3,5,StandardScaler(),0.49,0.45,0.34,0.54,0.66,0.63,0.65
47,18,2,10,MinMaxScaler(),0.49,0.43,0.73,0.55,0.72,0.66,0.64
48,106,9,50,MinMaxScaler(),0.49,0.38,0.4,0.51,0.75,0.7,0.68
