,Model ID,Parent Model ID,Epochs,Scaler,MAE Test,MAE Train,Proj. 1,Proj. 2,Proj. 3,Proj. 4,Proj. 5
1,72,6,100,MinMaxScaler(),0.2,0.19,0.64,0.57,0.6,0.77,0.43
2,100,9,5,MinMaxScaler(),0.2,0.2,0.75,0.59,0.61,0.84,0.35
3,98,9,1,MinMaxScaler(),0.2,0.2,0.74,0.73,0.62,0.66,0.45
4,94,8,50,MinMaxScaler(),0.2,0.19,0.65,0.57,0.59,0.83,0.44
5,92,8,30,MinMaxScaler(),0.2,0.19,0.67,0.59,0.59,0.8,0.38
6,90,8,10,MinMaxScaler(),0.2,0.2,0.62,0.57,0.55,0.74,0.35
7,88,8,5,MinMaxScaler(),0.2,0.2,0.61,0.55,0.5,0.73,0.34
8,86,8,1,MinMaxScaler(),0.2,0.2,0.66,0.65,0.57,0.73,0.44
9,80,7,30,MinMaxScaler(),0.2,0.19,0.71,0.62,0.63,0.83,0.42
10,78,7,10,MinMaxScaler(),0.2,0.19,0.67,0.6,0.59,0.75,0.44
11,102,9,10,MinMaxScaler(),0.2,0.19,0.7,0.54,0.59,0.79,0.39
12,76,7,5,MinMaxScaler(),0.2,0.2,0.67,0.58,0.58,0.74,0.37
13,143,12,100,StandardScaler(),0.2,0.19,0.64,0.65,0.63,0.77,0.44
14,70,6,50,MinMaxScaler(),0.2,0.19,0.65,0.53,0.57,0.74,0.33
15,68,6,30,MinMaxScaler(),0.2,0.19,0.64,0.54,0.58,0.73,0.36
16,66,6,10,MinMaxScaler(),0.2,0.2,0.66,0.54,0.57,0.79,0.35
17,64,6,5,MinMaxScaler(),0.2,0.2,0.64,0.53,0.59,0.84,0.47
18,62,6,1,MinMaxScaler(),0.2,0.2,0.7,0.59,0.61,0.8,0.44
19,58,5,50,MinMaxScaler(),0.2,0.19,0.65,0.61,0.58,0.83,0.38
20,56,5,30,MinMaxScaler(),0.2,0.2,0.64,0.56,0.53,0.73,0.33
21,54,5,10,MinMaxScaler(),0.2,0.19,0.67,0.56,0.56,0.72,0.38
22,74,7,1,MinMaxScaler(),0.2,0.2,0.66,0.61,0.58,0.73,0.44
