,Model ID,Parent Model ID,Epochs,Scaler,MAE Test,MAE Train,Proj. 1,Proj. 2,Proj. 3,Proj. 4,Proj. 5
1,72,6,100,MinMaxScaler(),0.2,0.19,0.57,0.53,0.48,0.46,0.32
2,44,4,30,MinMaxScaler(),0.2,0.2,0.55,0.52,0.46,0.45,0.36
3,54,5,10,MinMaxScaler(),0.2,0.2,0.54,0.5,0.46,0.43,0.32
4,56,5,30,MinMaxScaler(),0.2,0.2,0.49,0.45,0.41,0.4,0.34
5,58,5,50,MinMaxScaler(),0.2,0.19,0.58,0.51,0.44,0.47,0.4
6,68,6,30,MinMaxScaler(),0.2,0.2,0.49,0.46,0.43,0.43,0.33
7,70,6,50,MinMaxScaler(),0.2,0.2,0.54,0.5,0.44,0.42,0.26
8,143,12,100,StandardScaler(),0.2,0.2,0.54,0.51,0.42,0.45,0.38
9,74,7,1,MinMaxScaler(),0.2,0.21,0.51,0.47,0.43,0.42,0.29
10,76,7,5,MinMaxScaler(),0.2,0.21,0.55,0.52,0.47,0.46,0.33
11,88,8,5,MinMaxScaler(),0.2,0.21,0.55,0.52,0.45,0.44,0.31
12,90,8,10,MinMaxScaler(),0.2,0.2,0.52,0.48,0.4,0.4,0.31
13,92,8,30,MinMaxScaler(),0.2,0.2,0.55,0.53,0.5,0.48,0.37
14,94,8,50,MinMaxScaler(),0.2,0.19,0.54,0.52,0.48,0.48,0.34
15,42,4,10,MinMaxScaler(),0.2,0.2,0.56,0.53,0.48,0.47,0.38
16,102,9,10,MinMaxScaler(),0.2,0.21,0.57,0.53,0.49,0.47,0.34
17,106,9,50,MinMaxScaler(),0.2,0.2,0.57,0.55,0.48,0.47,0.35
18,108,9,100,MinMaxScaler(),0.2,0.2,0.55,0.53,0.47,0.43,0.32
19,114,10,10,MinMaxScaler(),0.2,0.21,0.6,0.56,0.51,0.5,0.37
20,115,10,30,StandardScaler(),0.2,0.2,0.5,0.47,0.42,0.38,0.18
21,116,10,30,MinMaxScaler(),0.2,0.21,0.56,0.52,0.46,0.44,0.31
22,118,10,50,MinMaxScaler(),0.2,0.2,0.51,0.47,0.42,0.4,0.27
23,120,10,100,MinMaxScaler(),0.2,0.2,0.48,0.44,0.42,0.39,0.3
24,126,11,10,MinMaxScaler(),0.2,0.21,0.58,0.55,0.49,0.51,0.4
25,128,11,30,MinMaxScaler(),0.2,0.2,0.51,0.47,0.42,0.42,0.32
26,130,11,50,MinMaxScaler(),0.2,0.2,0.51,0.47,0.42,0.42,0.32
27,132,11,100,MinMaxScaler(),0.2,0.2,0.49,0.45,0.41,0.4,0.29
28,141,12,50,StandardScaler(),0.2,0.2,0.55,0.56,0.49,0.44,0.37
29,142,12,50,MinMaxScaler(),0.2,0.2,0.51,0.48,0.42,0.37,0.23
30,104,9,30,MinMaxScaler(),0.2,0.2,0.5,0.46,0.41,0.39,0.33
31,40,4,5,MinMaxScaler(),0.2,0.2,0.55,0.51,0.47,0.45,0.35
32,144,12,100,MinMaxScaler(),0.2,0.2,0.51,0.48,0.42,0.36,0.25
33,20,2,30,MinMaxScaler(),0.2,0.2,0.54,0.5,0.46,0.47,0.35
34,8,1,30,MinMaxScaler(),0.2,0.2,0.53,0.49,0.46,0.43,0.28
35,32,3,30,MinMaxScaler(),0.2,0.2,0.56,0.52,0.44,0.43,0.33
36,28,3,5,MinMaxScaler(),0.2,0.21,0.55,0.52,0.46,0.44,0.34
37,30,3,10,MinMaxScaler(),0.2,0.21,0.57,0.52,0.47,0.46,0.33
38,6,1,10,MinMaxScaler(),0.2,0.2,0.51,0.48,0.42,0.4,0.33
39,127,11,30,StandardScaler(),0.21,0.2,0.54,0.47,0.43,0.47,0.27
40,112,10,5,MinMaxScaler(),0.21,0.21,0.57,0.53,0.49,0.5,0.37
41,75,7,5,StandardScaler(),0.21,0.2,0.43,0.35,0.28,0.36,0.25
42,38,4,1,MinMaxScaler(),0.21,0.21,0.6,0.55,0.51,0.49,0.35
43,78,7,10,MinMaxScaler(),0.21,0.21,0.48,0.44,0.4,0.39,0.28
44,80,7,30,MinMaxScaler(),0.21,0.2,0.5,0.46,0.43,0.4,0.3
45,125,11,10,StandardScaler(),0.21,0.21,0.63,0.6,0.56,0.66,0.53
46,82,7,50,MinMaxScaler(),0.21,0.19,0.54,0.48,0.38,0.37,0.31
47,124,11,5,MinMaxScaler(),0.21,0.21,0.56,0.53,0.48,0.49,0.4
48,84,7,100,MinMaxScaler(),0.21,0.18,0.6,0.53,0.31,0.39,0.43
49,86,8,1,MinMaxScaler(),0.21,0.21,0.52,0.5,0.44,0.43,0.3
50,87,8,5,StandardScaler(),0.21,0.2,0.52,0.48,0.39,0.41,0.32
51,2,1,1,MinMaxScaler(),0.21,0.21,0.54,0.52,0.47,0.45,0.34
52,89,8,10,StandardScaler(),0.21,0.19,0.58,0.48,0.38,0.49,0.33
53,18,2,10,MinMaxScaler(),0.21,0.21,0.59,0.56,0.51,0.49,0.4
54,17,2,10,StandardScaler(),0.21,0.19,0.48,0.45,0.39,0.36,0.23
55,96,8,100,MinMaxScaler(),0.21,0.19,0.55,0.53,0.38,0.43,0.31
56,34,3,50,MinMaxScaler(),0.21,0.19,0.52,0.48,0.42,0.43,0.32
57,98,9,1,MinMaxScaler(),0.21,0.22,0.61,0.6,0.56,0.54,0.47
58,100,9,5,MinMaxScaler(),0.21,0.21,0.53,0.48,0.44,0.44,0.31
59,101,9,10,StandardScaler(),0.21,0.19,0.45,0.48,0.39,0.41,0.3
60,16,2,5,MinMaxScaler(),0.21,0.21,0.62,0.58,0.53,0.52,0.41
61,103,9,30,StandardScaler(),0.21,0.19,0.46,0.48,0.35,0.45,0.27
62,15,2,5,StandardScaler(),0.21,0.2,0.51,0.51,0.48,0.47,0.39
63,14,2,1,MinMaxScaler(),0.21,0.21,0.59,0.57,0.53,0.52,0.43
64,119,10,100,StandardScaler(),0.21,0.19,0.54,0.53,0.4,0.46,0.4
65,117,10,50,StandardScaler(),0.21,0.19,0.58,0.55,0.44,0.52,0.43
66,10,1,50,MinMaxScaler(),0.21,0.19,0.55,0.52,0.42,0.41,0.29
67,129,11,50,StandardScaler(),0.21,0.19,0.56,0.51,0.44,0.46,0.26
68,24,2,100,MinMaxScaler(),0.21,0.18,0.59,0.58,0.43,0.46,0.41
69,113,10,10,StandardScaler(),0.21,0.2,0.55,0.53,0.52,0.52,0.39
70,5,1,10,StandardScaler(),0.21,0.19,0.5,0.47,0.25,0.36,0.19
71,51,5,5,StandardScaler(),0.21,0.2,0.43,0.35,0.33,0.34,0.12
72,52,5,5,MinMaxScaler(),0.21,0.21,0.62,0.57,0.53,0.54,0.4
73,138,12,10,MinMaxScaler(),0.21,0.21,0.61,0.58,0.54,0.52,0.39
74,53,5,10,StandardScaler(),0.21,0.19,0.49,0.44,0.41,0.3,0.2
75,46,4,50,MinMaxScaler(),0.21,0.19,0.6,0.57,0.48,0.48,0.38
76,139,12,30,StandardScaler(),0.21,0.2,0.51,0.54,0.49,0.49,0.42
77,36,3,100,MinMaxScaler(),0.21,0.18,0.58,0.52,0.3,0.41,0.29
78,29,3,10,StandardScaler(),0.21,0.19,0.55,0.52,0.36,0.43,0.33
79,27,3,5,StandardScaler(),0.21,0.2,0.53,0.49,0.43,0.61,0.59
80,136,12,5,MinMaxScaler(),0.21,0.21,0.61,0.58,0.55,0.53,0.42
81,50,5,1,MinMaxScaler(),0.21,0.21,0.59,0.56,0.52,0.51,0.41
82,4,1,5,MinMaxScaler(),0.21,0.21,0.52,0.48,0.42,0.4,0.32
83,26,3,1,MinMaxScaler(),0.21,0.22,0.63,0.61,0.55,0.51,0.43
84,131,11,100,StandardScaler(),0.21,0.19,0.57,0.53,0.4,0.46,0.24
