,Model ID,Parent Model ID,Epochs,Scaler,MAE Test,MAE Train,Proj. 1,Proj. 2,Proj. 3,Proj. 4,Proj. 5
1,1,1,1,StandardScaler(),0.21,0.22,1.43,1.7,1.55,0.56,0.67
2,104,9,30,MinMaxScaler(),0.21,0.21,1.37,1.52,1.53,0.54,0.61
3,102,9,10,MinMaxScaler(),0.21,0.21,1.34,1.51,1.5,0.54,0.6
4,100,9,5,MinMaxScaler(),0.21,0.22,1.39,1.6,1.57,0.52,0.59
5,92,8,30,MinMaxScaler(),0.21,0.21,1.38,1.52,1.51,0.56,0.64
6,90,8,10,MinMaxScaler(),0.21,0.21,1.4,1.61,1.57,0.56,0.62
7,88,8,5,MinMaxScaler(),0.21,0.22,1.42,1.64,1.6,0.52,0.59
8,78,7,10,MinMaxScaler(),0.21,0.21,1.5,1.7,1.68,0.56,0.64
9,76,7,5,MinMaxScaler(),0.21,0.21,1.41,1.65,1.59,0.5,0.59
10,143,12,100,StandardScaler(),0.21,0.21,1.34,1.44,1.48,0.58,0.6
11,70,6,50,MinMaxScaler(),0.21,0.21,1.44,1.22,1.69,0.53,0.6
12,68,6,30,MinMaxScaler(),0.21,0.21,1.43,1.6,1.62,0.55,0.65
13,66,6,10,MinMaxScaler(),0.21,0.22,1.44,1.66,1.63,0.55,0.62
14,64,6,5,MinMaxScaler(),0.21,0.22,1.41,1.67,1.62,0.48,0.55
15,54,5,10,MinMaxScaler(),0.21,0.21,1.42,1.6,1.61,0.55,0.61
16,52,5,5,MinMaxScaler(),0.21,0.22,1.43,1.65,1.63,0.51,0.58
17,106,9,50,MinMaxScaler(),0.21,0.21,1.41,1.57,1.57,0.54,0.6
18,110,10,1,MinMaxScaler(),0.21,0.22,1.37,1.7,1.52,0.48,0.57
19,112,10,5,MinMaxScaler(),0.21,0.22,1.37,1.63,1.54,0.48,0.58
20,114,10,10,MinMaxScaler(),0.21,0.22,1.39,1.62,1.56,0.5,0.58
21,142,12,50,MinMaxScaler(),0.21,0.21,1.39,1.59,1.57,0.56,0.62
22,141,12,50,StandardScaler(),0.21,0.21,1.37,1.45,1.53,0.57,0.59
23,140,12,30,MinMaxScaler(),0.21,0.21,1.4,1.6,1.58,0.55,0.61
24,139,12,30,StandardScaler(),0.21,0.21,1.33,1.44,1.46,0.57,0.61
25,138,12,10,MinMaxScaler(),0.21,0.22,1.4,1.62,1.58,0.53,0.6
26,137,12,10,StandardScaler(),0.21,0.22,1.35,1.45,1.43,0.55,0.58
27,136,12,5,MinMaxScaler(),0.21,0.22,1.34,1.65,1.49,0.52,0.59
28,42,4,10,MinMaxScaler(),0.21,0.21,1.35,1.56,1.53,0.5,0.59
29,132,11,100,MinMaxScaler(),0.21,0.21,1.36,1.53,1.52,0.59,0.68
30,128,11,30,MinMaxScaler(),0.21,0.21,1.36,1.59,1.55,0.52,0.6
31,127,11,30,StandardScaler(),0.21,0.21,1.46,1.59,1.64,0.56,0.63
32,126,11,10,MinMaxScaler(),0.21,0.22,1.43,1.65,1.62,0.51,0.59
33,125,11,10,StandardScaler(),0.21,0.21,1.41,1.71,1.6,0.59,0.64
34,120,10,100,MinMaxScaler(),0.21,0.21,1.33,1.5,1.5,0.55,0.61
35,118,10,50,MinMaxScaler(),0.21,0.21,1.37,1.54,1.53,0.57,0.64
36,116,10,30,MinMaxScaler(),0.21,0.21,1.39,1.58,1.56,0.56,0.63
37,130,11,50,MinMaxScaler(),0.21,0.21,1.33,1.55,1.48,0.55,0.63
38,40,4,5,MinMaxScaler(),0.21,0.22,1.4,1.58,1.58,0.5,0.57
39,144,12,100,MinMaxScaler(),0.21,0.21,1.42,1.61,1.59,0.58,0.64
40,38,4,1,MinMaxScaler(),0.21,0.22,1.46,1.7,1.65,0.5,0.58
41,28,3,5,MinMaxScaler(),0.21,0.22,1.4,1.67,1.59,0.49,0.57
42,30,3,10,MinMaxScaler(),0.21,0.21,1.38,1.59,1.57,0.54,0.61
43,32,3,30,MinMaxScaler(),0.21,0.21,1.37,1.47,1.47,0.56,0.62
44,15,2,5,StandardScaler(),0.21,0.2,1.53,1.61,1.73,0.56,0.65
45,14,2,1,MinMaxScaler(),0.21,0.22,1.49,1.74,1.69,0.51,0.59
46,13,2,1,StandardScaler(),0.21,0.22,1.49,1.77,1.76,0.63,0.74
47,18,2,10,MinMaxScaler(),0.21,0.21,1.41,1.58,1.57,0.53,0.61
48,4,1,5,MinMaxScaler(),0.21,0.22,1.41,1.63,1.58,0.52,0.6
49,6,1,10,MinMaxScaler(),0.21,0.21,1.4,1.58,1.57,0.52,0.62
50,3,1,5,StandardScaler(),0.21,0.2,1.31,1.46,1.41,0.56,0.6
51,10,1,50,MinMaxScaler(),0.22,0.19,1.49,1.33,1.56,0.56,0.63
52,99,9,5,StandardScaler(),0.22,0.21,1.35,1.81,1.45,0.55,0.57
53,98,9,1,MinMaxScaler(),0.22,0.22,1.46,1.74,1.64,0.5,0.59
54,96,8,100,MinMaxScaler(),0.22,0.19,1.49,1.34,1.58,0.66,0.58
55,94,8,50,MinMaxScaler(),0.22,0.2,1.45,1.48,1.52,0.6,0.61
56,39,4,5,StandardScaler(),0.22,0.2,1.36,1.52,1.49,0.55,0.6
57,26,3,1,MinMaxScaler(),0.22,0.22,1.48,1.75,1.67,0.47,0.57
58,89,8,10,StandardScaler(),0.22,0.19,1.33,1.47,1.39,0.63,0.59
59,27,3,5,StandardScaler(),0.22,0.21,1.3,1.77,1.46,0.47,0.62
60,87,8,5,StandardScaler(),0.22,0.21,1.31,1.51,1.41,0.55,0.55
61,2,1,1,MinMaxScaler(),0.22,0.22,1.43,1.72,1.63,0.46,0.54
62,86,8,1,MinMaxScaler(),0.22,0.22,1.42,1.66,1.6,0.47,0.56
63,101,9,10,StandardScaler(),0.22,0.2,1.28,1.57,1.44,0.61,0.58
64,22,2,50,MinMaxScaler(),0.22,0.19,1.38,1.96,1.19,0.59,0.63
65,108,9,100,MinMaxScaler(),0.22,0.2,1.61,1.74,1.61,0.55,0.61
66,20,2,30,MinMaxScaler(),0.22,0.21,1.51,1.69,1.63,0.59,0.67
67,111,10,5,StandardScaler(),0.22,0.22,1.22,1.53,1.3,0.51,0.6
68,113,10,10,StandardScaler(),0.22,0.21,1.27,1.46,1.35,0.49,0.59
