,Model ID,Parent Model ID,Epochs,Scaler,MAE Test,MAE Train,Proj. 1,Proj. 2,Proj. 3,Proj. 4,Proj. 5
1,58,5,50,MinMaxScaler(),0.4,0.4,-0.0,1.37,2.16,0.35,2.06
2,94,8,50,MinMaxScaler(),0.4,0.41,0.0,1.18,2.21,0.37,2.08
3,32,3,30,MinMaxScaler(),0.4,0.41,-0.0,1.36,2.14,0.36,2.23
4,108,9,100,MinMaxScaler(),0.4,0.41,-0.01,1.23,2.12,0.33,2.24
5,115,10,30,StandardScaler(),0.4,0.41,0.02,1.26,2.18,0.45,2.28
6,80,7,30,MinMaxScaler(),0.4,0.41,-0.0,1.24,2.16,0.39,2.31
7,60,5,100,MinMaxScaler(),0.4,0.39,-0.0,1.31,2.22,0.31,1.83
8,96,8,100,MinMaxScaler(),0.4,0.41,0.01,1.2,2.21,0.31,2.0
9,69,6,50,StandardScaler(),0.4,0.39,0.02,1.5,2.24,0.41,2.03
10,70,6,50,MinMaxScaler(),0.41,0.41,-0.0,1.37,2.17,0.35,2.37
11,63,6,5,StandardScaler(),0.41,0.41,-0.01,1.23,2.31,0.55,2.43
12,64,6,5,MinMaxScaler(),0.41,0.42,-0.02,1.09,1.9,0.45,2.08
13,92,8,30,MinMaxScaler(),0.41,0.41,-0.01,1.2,2.21,0.36,2.25
14,91,8,30,StandardScaler(),0.41,0.4,-0.01,1.21,2.17,0.48,2.24
15,90,8,10,MinMaxScaler(),0.41,0.42,0.01,1.19,2.22,0.48,2.43
16,89,8,10,StandardScaler(),0.41,0.41,-0.01,1.17,2.31,0.51,2.38
17,65,6,10,StandardScaler(),0.41,0.41,-0.0,1.28,2.24,0.5,2.2
18,87,8,5,StandardScaler(),0.41,0.42,-0.04,1.18,2.29,0.51,2.36
19,66,6,10,MinMaxScaler(),0.41,0.41,0.01,1.23,2.1,0.45,2.35
20,82,7,50,MinMaxScaler(),0.41,0.4,0.0,1.38,2.22,0.37,2.28
21,67,6,30,StandardScaler(),0.41,0.4,-0.02,1.37,2.17,0.43,2.18
22,68,6,30,MinMaxScaler(),0.41,0.41,-0.0,1.37,2.28,0.45,2.44
23,78,7,10,MinMaxScaler(),0.41,0.41,-0.0,1.19,2.11,0.46,2.33
24,77,7,10,StandardScaler(),0.41,0.4,-0.01,1.36,2.28,0.5,2.29
25,75,7,5,StandardScaler(),0.41,0.41,0.0,1.28,2.2,0.56,2.32
26,143,12,100,StandardScaler(),0.41,0.41,-0.02,1.27,2.33,0.46,2.6
27,71,6,100,StandardScaler(),0.41,0.38,0.01,1.31,2.14,0.35,2.0
28,84,7,100,MinMaxScaler(),0.41,0.4,0.02,1.29,2.09,0.34,2.04
29,79,7,30,StandardScaler(),0.41,0.39,0.0,1.31,2.31,0.52,1.91
30,72,6,100,MinMaxScaler(),0.41,0.4,-0.01,1.3,2.26,0.29,2.14
31,102,9,10,MinMaxScaler(),0.41,0.42,-0.01,1.21,2.15,0.46,2.37
32,142,12,50,MinMaxScaler(),0.41,0.41,0.01,1.17,2.17,0.46,2.38
33,141,12,50,StandardScaler(),0.41,0.41,0.01,1.19,2.27,0.44,2.41
34,140,12,30,MinMaxScaler(),0.41,0.42,-0.01,1.12,2.08,0.5,2.28
35,139,12,30,StandardScaler(),0.41,0.42,-0.03,1.18,2.14,0.55,2.46
36,137,12,10,StandardScaler(),0.41,0.42,-0.02,1.2,2.18,0.58,2.4
37,132,11,100,MinMaxScaler(),0.41,0.41,0.02,1.22,2.19,0.42,2.38
38,131,11,100,StandardScaler(),0.41,0.41,-0.0,1.37,2.22,0.36,2.19
39,130,11,50,MinMaxScaler(),0.41,0.41,0.03,1.19,2.18,0.41,2.38
40,129,11,50,StandardScaler(),0.41,0.41,0.02,1.4,2.24,0.41,2.31
