,Model ID,Parent Model ID,Epochs,Scaler,MAE Test,MAE Train,Proj. 1,Proj. 2,Proj. 3,Proj. 4,Proj. 5
1,144,12,100,MinMaxScaler(),0.63,0.6,1.79,1.47,2.01,1.82,1.59
2,90,8,10,MinMaxScaler(),0.63,0.62,1.89,1.86,2.1,2.03,1.76
3,104,9,30,MinMaxScaler(),0.64,0.6,1.61,1.76,1.91,2.01,1.59
4,64,6,5,MinMaxScaler(),0.64,0.63,1.55,1.56,1.95,1.76,1.5
5,102,9,10,MinMaxScaler(),0.64,0.62,1.74,1.63,1.93,1.84,1.59
6,92,8,30,MinMaxScaler(),0.64,0.54,1.44,1.64,2.08,1.96,1.68
7,38,4,1,MinMaxScaler(),0.64,0.63,1.69,1.6,1.94,1.72,1.52
8,88,8,5,MinMaxScaler(),0.64,0.62,1.69,1.66,1.94,1.72,1.5
9,28,3,5,MinMaxScaler(),0.64,0.62,1.66,1.62,1.89,1.73,1.44
10,40,4,5,MinMaxScaler(),0.64,0.61,1.69,1.61,1.91,1.86,1.58
11,78,7,10,MinMaxScaler(),0.64,0.6,1.8,1.81,2.21,2.09,1.77
12,76,7,5,MinMaxScaler(),0.64,0.62,1.65,1.49,1.78,1.73,1.45
13,51,5,5,StandardScaler(),0.64,0.59,1.51,1.75,1.98,1.91,1.66
14,52,5,5,MinMaxScaler(),0.64,0.62,1.69,1.6,1.78,1.71,1.46
15,54,5,10,MinMaxScaler(),0.64,0.6,1.88,1.66,1.98,1.94,1.58
16,68,6,30,MinMaxScaler(),0.64,0.59,1.36,1.37,1.77,1.82,1.61
17,66,6,10,MinMaxScaler(),0.64,0.62,1.49,1.59,1.84,1.81,1.5
18,42,4,10,MinMaxScaler(),0.64,0.57,1.48,1.7,1.9,1.99,1.51
19,114,10,10,MinMaxScaler(),0.64,0.62,1.71,1.66,1.88,1.65,1.53
20,30,3,10,MinMaxScaler(),0.64,0.61,1.71,1.66,1.89,1.77,1.48
21,140,12,30,MinMaxScaler(),0.64,0.62,1.68,1.54,1.96,1.77,1.57
22,4,1,5,MinMaxScaler(),0.64,0.61,1.69,1.65,1.89,1.76,1.59
23,18,2,10,MinMaxScaler(),0.64,0.6,1.82,1.55,2.07,1.87,1.69
24,118,10,50,MinMaxScaler(),0.64,0.6,1.8,1.65,2.03,1.77,1.6
25,132,11,100,MinMaxScaler(),0.64,0.57,1.49,1.66,1.57,1.94,1.44
26,15,2,5,StandardScaler(),0.64,0.59,1.45,1.37,2.52,1.54,1.32
27,130,11,50,MinMaxScaler(),0.64,0.59,1.57,1.72,1.88,1.94,1.52
28,142,12,50,MinMaxScaler(),0.64,0.61,1.71,1.5,1.95,1.81,1.58
29,56,5,30,MinMaxScaler(),0.65,0.51,1.68,1.34,1.89,1.95,1.65
30,75,7,5,StandardScaler(),0.65,0.56,1.35,1.49,2.42,1.83,1.47
31,6,1,10,MinMaxScaler(),0.65,0.57,1.54,1.52,1.75,1.82,1.43
32,139,12,30,StandardScaler(),0.65,0.6,1.58,1.74,2.33,1.9,1.4
33,138,12,10,MinMaxScaler(),0.65,0.64,1.68,1.66,1.84,1.69,1.56
34,128,11,30,MinMaxScaler(),0.65,0.61,1.48,1.64,1.73,1.82,1.49
35,73,7,1,StandardScaler(),0.65,0.66,1.44,1.49,2.15,1.82,1.5
36,2,1,1,MinMaxScaler(),0.65,0.64,1.51,1.46,1.74,1.55,1.35
37,100,9,5,MinMaxScaler(),0.65,0.63,1.53,1.56,1.76,1.57,1.43
38,101,9,10,StandardScaler(),0.65,0.58,1.75,1.53,2.19,2.1,1.55
39,16,2,5,MinMaxScaler(),0.65,0.63,1.55,1.44,1.67,1.56,1.29
40,106,9,50,MinMaxScaler(),0.65,0.56,1.32,1.67,2.16,2.03,1.65
41,112,10,5,MinMaxScaler(),0.65,0.63,1.62,1.6,1.84,1.5,1.54
42,113,10,10,StandardScaler(),0.65,0.61,1.84,2.02,2.17,1.74,1.45
43,120,10,100,MinMaxScaler(),0.65,0.57,1.5,1.86,2.05,1.63,1.63
44,115,10,30,StandardScaler(),0.65,0.57,1.71,2.11,2.21,1.75,1.44
