,Model ID,Parent Model ID,Epochs,Scaler,MAE Test,MAE Train,Proj. 1,Proj. 2,Proj. 3,Proj. 4,Proj. 5
1,92,8,30,MinMaxScaler(),0.43,0.45,-0.02,0.99,2.13,1.77,2.35
2,82,7,50,MinMaxScaler(),0.43,0.43,-0.01,1.01,2.2,1.66,2.33
3,94,8,50,MinMaxScaler(),0.43,0.44,0.02,1.06,2.19,1.87,2.31
4,22,2,50,MinMaxScaler(),0.43,0.42,-0.01,1.12,2.23,2.0,2.17
5,78,7,10,MinMaxScaler(),0.43,0.45,0.0,0.99,2.06,1.64,2.33
6,77,7,10,StandardScaler(),0.43,0.43,-0.01,0.97,2.14,1.85,2.27
7,104,9,30,MinMaxScaler(),0.43,0.45,0.0,1.03,2.13,1.68,2.34
8,106,9,50,MinMaxScaler(),0.43,0.45,0.0,1.02,2.12,1.71,2.31
9,108,9,100,MinMaxScaler(),0.43,0.44,-0.01,1.04,2.13,1.76,2.23
10,132,11,100,MinMaxScaler(),0.43,0.45,-0.01,1.02,2.13,1.65,2.3
11,130,11,50,MinMaxScaler(),0.43,0.45,0.02,1.01,2.11,1.68,2.39
12,6,1,10,MinMaxScaler(),0.43,0.45,-0.03,0.97,2.13,1.75,2.38
13,67,6,30,StandardScaler(),0.44,0.43,-0.06,1.03,2.15,1.83,2.4
14,80,7,30,MinMaxScaler(),0.44,0.44,-0.01,0.94,2.05,1.69,2.22
15,54,5,10,MinMaxScaler(),0.44,0.46,-0.03,0.98,2.0,1.68,2.23
16,79,7,30,StandardScaler(),0.44,0.41,-0.02,0.94,2.11,1.66,2.47
17,56,5,30,MinMaxScaler(),0.44,0.45,0.06,1.05,2.1,1.9,2.37
18,76,7,5,MinMaxScaler(),0.44,0.46,-0.0,0.94,1.98,1.6,2.21
19,58,5,50,MinMaxScaler(),0.44,0.44,-0.07,0.99,2.05,1.83,2.2
20,75,7,5,StandardScaler(),0.44,0.45,-0.04,1.0,2.09,1.75,2.17
21,65,6,10,StandardScaler(),0.44,0.44,0.01,1.04,2.22,1.87,2.34
