,Model ID,Parent Model ID,Epochs,Scaler,MAE Test,MAE Train,Proj. 1,Proj. 2,Proj. 3,Proj. 4,Proj. 5
1,116,10,30,MinMaxScaler(),0.69,0.68,2.95,3.55,1.92,1.45,2.52
2,100,9,5,MinMaxScaler(),0.69,0.69,2.9,3.14,1.79,1.77,2.22
3,40,4,5,MinMaxScaler(),0.69,0.67,3.19,3.59,2.17,1.6,2.6
4,86,8,1,MinMaxScaler(),0.7,0.71,2.72,2.63,1.83,1.46,2.22
5,122,11,1,MinMaxScaler(),0.7,0.7,2.99,2.92,2.04,1.44,2.24
6,124,11,5,MinMaxScaler(),0.7,0.69,2.78,3.15,2.08,1.53,2.35
7,118,10,50,MinMaxScaler(),0.7,0.66,2.95,3.75,1.94,1.48,2.64
8,42,4,10,MinMaxScaler(),0.7,0.65,3.07,4.07,2.33,1.67,2.81
9,114,10,10,MinMaxScaler(),0.7,0.69,2.79,2.97,1.92,1.61,2.35
10,28,3,5,MinMaxScaler(),0.7,0.7,3.18,3.22,2.04,1.78,2.51
11,112,10,5,MinMaxScaler(),0.7,0.7,2.59,2.73,1.75,1.76,2.18
12,26,3,1,MinMaxScaler(),0.7,0.71,2.9,2.78,1.71,1.69,2.14
13,126,11,10,MinMaxScaler(),0.7,0.69,2.7,3.14,1.91,1.51,2.35
14,128,11,30,MinMaxScaler(),0.7,0.67,2.87,3.41,1.87,1.47,2.55
15,130,11,50,MinMaxScaler(),0.7,0.65,2.81,3.54,1.88,1.36,2.61
16,104,9,30,MinMaxScaler(),0.7,0.66,3.12,3.61,2.1,1.35,2.62
17,102,9,10,MinMaxScaler(),0.7,0.68,3.17,3.47,2.06,1.65,2.49
18,16,2,5,MinMaxScaler(),0.7,0.69,3.04,3.32,2.03,1.56,2.46
19,2,1,1,MinMaxScaler(),0.7,0.7,2.98,3.03,1.76,1.72,2.21
20,88,8,5,MinMaxScaler(),0.7,0.69,3.09,3.37,2.07,1.73,2.56
21,4,1,5,MinMaxScaler(),0.7,0.69,2.95,3.21,1.93,1.57,2.36
22,142,12,50,MinMaxScaler(),0.7,0.68,3.07,3.4,2.05,1.59,2.52
23,90,8,10,MinMaxScaler(),0.7,0.67,3.05,3.71,2.08,1.63,2.67
24,78,7,10,MinMaxScaler(),0.7,0.65,3.02,3.68,2.15,1.75,2.76
25,64,6,5,MinMaxScaler(),0.7,0.7,2.8,2.76,1.94,1.51,2.17
26,140,12,30,MinMaxScaler(),0.7,0.69,2.86,3.0,2.07,1.64,2.38
27,14,2,1,MinMaxScaler(),0.7,0.71,2.61,2.68,1.57,1.76,2.13
28,66,6,10,MinMaxScaler(),0.7,0.69,3.03,3.17,2.09,1.57,2.4
29,74,7,1,MinMaxScaler(),0.7,0.71,2.52,2.76,1.59,1.51,1.96
30,98,9,1,MinMaxScaler(),0.71,0.72,3.07,3.19,1.63,2.17,2.24
31,76,7,5,MinMaxScaler(),0.71,0.69,2.77,3.09,1.9,1.53,2.32
32,50,5,1,MinMaxScaler(),0.71,0.7,3.17,3.22,1.88,1.72,2.36
33,68,6,30,MinMaxScaler(),0.71,0.67,3.6,3.97,2.17,1.59,2.96
34,52,5,5,MinMaxScaler(),0.71,0.69,3.19,3.52,2.16,1.66,2.61
35,54,5,10,MinMaxScaler(),0.71,0.67,3.17,3.67,2.18,1.67,2.8
36,38,4,1,MinMaxScaler(),0.71,0.72,2.53,2.7,1.6,1.42,2.01
37,144,12,100,MinMaxScaler(),0.71,0.67,3.32,3.95,2.02,1.53,2.74
38,18,2,10,MinMaxScaler(),0.71,0.69,3.08,3.54,2.11,1.49,2.54
39,138,12,10,MinMaxScaler(),0.71,0.71,2.55,2.53,1.93,1.53,2.17
40,30,3,10,MinMaxScaler(),0.71,0.69,2.66,2.94,1.8,1.47,2.31
41,132,11,100,MinMaxScaler(),0.72,0.63,2.45,3.39,1.9,1.26,2.59
