,Player,Year,Position,Age,Height,Weight,Y1 GP,Y2 GP,Y3 GP,Y4 GP,Y5 GP,Y1 EV ATOI,Y2 EV ATOI,Y3 EV ATOI,Y4 EV ATOI,Y5 EV ATOI,Y5 dEV ATOI
Ryan Suter 2012,Ryan Suter,2012,D,26.692,73,205,76.0,82.0,82.0,70,79,15.0504,18.1161,18.851,19.6798,20.4226,2.4982749999999996
Ryan Suter 2013,Ryan Suter,2013,D,27.694,73,205,82.0,82.0,70.0,79,82,18.1161,18.851,19.6798,20.4226,21.3424,2.075025
Ryan Suter 2014,Ryan Suter,2014,D,28.693,73,205,82.0,70.0,79.0,82,82,18.851,19.6798,20.4226,21.3424,23.2717,3.197749999999999
Ryan Suter 2015,Ryan Suter,2015,D,29.693,73,205,70.0,79.0,82.0,82,77,19.6798,20.4226,21.3424,23.2717,23.1963,2.0171750000000017
Ryan Suter 2016,Ryan Suter,2016,D,30.692,73,205,79.0,82.0,82.0,77,82,20.4226,21.3424,23.2717,23.1963,22.9341,0.8758499999999998
Ryan Suter 2017,Ryan Suter,2017,D,31.694,73,205,82.0,82.0,77.0,82,82,21.3424,23.2717,23.1963,22.9341,21.8337,-0.8524250000000002
Ryan Suter 2018,Ryan Suter,2018,D,32.694,73,205,82.0,77.0,82.0,82,78,23.2717,23.1963,22.9341,21.8337,20.6979,-2.1110499999999988
Ryan Suter 2019,Ryan Suter,2019,D,33.693,73,205,77.0,82.0,82.0,78,82,23.1963,22.9341,21.8337,20.6979,21.3246,-0.8409000000000013
Ryan Suter 2020,Ryan Suter,2020,D,34.692,73,205,82.0,82.0,78.0,82,81,22.9341,21.8337,20.6979,21.3246,19.1466,-2.550975000000001
Ryan Suter 2021,Ryan Suter,2021,D,35.694,73,205,82.0,78.0,82.0,81,82,21.8337,20.6979,21.3246,19.1466,17.728,-3.0227000000000004
Ryan Suter 2022,Ryan Suter,2022,D,36.694,73,205,78.0,82.0,81.0,82,82,20.6979,21.3246,19.1466,17.728,19.9234,0.19912500000000222
Ryan Suter 2023,Ryan Suter,2023,D,37.693,73,205,82.0,81.0,82.0,82,82,21.3246,19.1466,17.728,19.9234,17.2488,-2.281850000000002
Brent Burns 2012,Brent Burns,2012,D,26.563,77,230,82.0,59.0,47.0,80,81,17.2791,17.0155,17.1482,19.2581,18.0012,0.32597500000000323
Brent Burns 2013,Brent Burns,2013,D,27.565,77,230,59.0,47.0,80.0,81,51,17.0155,17.1482,19.2581,18.0012,14.3539,-3.501850000000001
Brent Burns 2014,Brent Burns,2014,D,28.565,77,230,47.0,80.0,81.0,51,69,17.1482,19.2581,18.0012,14.3539,14.5425,-2.6478499999999983
Brent Burns 2015,Brent Burns,2015,D,29.564,77,230,80.0,81.0,51.0,69,82,19.2581,18.0012,14.3539,14.5425,18.5965,2.057575
Brent Burns 2016,Brent Burns,2016,D,30.563,77,230,81.0,51.0,69.0,82,82,18.0012,14.3539,14.5425,18.5965,19.5911,3.217575
Brent Burns 2017,Brent Burns,2017,D,31.566,77,230,51.0,69.0,82.0,82,82,14.3539,14.5425,18.5965,19.5911,19.5398,2.768799999999999
Brent Burns 2018,Brent Burns,2018,D,32.565,77,230,69.0,82.0,82.0,82,82,14.5425,18.5965,19.5911,19.5398,20.0591,1.991624999999999
Brent Burns 2019,Brent Burns,2019,D,33.564,77,230,82.0,82.0,82.0,82,82,18.5965,19.5911,19.5398,20.0591,19.7783,0.3316750000000006
Brent Burns 2020,Brent Burns,2020,D,34.564,77,230,82.0,82.0,82.0,82,82,19.5911,19.5398,20.0591,19.7783,20.074,0.3319250000000018
Brent Burns 2021,Brent Burns,2021,D,35.566,77,230,82.0,82.0,82.0,82,82,19.5398,20.0591,19.7783,20.074,20.5443,0.6814999999999998
Brent Burns 2022,Brent Burns,2022,D,36.565,77,230,82.0,82.0,82.0,82,82,20.0591,19.7783,20.074,20.5443,20.5939,0.4799749999999996
Brent Burns 2023,Brent Burns,2023,D,37.564,77,230,82.0,82.0,82.0,82,82,19.7783,20.074,20.5443,20.5939,18.0988,-2.1488249999999987
Mark Giordano 2013,Mark Giordano,2013,D,28.997,72,205,58.0,82.0,82.0,61,80,12.8641,16.2417,17.4874,17.4295,18.2574,2.2517250000000004
Mark Giordano 2014,Mark Giordano,2014,D,29.997,72,205,82.0,82.0,61.0,80,64,16.2417,17.4874,17.4295,18.2574,19.1159,1.7619000000000007
Mark Giordano 2015,Mark Giordano,2015,D,30.996,72,205,82.0,61.0,80.0,64,61,17.4874,17.4295,18.2574,19.1159,19.8533,1.7807500000000012
Mark Giordano 2016,Mark Giordano,2016,D,31.995,72,205,61.0,80.0,64.0,61,82,17.4295,18.2574,19.1159,19.8533,19.1904,0.526374999999998
Mark Giordano 2017,Mark Giordano,2017,D,32.997,72,205,80.0,64.0,61.0,82,81,18.2574,19.1159,19.8533,19.1904,17.7276,-1.3766500000000015
Mark Giordano 2018,Mark Giordano,2018,D,33.997,72,205,64.0,61.0,82.0,81,82,19.1159,19.8533,19.1904,17.7276,18.5453,-0.42650000000000077
Mark Giordano 2019,Mark Giordano,2019,D,34.996,72,205,61.0,82.0,81.0,82,78,19.8533,19.1904,17.7276,18.5453,18.2568,-0.5723500000000001
Mark Giordano 2020,Mark Giordano,2020,D,35.996,72,205,82.0,81.0,82.0,78,70,19.1904,17.7276,18.5453,18.2568,18.3808,-0.04922499999999985
Mark Giordano 2021,Mark Giordano,2021,D,36.998,72,205,81.0,82.0,78.0,70,82,17.7276,18.5453,18.2568,18.3808,17.5289,-0.6987249999999996
Mark Giordano 2022,Mark Giordano,2022,D,37.997,72,205,82.0,78.0,70.0,82,75,18.5453,18.2568,18.3808,17.5289,16.7093,-1.4686500000000002
Mark Giordano 2023,Mark Giordano,2023,D,38.996,72,205,78.0,70.0,82.0,75,78,18.2568,18.3808,17.5289,16.7093,16.0902,-1.6287500000000001
Alex Goligoski 2013,Alex Goligoski,2013,D,27.174,71,173,45.0,69.0,83.0,71,80,14.2326,16.0976,16.8721,18.357,18.0167,1.6268750000000018
Alex Goligoski 2014,Alex Goligoski,2014,D,28.173,71,173,69.0,83.0,71.0,80,81,16.0976,16.8721,18.357,18.0167,18.4998,1.1639499999999998
Alex Goligoski 2015,Alex Goligoski,2015,D,29.173,71,173,83.0,71.0,80.0,81,81,16.8721,18.357,18.0167,18.4998,18.764,0.8276000000000003
Alex Goligoski 2016,Alex Goligoski,2016,D,30.172,71,173,71.0,80.0,81.0,81,82,18.357,18.0167,18.4998,18.764,19.5413,1.131924999999999
Alex Goligoski 2017,Alex Goligoski,2017,D,31.174,71,173,80.0,81.0,81.0,82,82,18.0167,18.4998,18.764,19.5413,18.6502,-0.05524999999999736
Alex Goligoski 2018,Alex Goligoski,2018,D,32.173,71,173,81.0,81.0,82.0,82,78,18.4998,18.764,19.5413,18.6502,19.3677,0.5038750000000007
Alex Goligoski 2019,Alex Goligoski,2019,D,33.173,71,173,81.0,82.0,82.0,78,76,18.764,19.5413,18.6502,19.3677,17.3689,-1.7119
Alex Goligoski 2020,Alex Goligoski,2020,D,34.172,71,173,82.0,82.0,78.0,76,82,19.5413,18.6502,19.3677,17.3689,18.7098,-0.02222499999999883
Alex Goligoski 2021,Alex Goligoski,2021,D,35.174,71,173,82.0,78.0,76.0,82,82,18.6502,19.3677,17.3689,18.7098,19.0652,0.541050000000002
Alex Goligoski 2022,Alex Goligoski,2022,D,36.173,71,173,78.0,76.0,82.0,82,72,19.3677,17.3689,18.7098,19.0652,16.5532,-2.0747
Alex Goligoski 2023,Alex Goligoski,2023,D,37.173,71,173,76.0,82.0,82.0,72,46,17.3689,18.7098,19.0652,16.5532,16.1612,-1.7630750000000006
Alexander Edler 2012,Alexander Edler,2012,D,25.446,76,210,75.0,80.0,76.0,51,82,16.2127,16.0131,17.4022,18.2454,18.0976,1.129249999999999
Alexander Edler 2013,Alexander Edler,2013,D,26.448,76,210,80.0,76.0,51.0,82,76,16.0131,17.4022,18.2454,18.0976,18.2833,0.8437249999999992
Alexander Edler 2014,Alexander Edler,2014,D,27.448,76,210,76.0,51.0,82.0,76,63,17.4022,18.2454,18.0976,18.2833,18.2095,0.20237499999999642
Alexander Edler 2015,Alexander Edler,2015,D,28.447,76,210,51.0,82.0,76.0,63,74,18.2454,18.0976,18.2833,18.2095,18.4642,0.2552500000000002
Alexander Edler 2016,Alexander Edler,2016,D,29.446,76,210,82.0,76.0,63.0,74,52,18.0976,18.2833,18.2095,18.4642,18.6337,0.37005000000000265
Alexander Edler 2017,Alexander Edler,2017,D,30.448,76,210,76.0,63.0,74.0,52,68,18.2833,18.2095,18.4642,18.6337,19.6637,1.266024999999999
Alexander Edler 2018,Alexander Edler,2018,D,31.448,76,210,63.0,74.0,52.0,68,70,18.2095,18.4642,18.6337,19.6637,18.7464,0.0036249999999995453
Alexander Edler 2019,Alexander Edler,2019,D,32.447,76,210,74.0,52.0,68.0,70,56,18.4642,18.6337,19.6637,18.7464,18.7872,-0.08980000000000388
