,Player,Year,Position,Age,Height,Weight,Y1 GP,Y2 GP,Y3 GP,Y4 GP,Y5 GP,Y1 EV ATOI,Y2 EV ATOI,Y3 EV ATOI,Y4 EV ATOI,Y5 EV ATOI,Y5 dEV ATOI
Eric Staal 2009,Eric Staal,2009,C,23.924,76,195,,,,82,82,,,,15.6543,15.2547,-0.3995999999999995
Eric Staal 2010,Eric Staal,2010,C,24.923,76,195,,,82.0,82,70,,,15.6543,15.2547,15.6412,0.1867000000000001
Eric Staal 2011,Eric Staal,2011,C,25.923,76,195,,82.0,82.0,70,81,,15.6543,15.2547,15.6412,16.1058,0.5890666666666657
Eric Staal 2012,Eric Staal,2012,C,26.922,76,195,82.0,82.0,70.0,81,82,15.6543,15.2547,15.6412,16.1058,16.4114,0.7474000000000007
Eric Staal 2013,Eric Staal,2013,C,27.924,76,195,82.0,70.0,81.0,82,82,15.2547,15.6412,16.1058,16.4114,16.2174,0.36412500000000136
Eric Staal 2014,Eric Staal,2014,C,28.923,76,195,70.0,81.0,82.0,82,79,15.6412,16.1058,16.4114,16.2174,16.0186,-0.07535000000000025
Eric Staal 2015,Eric Staal,2015,C,29.923,76,195,81.0,82.0,82.0,79,77,16.1058,16.4114,16.2174,16.0186,16.1184,-0.06989999999999696
Eric Staal 2016,Eric Staal,2016,C,30.922,76,195,82.0,82.0,79.0,77,83,16.4114,16.2174,16.0186,16.1184,15.612,-0.5794499999999996
Eric Staal 2017,Eric Staal,2017,C,31.924,76,195,82.0,79.0,77.0,83,82,16.2174,16.0186,16.1184,15.612,14.8598,-1.1318000000000001
Eric Staal 2018,Eric Staal,2018,C,32.924,76,195,79.0,77.0,83.0,82,82,16.0186,16.1184,15.612,14.8598,14.5467,-1.105500000000001
Eric Staal 2019,Eric Staal,2019,C,33.923,76,195,77.0,83.0,82.0,82,81,16.1184,15.612,14.8598,14.5467,15.0593,-0.22492499999999893
