,Player,Year,Position,Age,Height,Weight,Y1 GP,Y2 GP,Y3 GP,Y4 GP,Y5 GP,Y1 EV ATOI,Y2 EV ATOI,Y3 EV ATOI,Y4 EV ATOI,Y5 EV ATOI,Y1 EV A1/60,Y2 EV A1/60,Y3 EV A1/60,Y4 EV A1/60,Y5 EV A1/60,Y5 dEV A1/60,Y1 EV A2/60,Y2 EV A2/60,Y3 EV A2/60,Y4 EV A2/60,Y5 EV A2/60,Y1 EV Rebounds Created/60,Y2 EV Rebounds Created/60,Y3 EV Rebounds Created/60,Y4 EV Rebounds Created/60,Y5 EV Rebounds Created/60,Y1 EV Rush Attempts/60,Y2 EV Rush Attempts/60,Y3 EV Rush Attempts/60,Y4 EV Rush Attempts/60,Y5 EV Rush Attempts/60,Y1 EV oixGF/60,Y2 EV oixGF/60,Y3 EV oixGF/60,Y4 EV oixGF/60,Y5 EV oixGF/60
Eric Staal 2012,Eric Staal,2012,C,26.922,76,195,82.0,82.0,70.0,81,82,15.6543,15.2547,15.6412,16.1058,16.4114,0.6076,0.7195,1.1508,0.7819,0.8917,-0.09104999999999996,0.4674,0.4317,0.548,0.4139,0.3567,1.449,1.9666,1.5344,1.1498,1.0255,0.7011,1.4869,0.9864,0.9658,2.8655,2.8699,3.1384,3.1494,2.9145,2.8655
Eric Staal 2013,Eric Staal,2013,C,27.924,76,195,82.0,70.0,81.0,82,82,15.2547,15.6412,16.1058,16.4114,16.2174,0.7195,1.1508,0.7819,0.8917,1.3874,0.5173749999999999,0.4317,0.548,0.4139,0.3567,0.8479,1.9666,1.5344,1.1498,1.0255,1.5416,1.4869,0.9864,0.9658,0.4459,3.0831,3.1384,3.1494,2.9145,2.8655,3.0831
Eric Staal 2014,Eric Staal,2014,C,28.923,76,195,70.0,81.0,82.0,82,79,15.6412,16.1058,16.4114,16.2174,16.0186,1.1508,0.7819,0.8917,1.3874,0.9483,0.09630000000000005,0.548,0.4139,0.3567,0.8479,0.3319,1.5344,1.1498,1.0255,1.5416,1.0431,0.9864,0.9658,0.4459,0.1542,2.933,3.1494,2.9145,2.8655,3.0831,2.933
Eric Staal 2015,Eric Staal,2015,C,29.923,76,195,81.0,82.0,82.0,79,77,16.1058,16.4114,16.2174,16.0186,16.1184,0.7819,0.8917,1.3874,0.9483,0.4834,-0.36274999999999996,0.4139,0.3567,0.8479,0.3319,0.5318,1.1498,1.0255,1.5416,1.0431,1.547,0.9658,0.4459,0.1542,0.7112,3.1177,2.9145,2.8655,3.0831,2.933,3.1177
Eric Staal 2016,Eric Staal,2016,C,30.922,76,195,82.0,82.0,79.0,77,83,16.4114,16.2174,16.0186,16.1184,15.612,0.8917,1.3874,0.9483,0.4834,0.5093,-0.32325000000000004,0.3567,0.8479,0.3319,0.5318,0.4167,1.0255,1.5416,1.0431,1.547,0.8335,0.4459,0.1542,0.7112,0.5318,3.1459,2.8655,3.0831,2.933,3.1177,3.1459
Eric Staal 2017,Eric Staal,2017,C,31.924,76,195,82.0,79.0,77.0,83,82,16.2174,16.0186,16.1184,15.612,14.8598,1.3874,0.9483,0.4834,0.5093,0.7879,-0.02749999999999997,0.8479,0.3319,0.5318,0.4167,0.3939,1.5416,1.0431,1.547,0.8335,0.6894,0.1542,0.7112,0.5318,0.5093,2.9771,3.0831,2.933,3.1177,3.1459,2.9771
Eric Staal 2018,Eric Staal,2018,C,32.924,76,195,79.0,77.0,83.0,82,82,16.0186,16.1184,15.612,14.8598,14.5467,0.9483,0.4834,0.5093,0.7879,0.8048,-0.023950000000000027,0.3319,0.5318,0.4167,0.3939,0.5533,1.0431,1.547,0.8335,0.6894,0.8551,0.7112,0.5318,0.5093,0.7386,3.0573,2.933,3.1177,3.1459,2.9771,3.0573
Eric Staal 2019,Eric Staal,2019,C,33.923,76,195,77.0,83.0,82.0,82,81,16.1184,15.612,14.8598,14.5467,15.0593,0.4834,0.5093,0.7879,0.8048,0.6394,-0.34067500000000006,0.5318,0.4167,0.3939,0.5533,0.3935,1.547,0.8335,0.6894,0.8551,0.787,0.5318,0.5093,0.7386,0.9557,2.8731,3.1177,3.1459,2.9771,3.0573,2.8731
Eric Staal 2020,Eric Staal,2020,C,34.922,76,195,83.0,82.0,82.0,81,77,15.612,14.8598,14.5467,15.0593,14.0831,0.5093,0.7879,0.8048,0.6394,0.9037,-0.06745000000000012,0.4167,0.3939,0.5533,0.3935,0.3228,0.8335,0.6894,0.8551,0.787,0.6455,0.5093,0.7386,0.9557,0.6886,2.5653,3.1459,2.9771,3.0573,2.8731,2.5653
Eric Staal 2021,Eric Staal,2021,C,35.924,76,195,82.0,82.0,81.0,77,77,14.8598,14.5467,15.0593,14.0831,13.2962,0.7879,0.8048,0.6394,0.9037,0.1703,-0.8878750000000001,0.3939,0.5533,0.3935,0.3228,0.3406,0.6894,0.8551,0.787,0.6455,0.8514,0.7386,0.9557,0.6886,0.1291,2.2903,2.9771,3.0573,2.8731,2.5653,2.2903
Jeff Carter 2012,Jeff Carter,2012,C,26.747,75,219,82.0,82.0,74.0,80,55,14.0953,15.122,14.3773,14.6544,15.3376,0.3634,0.8226,0.3948,0.5118,0.4268,-0.8237749999999999,0.2596,0.4839,0.564,0.563,0.2845,1.194,1.0161,1.2407,1.433,0.8535,0.8825,0.871,0.7331,0.9212,2.3692,2.4622,2.6802,3.1796,2.951,2.3692
Jeff Carter 2013,Jeff Carter,2013,C,27.749,75,219,82.0,74.0,80.0,55,82,15.122,14.3773,14.6544,15.3376,13.6851,0.8226,0.3948,0.5118,0.4268,0.3654,-0.8212250000000001,0.4839,0.564,0.563,0.2845,0.0913,1.0161,1.2407,1.433,0.8535,1.0961,0.871,0.7331,0.9212,0.9246,2.7201,2.6802,3.1796,2.951,2.3692,2.7201
Jeff Carter 2014,Jeff Carter,2014,C,28.748,75,219,74.0,80.0,55.0,82,72,14.3773,14.6544,15.3376,13.6851,14.1519,0.3948,0.5118,0.4268,0.3654,0.6477,-0.59915,0.564,0.563,0.2845,0.0913,0.3533,1.2407,1.433,0.8535,1.0961,1.5899,0.7331,0.9212,0.9246,0.548,3.108,3.1796,2.951,2.3692,2.7201,3.108
