,Player,Year,Position,Age,Height,Weight,Y1 GP,Y2 GP,Y3 GP,Y4 GP,Y5 GP,Y1 EV ATOI,Y2 EV ATOI,Y3 EV ATOI,Y4 EV ATOI,Y5 EV ATOI,Y1 EV G/60,Y2 EV G/60,Y3 EV G/60,Y4 EV G/60,Y5 EV G/60,Y5 dEV G/60,Y1 EV ixG/60,Y2 EV ixG/60,Y3 EV ixG/60,Y4 EV ixG/60,Y5 EV ixG/60
Eric Staal 2010,Eric Staal,2010,C,24.923,76,195,,,82.0,82,70,,,15.6543,15.2547,15.6412,,,1.0751,1.1512,0.8768,-0.23635000000000006,,,1.0587,1.1997,1.2768
Eric Staal 2011,Eric Staal,2011,C,25.923,76,195,,82.0,82.0,70,81,,15.6543,15.2547,15.6412,16.1058,,1.0751,1.1512,0.8768,0.8279,-0.2064666666666667,,1.0587,1.1997,1.2768,0.9206
Eric Staal 2012,Eric Staal,2012,C,26.922,76,195,82.0,82.0,70.0,81,82,15.6543,15.2547,15.6412,16.1058,16.4114,1.0751,1.1512,0.8768,0.8279,0.6242,-0.35855000000000004,1.0587,1.1997,1.2768,0.9206,0.8085
Eric Staal 2013,Eric Staal,2013,C,27.924,76,195,82.0,70.0,81.0,82,82,15.2547,15.6412,16.1058,16.4114,16.2174,1.1512,0.8768,0.8279,0.6242,1.0791,0.2090749999999999,1.1997,1.2768,0.9206,0.8085,0.9011
Eric Staal 2014,Eric Staal,2014,C,28.923,76,195,70.0,81.0,82.0,82,79,15.6412,16.1058,16.4114,16.2174,16.0186,0.8768,0.8279,0.6242,1.0791,0.8534,0.0014000000000000679,1.2768,0.9206,0.8085,0.9011,0.8448
Eric Staal 2015,Eric Staal,2015,C,29.923,76,195,81.0,82.0,82.0,79,77,16.1058,16.4114,16.2174,16.0186,16.1184,0.8279,0.6242,1.0791,0.8534,0.7735,-0.07264999999999999,0.9206,0.8085,0.9011,0.8448,1.12
Eric Staal 2016,Eric Staal,2016,C,30.922,76,195,82.0,82.0,79.0,77,83,16.4114,16.2174,16.0186,16.1184,15.612,0.6242,1.0791,0.8534,0.7735,0.5556,-0.27695000000000003,0.8085,0.9011,0.8448,1.12,0.9451
Eric Staal 2017,Eric Staal,2017,C,31.924,76,195,82.0,79.0,77.0,83,82,16.2174,16.0186,16.1184,15.612,14.8598,1.0791,0.8534,0.7735,0.5556,1.1325,0.31710000000000005,0.9011,0.8448,1.12,0.9451,0.9073
Eric Staal 2018,Eric Staal,2018,C,32.924,76,195,79.0,77.0,83.0,82,82,16.0186,16.1184,15.612,14.8598,14.5467,0.8534,0.7735,0.5556,1.1325,1.4587,0.6299500000000001,0.8448,1.12,0.9451,0.9073,0.9284
Eric Staal 2019,Eric Staal,2019,C,33.923,76,195,77.0,83.0,82.0,82,81,16.1184,15.612,14.8598,14.5467,15.0593,0.7735,0.5556,1.1325,1.4587,0.7378,-0.24227500000000002,1.12,0.9451,0.9073,0.9284,0.863
Eric Staal 2020,Eric Staal,2020,C,34.922,76,195,83.0,82.0,82.0,81,77,15.612,14.8598,14.5467,15.0593,14.0831,0.5556,1.1325,1.4587,0.7378,0.9037,-0.06745000000000012,0.9451,0.9073,0.9284,0.863,0.616
Eric Staal 2021,Eric Staal,2021,C,35.924,76,195,82.0,82.0,81.0,77,77,14.8598,14.5467,15.0593,14.0831,13.2962,1.1325,1.4587,0.7378,0.9037,0.3406,-0.7175750000000001,0.9073,0.9284,0.863,0.616,0.6374
Jeff Carter 2010,Jeff Carter,2010,C,24.748,75,219,,,82.0,82,74,,,14.0953,15.122,14.3773,,,1.0382,1.4032,1.1279,-0.0928,,,0.888,0.9512,1.2
Jeff Carter 2011,Jeff Carter,2011,C,25.747,75,219,,82.0,82.0,74,80,,14.0953,15.122,14.3773,14.6544,,1.0382,1.4032,1.1279,1.433,0.2432333333333334,,0.888,0.9512,1.2,1.1754
Jeff Carter 2012,Jeff Carter,2012,C,26.747,75,219,82.0,82.0,74.0,80,55,14.0953,15.122,14.3773,14.6544,15.3376,1.0382,1.4032,1.1279,1.433,0.7824,-0.468175,0.888,0.9512,1.2,1.1754,0.8589
Jeff Carter 2013,Jeff Carter,2013,C,27.749,75,219,82.0,74.0,80.0,55,82,15.122,14.3773,14.6544,15.3376,13.6851,1.4032,1.1279,1.433,0.7824,1.6441,0.45747499999999985,0.9512,1.2,1.1754,0.8589,0.9506
Jeff Carter 2014,Jeff Carter,2014,C,28.748,75,219,74.0,80.0,55.0,82,72,14.3773,14.6544,15.3376,13.6851,14.1519,1.1279,1.433,0.7824,1.6441,1.0599,-0.18694999999999995,1.2,1.1754,0.8589,0.9506,1.0346
Jeff Carter 2015,Jeff Carter,2015,C,29.748,75,219,80.0,55.0,82.0,72,82,14.6544,15.3376,13.6851,14.1519,13.7864,1.433,0.7824,1.6441,1.0599,0.9023,-0.3275499999999999,1.1754,0.8589,0.9506,1.0346,0.8021
Jeff Carter 2016,Jeff Carter,2016,C,30.747,75,219,55.0,82.0,72.0,82,77,15.3376,13.6851,14.1519,13.7864,14.4567,0.7824,1.6441,1.0599,0.9023,1.0241,-0.073075,0.8589,0.9506,1.0346,0.8021,0.9792
Jeff Carter 2017,Jeff Carter,2017,C,31.749,75,219,82.0,72.0,82.0,77,82,13.6851,14.1519,13.7864,14.4567,13.6376,1.6441,1.0599,0.9023,1.0241,1.1267,-0.030899999999999928,0.9506,1.0346,0.8021,0.9792,0.7981
Jeff Carter 2021,Jeff Carter,2021,C,35.749,75,219,82.0,27.0,76.0,70,79,13.6376,13.3401,14.4274,13.6589,13.4028,1.1267,0.9995,0.383,1.025,1.2435,0.35995,0.7981,0.8913,0.6302,0.8744,0.7936
Jeff Carter 2022,Jeff Carter,2022,C,36.748,75,219,27.0,76.0,70.0,79,76,13.3401,14.4274,13.6589,13.4028,14.1305,0.9995,0.383,1.025,1.2435,0.8381,-0.07465,0.8913,0.6302,0.8744,0.7936,0.7617
Jeff Carter 2023,Jeff Carter,2023,C,37.748,75,219,76.0,70.0,79.0,76,79,14.4274,13.6589,13.4028,14.1305,11.0285,0.383,1.025,1.2435,0.8381,0.6198,-0.25259999999999994,0.6302,0.8744,0.7936,0.7617,0.8395
Zach Parise 2010,Zach Parise,2010,L,25.178,71,195,,,81.0,82,81,,,14.2488,14.6943,16.0831,,,1.0917,1.5437,1.2896,-0.028099999999999792,,,0.8642,0.907,0.9053
Zach Parise 2014,Zach Parise,2014,L,29.178,71,195,81.0,13.0,82.0,82,67,16.0831,15.4487,16.0748,15.7538,16.0517,1.2896,0.8963,0.9559,0.8728,0.7811,-0.22254999999999991,0.9053,0.8301,0.6961,0.8215,0.7879
Zach Parise 2015,Zach Parise,2015,L,30.177,71,195,13.0,82.0,82.0,67,74,15.4487,16.0748,15.7538,16.0517,15.5059,0.8963,0.9559,0.8728,0.7811,1.1504,0.2738750000000001,0.8301,0.6961,0.8215,0.7879,0.9632
Zach Parise 2016,Zach Parise,2016,L,31.177,71,195,82.0,82.0,67.0,74,70,16.0748,15.7538,16.0517,15.5059,15.5719,0.9559,0.8728,0.7811,1.1504,0.9908,0.05074999999999996,0.6961,0.8215,0.7879,0.9632,0.7629
Zach Parise 2017,Zach Parise,2017,L,32.179,71,195,82.0,67.0,74.0,70,69,15.7538,16.0517,15.5059,15.5719,14.1031,0.8728,0.7811,1.1504,0.9908,0.8015,-0.14727500000000004,0.8215,0.7879,0.9632,0.7629,0.8839
Zach Parise 2021,Zach Parise,2021,L,36.179,71,195,69.0,42.0,74.0,81,65,14.1031,14.004,14.5941,13.4075,11.8519,0.8015,1.3262,1.0,0.7783,0.7875,-0.18900000000000006,0.8839,0.6436,0.7709,0.7332,0.5905
Zach Parise 2022,Zach Parise,2022,L,37.178,71,195,42.0,74.0,81.0,65,82,14.004,14.5941,13.4075,11.8519,12.1372,1.3262,1.0,0.7783,0.7875,0.6631,-0.30989999999999995,0.6436,0.7709,0.7332,0.5905,0.6424
Zach Parise 2023,Zach Parise,2023,L,38.178,71,195,74.0,81.0,65.0,82,82,14.5941,13.4075,11.8519,12.1372,12.9325,1.0,0.7783,0.7875,0.6631,0.9053,0.09807500000000002,0.7709,0.7332,0.5905,0.6424,0.924
Corey Perry 2010,Corey Perry,2010,R,24.378,75,208,,,70.0,78,82,,,14.2626,15.0397,16.8228,,,1.0817,1.1252,0.8699,-0.23355000000000004,,,0.6395,0.8855,0.7544
Corey Perry 2011,Corey Perry,2011,R,25.378,75,208,,70.0,78.0,82,82,,14.2626,15.0397,16.8228,17.1457,,1.0817,1.1252,0.8699,1.3229,0.2972999999999999,,0.6395,0.8855,0.7544,0.8655
Corey Perry 2012,Corey Perry,2012,R,26.377,75,208,70.0,78.0,82.0,82,80,14.2626,15.0397,16.8228,17.1457,16.5227,1.0817,1.1252,0.8699,1.3229,0.9986,-0.101325,0.6395,0.8855,0.7544,0.8655,0.7218
Corey Perry 2013,Corey Perry,2013,R,27.379,75,208,78.0,82.0,82.0,80,75,15.0397,16.8228,17.1457,16.5227,15.3163,1.1252,0.8699,1.3229,0.9986,0.8903,-0.18885000000000007,0.8855,0.7544,0.8655,0.7218,0.7399
Corey Perry 2014,Corey Perry,2014,R,28.379,75,208,82.0,82.0,80.0,75,81,16.8228,17.1457,16.5227,15.3163,15.3545,0.8699,1.3229,0.9986,0.8903,1.6402,0.6197750000000002,0.7544,0.8655,0.7218,0.7399,0.9282
Corey Perry 2015,Corey Perry,2015,R,29.378,75,208,82.0,80.0,75.0,81,67,17.1457,16.5227,15.3163,15.3545,15.0405,1.3229,0.9986,0.8903,1.6402,1.7267,0.5136999999999998,0.8655,0.7218,0.7399,0.9282,0.8232
Corey Perry 2016,Corey Perry,2016,R,30.377,75,208,80.0,75.0,81.0,67,82,16.5227,15.3163,15.3545,15.0405,14.7695,0.9986,0.8903,1.6402,1.7267,1.0899,-0.22404999999999986,0.7218,0.7399,0.9282,0.8232,0.6472
Corey Perry 2017,Corey Perry,2017,R,31.379,75,208,75.0,81.0,67.0,82,82,15.3163,15.3545,15.0405,14.7695,14.8232,0.8903,1.6402,1.7267,1.0899,0.6911,-0.645675,0.7399,0.9282,0.8232,0.6472,0.7105
Corey Perry 2018,Corey Perry,2018,R,32.379,75,208,81.0,67.0,82.0,82,71,15.3545,15.0405,14.7695,14.8232,15.0988,1.6402,1.7267,1.0899,0.6911,0.7276,-0.559375,0.9282,0.8232,0.6472,0.7105,0.6612
Corey Perry 2022,Corey Perry,2022,R,36.379,75,208,71.0,31.0,67.0,71,82,15.0988,12.9457,11.4778,11.4922,11.7612,0.7276,0.598,0.3668,0.8524,0.8088,0.17259999999999998,0.6612,0.5582,0.6001,0.4088,0.7968
Corey Perry 2023,Corey Perry,2023,R,37.378,75,208,31.0,67.0,71.0,82,81,12.9457,11.4778,11.4922,11.7612,9.773,0.598,0.3668,0.8524,0.8088,0.4548,-0.2017,0.5582,0.6001,0.4088,0.7968,0.6818
Patrice Bergeron 2011,Patrice Bergeron,2011,C,25.189,73,196,,10.0,64.0,73,80,,12.1233,12.5786,14.2683,13.09,,0.4949,0.4472,1.0369,0.974,0.31433333333333335,,0.5956,0.4805,0.6828,0.8003
Patrice Bergeron 2012,Patrice Bergeron,2012,C,26.188,73,196,10.0,64.0,73.0,80,81,12.1233,12.5786,14.2683,13.09,14.2323,0.4949,0.4472,1.0369,0.974,0.7807,0.04244999999999999,0.5956,0.4805,0.6828,0.8003,0.7314
Patrice Bergeron 2013,Patrice Bergeron,2013,C,27.19,73,196,64.0,73.0,80.0,81,71,12.5786,14.2683,13.09,14.2323,14.8929,0.4472,1.0369,0.974,0.7807,0.7674,-0.042300000000000004,0.4805,0.6828,0.8003,0.7314,0.8352
Patrice Bergeron 2014,Patrice Bergeron,2014,C,28.19,73,196,73.0,80.0,81.0,71,80,14.2683,13.09,14.2323,14.8929,14.0165,1.0369,0.974,0.7807,0.7674,1.1772,0.2874500000000001,0.6828,0.8003,0.7314,0.8352,0.8407
Patrice Bergeron 2015,Patrice Bergeron,2015,C,29.189,73,196,80.0,81.0,71.0,80,81,13.09,14.2323,14.8929,14.0165,14.0588,0.974,0.7807,0.7674,1.1772,0.9484,0.023575000000000013,0.8003,0.7314,0.8352,0.8407,0.7399
Patrice Bergeron 2016,Patrice Bergeron,2016,C,30.188,73,196,81.0,71.0,80.0,81,80,14.2323,14.8929,14.0165,14.0588,14.6338,0.7807,0.7674,1.1772,0.9484,0.9738,0.05537499999999995,0.7314,0.8352,0.8407,0.7399,0.6916
Patrice Bergeron 2017,Patrice Bergeron,2017,C,31.19,73,196,71.0,80.0,81.0,80,79,14.8929,14.0165,14.0588,14.6338,14.3323,0.7674,1.1772,0.9484,0.9738,0.6889,-0.27780000000000005,0.8352,0.8407,0.7399,0.6916,0.8613
Patrice Bergeron 2018,Patrice Bergeron,2018,C,32.19,73,196,80.0,81.0,80.0,79,64,14.0165,14.0588,14.6338,14.3323,14.6247,1.1772,0.9484,0.9738,0.6889,1.1539,0.20682499999999993,0.8407,0.7399,0.6916,0.8613,0.8391
Patrice Bergeron 2019,Patrice Bergeron,2019,C,33.189,73,196,81.0,80.0,79.0,64,65,14.0588,14.6338,14.3323,14.6247,13.5141,0.9484,0.9738,0.6889,1.1539,1.2978,0.35655000000000014,0.7399,0.6916,0.8613,0.8391,0.9417
Patrice Bergeron 2020,Patrice Bergeron,2020,C,34.188,73,196,80.0,79.0,64.0,65,71,14.6338,14.3323,14.6247,13.5141,13.2918,0.9738,0.6889,1.1539,1.2978,1.406,0.37739999999999996,0.6916,0.8613,0.8391,0.9417,0.8822
Patrice Bergeron 2021,Patrice Bergeron,2021,C,35.191,73,196,79.0,64.0,65.0,71,79,14.3323,14.6247,13.5141,13.2918,13.0873,0.6889,1.1539,1.2978,1.406,1.1037,-0.032950000000000035,0.8613,0.8391,0.9417,0.8822,0.7939
Patrice Bergeron 2022,Patrice Bergeron,2022,C,36.19,73,196,64.0,65.0,71.0,79,73,14.6247,13.5141,13.2918,13.0873,13.3957,1.1539,1.2978,1.406,1.1037,1.0431,-0.19724999999999993,0.8391,0.9417,0.8822,0.7939,0.9265
Patrice Bergeron 2023,Patrice Bergeron,2023,C,37.189,73,196,65.0,71.0,79.0,73,78,13.5141,13.2918,13.0873,13.3957,12.2365,1.2978,1.406,1.1037,1.0431,1.0058,-0.20684999999999998,0.9417,0.8822,0.7939,0.9265,1.005
Joe Pavelski 2010,Joe Pavelski,2010,C,25.225,71,200,,,82.0,80,67,,,10.7878,13.7154,13.9978,,,0.6783,0.7656,1.3435,0.6215499999999999,,,0.9338,0.8717,1.0432
Joe Pavelski 2011,Joe Pavelski,2011,C,26.224,71,200,,82.0,80.0,67,74,,10.7878,13.7154,13.9978,14.3383,,0.6783,0.7656,1.3435,0.4524,-0.47673333333333323,,0.9338,0.8717,1.0432,0.973
Joe Pavelski 2012,Joe Pavelski,2012,C,27.223,71,200,82.0,80.0,67.0,74,82,10.7878,13.7154,13.9978,14.3383,15.815,0.6783,0.7656,1.3435,0.4524,1.0179,0.20795000000000008,0.9338,0.8717,1.0432,0.973,0.9853
Joe Pavelski 2013,Joe Pavelski,2013,C,28.225,71,200,80.0,67.0,74.0,82,82,13.7154,13.9978,14.3383,15.815,14.3285,0.7656,1.3435,0.4524,1.0179,0.9596,0.06475000000000009,0.8717,1.0432,0.973,0.9853,0.6042
Joe Pavelski 2014,Joe Pavelski,2014,C,29.225,71,200,67.0,74.0,82.0,82,82,13.9978,14.3383,15.815,14.3285,14.7319,1.3435,0.4524,1.0179,0.9596,1.192,0.24864999999999993,1.0432,0.973,0.9853,0.6042,0.8494
