,Player,Year,Position,Age,Height,Weight,Y1 GP,Y2 GP,Y3 GP,Y4 GP,Y5 GP,Y5 dGP,Y4 EV ATOI,Y4 EV P/60
Eric Staal 2009,Eric Staal,2009,C,23.924,76,195,,,,82,82,0.0,15.6543,2.1501
Eric Staal 2010,Eric Staal,2010,C,24.923,76,195,,,82.0,82,70,-12.0,15.2547,2.3024
Eric Staal 2011,Eric Staal,2011,C,25.923,76,195,,82.0,82.0,70,81,3.0,15.6412,2.5756
Eric Staal 2012,Eric Staal,2012,C,26.922,76,195,82.0,82.0,70.0,81,82,3.25,16.1058,2.0237
Eric Staal 2013,Eric Staal,2013,C,27.924,76,195,82.0,70.0,81.0,82,82,3.25,16.4114,1.8726
Eric Staal 2014,Eric Staal,2014,C,28.923,76,195,70.0,81.0,82.0,82,79,0.25,16.2174,3.3144
Eric Staal 2015,Eric Staal,2015,C,29.923,76,195,81.0,82.0,82.0,79,77,-4.0,16.0186,2.1336
Eric Staal 2016,Eric Staal,2016,C,30.922,76,195,82.0,82.0,79.0,77,83,3.0,16.1184,1.7887
Eric Staal 2017,Eric Staal,2017,C,31.924,76,195,82.0,79.0,77.0,83,82,1.75,15.612,1.4816
Eric Staal 2018,Eric Staal,2018,C,32.924,76,195,79.0,77.0,83.0,82,82,1.75,14.8598,2.3143000000000002
Eric Staal 2019,Eric Staal,2019,C,33.923,76,195,77.0,83.0,82.0,82,81,0.0,14.5467,2.8168
Eric Staal 2020,Eric Staal,2020,C,34.922,76,195,83.0,82.0,82.0,81,77,-5.0,15.0593,1.7707
Eric Staal 2021,Eric Staal,2021,C,35.924,76,195,82.0,82.0,81.0,77,77,-3.5,14.0831,2.1302
Jeff Carter 2009,Jeff Carter,2009,C,23.749,75,219,,,,82,82,0.0,14.0953,1.6612
Jeff Carter 2010,Jeff Carter,2010,C,24.748,75,219,,,82.0,82,74,-8.0,15.122,2.7096999999999998
Jeff Carter 2011,Jeff Carter,2011,C,25.747,75,219,,82.0,82.0,74,80,0.6666666666666714,14.3773,2.0867
Jeff Carter 2012,Jeff Carter,2012,C,26.747,75,219,82.0,82.0,74.0,80,55,-24.5,14.6544,2.5078
Jeff Carter 2013,Jeff Carter,2013,C,27.749,75,219,82.0,74.0,80.0,55,82,9.25,15.3376,1.4937
Jeff Carter 2014,Jeff Carter,2014,C,28.748,75,219,74.0,80.0,55.0,82,72,-0.75,13.6851,2.1008
Jeff Carter 2015,Jeff Carter,2015,C,29.748,75,219,80.0,55.0,82.0,72,82,9.75,14.1519,2.0609
Jeff Carter 2016,Jeff Carter,2016,C,30.747,75,219,55.0,82.0,72.0,82,77,4.25,13.7864,2.3883
Jeff Carter 2017,Jeff Carter,2017,C,31.749,75,219,82.0,72.0,82.0,77,82,3.75,14.4567,2.5872
Jeff Carter 2019,Jeff Carter,2019,C,33.748,75,219,82.0,77.0,82.0,27,76,9.0,13.3401,1.9989000000000001
Jeff Carter 2020,Jeff Carter,2020,C,34.747,75,219,77.0,82.0,27.0,76,70,4.5,14.4274,0.9849
Jeff Carter 2021,Jeff Carter,2021,C,35.749,75,219,82.0,27.0,76.0,70,79,15.25,13.6589,1.6106999999999998
Jeff Carter 2022,Jeff Carter,2022,C,36.748,75,219,27.0,76.0,70.0,79,76,13.0,13.4028,2.0725000000000002
Jeff Carter 2023,Jeff Carter,2023,C,37.748,75,219,76.0,70.0,79.0,76,79,3.75,14.1305,2.1231
Zach Parise 2009,Zach Parise,2009,L,24.179,71,195,,,,81,82,1.0,14.2488,2.1313999999999997
Zach Parise 2010,Zach Parise,2010,L,25.178,71,195,,,81.0,82,81,-0.5,14.6943,3.0374999999999996
Zach Parise 2012,Zach Parise,2012,L,27.177,71,195,81.0,82.0,81.0,13,82,17.75,15.4487,1.4938
Zach Parise 2013,Zach Parise,2013,L,28.179,71,195,82.0,81.0,13.0,82,82,17.5,16.0748,2.1849
Zach Parise 2014,Zach Parise,2014,L,29.178,71,195,81.0,13.0,82.0,82,67,2.5,15.7538,1.9836
Zach Parise 2015,Zach Parise,2015,L,30.177,71,195,13.0,82.0,82.0,67,74,13.0,16.0517,1.9526999999999999
Zach Parise 2016,Zach Parise,2016,L,31.177,71,195,82.0,82.0,67.0,74,70,-6.25,15.5059,2.4054
Zach Parise 2017,Zach Parise,2017,L,32.179,71,195,82.0,67.0,74.0,70,69,-4.25,15.5719,1.9266
