,Player,Year,Position,Age,Height,Weight,Y1 GP,Y2 GP,Y3 GP,Y4 GP,Y5 GP,Y1 PK ATOI,Y2 PK ATOI,Y3 PK ATOI,Y4 PK ATOI,Y5 PK ATOI,Y1 PK A1/60,Y2 PK A1/60,Y3 PK A1/60,Y4 PK A1/60,Y5 PK A1/60,Y1 PK A2/60,Y2 PK A2/60,Y3 PK A2/60,Y4 PK A2/60,Y5 PK A2/60
Eric Staal 2012,Eric Staal,2012,C,26.922,76,195,82.0,82.0,70.0,81,82,1.313,1.5346,0.8386,1.3856,1.4746,0.0,0.4768,0.0,0.0,0.9924,0.0,0.0,0.0,0.0,0.0
Eric Staal 2013,Eric Staal,2013,C,27.924,76,195,82.0,70.0,81.0,82,82,1.5346,0.8386,1.3856,1.4746,1.2045,0.4768,0.0,0.0,0.9924,0.0,0.0,0.0,0.0,0.0,0.0
Eric Staal 2014,Eric Staal,2014,C,28.923,76,195,70.0,81.0,82.0,82,79,0.8386,1.3856,1.4746,1.2045,0.888,0.0,0.0,0.9924,0.0,1.7106,0.0,0.0,0.0,0.0,0.0
Jeff Carter 2017,Jeff Carter,2017,C,31.749,75,219,82.0,72.0,82.0,77,82,1.2163,1.5106,1.4035,1.653,1.5124,0.0,0.0,0.5214,0.4714,0.0,0.0,0.0,0.0,0.0,0.0
Jeff Carter 2023,Jeff Carter,2023,C,37.748,75,219,76.0,70.0,79.0,76,79,1.2539,1.3758,1.108,1.4629,1.1188,0.6296,0.0,0.0,0.0,0.6789,0.0,0.0,0.0,0.0,0.0
Patrice Bergeron 2013,Patrice Bergeron,2013,C,27.19,73,196,64.0,73.0,80.0,81,71,2.3102,1.9477,2.0769,1.8243,2.2131,0.8116,0.422,0.3611,0.406,0.0,0.0,0.0,0.0,0.0,0.6455
Patrice Bergeron 2014,Patrice Bergeron,2014,C,28.19,73,196,73.0,80.0,81.0,71,80,1.9477,2.0769,1.8243,2.2131,1.9658,0.422,0.3611,0.406,0.0,1.1446,0.0,0.0,0.0,0.6455,0.0
Patrice Bergeron 2015,Patrice Bergeron,2015,C,29.189,73,196,80.0,81.0,71.0,80,81,2.0769,1.8243,2.2131,1.9658,1.7296,0.3611,0.406,0.0,1.1446,0.4283,0.0,0.0,0.6455,0.0,0.0
Patrice Bergeron 2016,Patrice Bergeron,2016,C,30.188,73,196,81.0,71.0,80.0,81,80,1.8243,2.2131,1.9658,1.7296,2.205,0.406,0.0,1.1446,0.4283,0.3401,0.0,0.6455,0.0,0.0,0.3401
Patrice Bergeron 2017,Patrice Bergeron,2017,C,31.19,73,196,71.0,80.0,81.0,80,79,2.2131,1.9658,1.7296,2.205,2.1532,0.0,1.1446,0.4283,0.3401,0.7055,0.6455,0.0,0.0,0.3401,0.3527
Patrice Bergeron 2018,Patrice Bergeron,2018,C,32.19,73,196,80.0,81.0,80.0,79,64,1.9658,1.7296,2.205,2.1532,1.8333,1.1446,0.4283,0.3401,0.7055,0.5114,0.0,0.0,0.3401,0.3527,0.0
Patrice Bergeron 2019,Patrice Bergeron,2019,C,33.189,73,196,81.0,80.0,79.0,64,65,1.7296,2.205,2.1532,1.8333,1.6918,0.4283,0.3401,0.7055,0.5114,1.6369,0.0,0.3401,0.3527,0.0,0.0
Patrice Bergeron 2020,Patrice Bergeron,2020,C,34.188,73,196,80.0,79.0,64.0,65,71,2.205,2.1532,1.8333,1.6918,1.7273,0.3401,0.7055,0.5114,1.6369,0.0,0.3401,0.3527,0.0,0.0,0.0
Patrice Bergeron 2021,Patrice Bergeron,2021,C,35.191,73,196,79.0,64.0,65.0,71,79,2.1532,1.8333,1.6918,1.7273,1.7846,0.7055,0.5114,1.6369,0.0,0.6226,0.3527,0.0,0.0,0.0,0.0
Patrice Bergeron 2022,Patrice Bergeron,2022,C,36.19,73,196,64.0,65.0,71.0,79,73,1.8333,1.6918,1.7273,1.7846,1.6756,0.5114,1.6369,0.0,0.6226,0.4905,0.0,0.0,0.0,0.0,0.9811
