,Player,Year,Position,Age,Height,Weight,Y1 GP,Y2 GP,Y3 GP,Y4 GP,Y5 GP,Y1 PK ATOI,Y2 PK ATOI,Y3 PK ATOI,Y4 PK ATOI,Y5 PK ATOI,Y5 dPK ATOI
Eric Staal 2010,Eric Staal,2010,C,24.923,76,195,,,82.0,82,70,,,1.313,1.5346,0.8386,-0.5851999999999999
Eric Staal 2011,Eric Staal,2011,C,25.923,76,195,,82.0,82.0,70,81,,1.313,1.5346,0.8386,1.3856,0.1568666666666667
Eric Staal 2012,Eric Staal,2012,C,26.922,76,195,82.0,82.0,70.0,81,82,1.313,1.5346,0.8386,1.3856,1.4746,0.20665
Eric Staal 2013,Eric Staal,2013,C,27.924,76,195,82.0,70.0,81.0,82,82,1.5346,0.8386,1.3856,1.4746,1.2045,-0.10385
Eric Staal 2014,Eric Staal,2014,C,28.923,76,195,70.0,81.0,82.0,82,79,0.8386,1.3856,1.4746,1.2045,0.888,-0.33782499999999993
Eric Staal 2015,Eric Staal,2015,C,29.923,76,195,81.0,82.0,82.0,79,77,1.3856,1.4746,1.2045,0.888,0.1162,-1.121975
Eric Staal 2016,Eric Staal,2016,C,30.922,76,195,82.0,82.0,79.0,77,83,1.4746,1.2045,0.888,0.1162,0.3321,-0.5887249999999999
Eric Staal 2017,Eric Staal,2017,C,31.924,76,195,82.0,79.0,77.0,83,82,1.2045,0.888,0.1162,0.3321,1.3681,0.7329000000000001
Eric Staal 2018,Eric Staal,2018,C,32.924,76,195,79.0,77.0,83.0,82,82,0.888,0.1162,0.3321,1.3681,1.0783,0.4022
Eric Staal 2019,Eric Staal,2019,C,33.923,76,195,77.0,83.0,82.0,82,81,0.1162,0.3321,1.3681,1.0783,0.2593,-0.4643750000000001
Eric Staal 2020,Eric Staal,2020,C,34.922,76,195,83.0,82.0,82.0,81,77,0.3321,1.3681,1.0783,0.2593,0.2912,-0.46825000000000006
Eric Staal 2021,Eric Staal,2021,C,35.924,76,195,82.0,82.0,81.0,77,77,1.3681,1.0783,0.2593,0.2912,0.0368,-0.7124250000000001
Jeff Carter 2010,Jeff Carter,2010,C,24.748,75,219,,,82.0,82,74,,,2.276,3.0695,1.8216,-0.8511499999999996
Jeff Carter 2011,Jeff Carter,2011,C,25.747,75,219,,82.0,82.0,74,80,,2.276,3.0695,1.8216,0.6556,-1.7334333333333334
Jeff Carter 2012,Jeff Carter,2012,C,26.747,75,219,82.0,82.0,74.0,80,55,2.276,3.0695,1.8216,0.6556,0.74,-1.215675
Jeff Carter 2013,Jeff Carter,2013,C,27.749,75,219,82.0,74.0,80.0,55,82,3.0695,1.8216,0.6556,0.74,1.2163,-0.355375
Jeff Carter 2014,Jeff Carter,2014,C,28.748,75,219,74.0,80.0,55.0,82,72,1.8216,0.6556,0.74,1.2163,1.5106,0.40222499999999983
Jeff Carter 2015,Jeff Carter,2015,C,29.748,75,219,80.0,55.0,82.0,72,82,0.6556,0.74,1.2163,1.5106,1.4035,0.37287500000000007
