,Player,Year,Position,Age,Height,Weight,Y1 GP,Y2 GP,Y3 GP,Y4 GP,Y5 GP,Y1 PK ATOI,Y2 PK ATOI,Y3 PK ATOI,Y4 PK ATOI,Y5 PK ATOI,Y1 PK G/60,Y2 PK G/60,Y3 PK G/60,Y4 PK G/60,Y5 PK G/60,Y5 dPK G/60,Y1 PK ixG/60,Y2 PK ixG/60,Y3 PK ixG/60,Y4 PK ixG/60,Y5 PK ixG/60
Eric Staal 2012,Eric Staal,2012,C,26.922,76,195,82.0,82.0,70.0,81,82,1.313,1.5346,0.8386,1.3856,1.4746,0.0,0.4768,0.0,1.6038,1.4886,0.9684499999999999,0.7847,0.6714,0.8904,1.5976,1.2466
Eric Staal 2013,Eric Staal,2013,C,27.924,76,195,82.0,70.0,81.0,82,82,1.5346,0.8386,1.3856,1.4746,1.2045,0.4768,0.0,1.6038,1.4886,1.0378,0.14550000000000007,0.6714,0.8904,1.5976,1.2466,0.4416
Eric Staal 2014,Eric Staal,2014,C,28.923,76,195,70.0,81.0,82.0,82,79,0.8386,1.3856,1.4746,1.2045,0.888,0.0,1.6038,1.4886,1.0378,1.7106,0.6780499999999998,0.8904,1.5976,1.2466,0.4416,0.6585
Jeff Carter 2017,Jeff Carter,2017,C,31.749,75,219,82.0,72.0,82.0,77,82,1.2163,1.5106,1.4035,1.653,1.5124,0.0,0.5516,0.5214,0.4714,0.4838,0.09770000000000001,0.4095,0.3873,0.6035,0.4114,0.5875
Jeff Carter 2023,Jeff Carter,2023,C,37.748,75,219,76.0,70.0,79.0,76,79,1.2539,1.3758,1.108,1.4629,1.1188,0.6296,0.0,0.0,0.5396,0.0,-0.2923,0.4838,0.262,0.3996,0.4454,0.3284
Patrice Bergeron 2013,Patrice Bergeron,2013,C,27.19,73,196,64.0,73.0,80.0,81,71,2.3102,1.9477,2.0769,1.8243,2.2131,0.4058,0.422,0.7222,0.8121,0.0,-0.590525,0.6592,0.3083,0.5307,0.5374,0.2774
Patrice Bergeron 2014,Patrice Bergeron,2014,C,28.19,73,196,73.0,80.0,81.0,71,80,1.9477,2.0769,1.8243,2.2131,1.9658,0.422,0.7222,0.8121,0.0,0.3815,-0.10757499999999998,0.3083,0.5307,0.5374,0.2774,0.2722
Patrice Bergeron 2015,Patrice Bergeron,2015,C,29.189,73,196,80.0,81.0,71.0,80,81,2.0769,1.8243,2.2131,1.9658,1.7296,0.7222,0.8121,0.0,0.3815,0.4283,-0.05064999999999997,0.5307,0.5374,0.2774,0.2722,0.438
Patrice Bergeron 2016,Patrice Bergeron,2016,C,30.188,73,196,81.0,71.0,80.0,81,80,1.8243,2.2131,1.9658,1.7296,2.205,0.8121,0.0,0.3815,0.4283,0.3401,-0.06537500000000002,0.5374,0.2774,0.2722,0.438,0.3655
Patrice Bergeron 2017,Patrice Bergeron,2017,C,31.19,73,196,71.0,80.0,81.0,80,79,2.2131,1.9658,1.7296,2.205,2.1532,0.0,0.3815,0.4283,0.3401,0.0,-0.28747500000000004,0.2774,0.2722,0.438,0.3655,0.185
Patrice Bergeron 2018,Patrice Bergeron,2018,C,32.19,73,196,80.0,81.0,80.0,79,64,1.9658,1.7296,2.205,2.1532,1.8333,0.3815,0.4283,0.3401,0.0,1.0227,0.7352249999999999,0.2722,0.438,0.3655,0.185,0.3999
Patrice Bergeron 2019,Patrice Bergeron,2019,C,33.189,73,196,81.0,80.0,79.0,64,65,1.7296,2.205,2.1532,1.8333,1.6918,0.4283,0.3401,0.0,1.0227,2.1825,1.734725,0.438,0.3655,0.185,0.3999,0.9614
Patrice Bergeron 2020,Patrice Bergeron,2020,C,34.188,73,196,80.0,79.0,64.0,65,71,2.205,2.1532,1.8333,1.6918,1.7273,0.3401,0.0,1.0227,2.1825,0.5694,-0.316925,0.3655,0.185,0.3999,0.9614,0.416
Patrice Bergeron 2021,Patrice Bergeron,2021,C,35.191,73,196,79.0,64.0,65.0,71,79,2.1532,1.8333,1.6918,1.7273,1.7846,0.0,1.0227,2.1825,0.5694,1.8679,0.9242499999999999,0.185,0.3999,0.9614,0.416,0.5084
Patrice Bergeron 2022,Patrice Bergeron,2022,C,36.19,73,196,64.0,65.0,71.0,79,73,1.8333,1.6918,1.7273,1.7846,1.6756,1.0227,2.1825,0.5694,1.8679,0.0,-1.410625,0.3999,0.9614,0.416,0.5084,0.468
Patrice Bergeron 2023,Patrice Bergeron,2023,C,37.189,73,196,65.0,71.0,79.0,73,78,1.6918,1.7273,1.7846,1.6756,1.7756,2.1825,0.5694,1.8679,0.0,0.8664,-0.28855,0.9614,0.416,0.5084,0.468,0.2681
Joe Pavelski 2012,Joe Pavelski,2012,C,27.223,71,200,82.0,80.0,67.0,74,82,1.0274,2.2225,2.4057,1.9698,1.5801,0.7122,1.0124,0.3722,0.4116,0.4631,-0.16399999999999998,0.4162,0.7242,0.2211,0.3589,0.1641
Joe Pavelski 2013,Joe Pavelski,2013,C,28.225,71,200,80.0,67.0,74.0,82,82,2.2225,2.4057,1.9698,1.5801,1.5774,1.0124,0.3722,0.4116,0.4631,0.0,-0.564825,0.7242,0.2211,0.3589,0.1641,0.1518
Joe Pavelski 2014,Joe Pavelski,2014,C,29.225,71,200,67.0,74.0,82.0,82,82,2.4057,1.9698,1.5801,1.5774,1.5967,0.3722,0.4116,0.4631,0.0,0.4582,0.14647499999999997,0.2211,0.3589,0.1641,0.1518,0.2766
Joe Pavelski 2015,Joe Pavelski,2015,C,30.224,71,200,74.0,82.0,82.0,82,82,1.9698,1.5801,1.5774,1.5967,1.5264,0.4116,0.4631,0.0,0.4582,0.0,-0.333225,0.3589,0.1641,0.1518,0.2766,0.0184
Blake Wheeler 2018,Blake Wheeler,2018,R,31.086,77,220,82.0,79.0,82.0,82,81,0.8657,1.7734,1.3061,1.4004,1.2753,0.0,1.7131,1.1204,1.045,0.0,-0.969625,0.1723,0.37,0.6308,0.4818,0.468
Blake Wheeler 2019,Blake Wheeler,2019,R,32.086,77,220,79.0,82.0,82.0,81,82,1.7734,1.3061,1.4004,1.2753,1.1407,1.7131,1.1204,1.045,0.0,1.283,0.31337499999999996,0.37,0.6308,0.4818,0.468,0.5044
Blake Wheeler 2020,Blake Wheeler,2020,R,33.085,77,220,82.0,82.0,81.0,82,83,1.3061,1.4004,1.2753,1.1407,0.6735,1.1204,1.045,0.0,1.283,1.2548,0.39269999999999994,0.6308,0.4818,0.468,0.5044,0.3897
Paul Stastny 2019,Paul Stastny,2019,C,32.762,72,193,74.0,64.0,66.0,82,50,0.9095,1.3875,1.6301,0.9907,1.0953,0.0,0.0,0.0,0.0,1.0956,1.0956,0.156,0.5024,0.2098,0.1486,0.2491
Paul Stastny 2020,Paul Stastny,2020,C,33.761,72,193,64.0,66.0,82.0,50,83,1.3875,1.6301,0.9907,1.0953,1.1122,0.0,0.0,0.0,1.0956,0.0,-0.2739,0.5024,0.2098,0.1486,0.2491,0.133
Anze Kopitar 2012,Anze Kopitar,2012,C,24.105,75,225,82.0,82.0,82.0,75,82,1.1557,1.4992,1.624,2.0756,2.248,1.2663,0.4881,0.4506,0.3854,0.651,0.0034000000000000696,0.548,0.6363,0.2131,0.4536,0.3944
Anze Kopitar 2013,Anze Kopitar,2013,C,25.107,75,225,82.0,82.0,75.0,82,80,1.4992,1.624,2.0756,2.248,1.4926,0.4881,0.4506,0.3854,0.651,0.0,-0.493775,0.6363,0.2131,0.4536,0.3944,0.0987
Anze Kopitar 2014,Anze Kopitar,2014,C,26.106,75,225,82.0,75.0,82.0,80,82,1.624,2.0756,2.248,1.4926,2.0205,0.4506,0.3854,0.651,0.0,0.0,-0.37175,0.2131,0.4536,0.3944,0.0987,0.2298
Anze Kopitar 2015,Anze Kopitar,2015,C,27.105,75,225,75.0,82.0,80.0,82,79,2.0756,2.248,1.4926,2.0205,1.6833,0.3854,0.651,0.0,0.0,0.0,-0.2591,0.4536,0.3944,0.0987,0.2298,0.1979
