,Player,Year,Position,Age,Height,Weight,Y1 GP,Y2 GP,Y3 GP,Y4 GP,Y5 GP,Y1 PP ATOI,Y2 PP ATOI,Y3 PP ATOI,Y4 PP ATOI,Y5 PP ATOI,Y1 EV A1/60,Y2 EV A1/60,Y3 EV A1/60,Y4 EV A1/60,Y5 EV A1/60,Y1 EV A2/60,Y2 EV A2/60,Y3 EV A2/60,Y4 EV A2/60,Y5 EV A2/60,Y1 PP A1/60,Y2 PP A1/60,Y3 PP A1/60,Y4 PP A1/60,Y5 PP A1/60,Y5 dPP A1/60,Y1 PP A2/60,Y2 PP A2/60,Y3 PP A2/60,Y4 PP A2/60,Y5 PP A2/60,Y5 dPP A2/60,Y1 PP Rebounds Created/60,Y2 PP Rebounds Created/60,Y3 PP Rebounds Created/60,Y4 PP Rebounds Created/60,Y5 PP Rebounds Created/60,Y1 PP oixGF/60,Y2 PP oixGF/60,Y3 PP oixGF/60,Y4 PP oixGF/60,Y5 PP oixGF/60
Eric Staal 2009,Eric Staal,2009,C,23.924,76,195,,,,82,82,,,,4.6524,4.2295,,,,0.6076,0.7195,,,,0.4674,0.4317,,,,1.8873,0.865,-1.0223,,,,1.4155,0.865,-0.5505,,,,1.73,2.595,,,,6.7612,7.2695
Eric Staal 2010,Eric Staal,2010,C,24.923,76,195,,,82.0,82,70,,,4.6524,4.2295,4.2055,,,0.6076,0.7195,1.1508,,,0.4674,0.4317,0.548,,,1.8873,0.865,0.8153,-0.56085,,,1.4155,0.865,1.2229,0.08265000000000011,,,1.73,2.595,1.6305,,,6.7612,7.2695,7.637
Eric Staal 2011,Eric Staal,2011,C,25.923,76,195,,82.0,82.0,70,81,,4.6524,4.2295,4.2055,4.4288,,0.6076,0.7195,1.1508,0.7819,,0.4674,0.4317,0.548,0.4139,,1.8873,0.865,0.8153,1.5053,0.31610000000000005,,1.4155,0.865,1.2229,1.338,0.17020000000000013,,1.73,2.595,1.6305,1.5053,,6.7612,7.2695,7.637,6.8023
Eric Staal 2012,Eric Staal,2012,C,26.922,76,195,82.0,82.0,70.0,81,82,4.6524,4.2295,4.2055,4.4288,3.6451,0.6076,0.7195,1.1508,0.7819,0.8917,0.4674,0.4317,0.548,0.4139,0.3567,1.8873,0.865,0.8153,1.5053,1.8066,0.538375,1.4155,0.865,1.2229,1.338,1.4052,0.19484999999999997,1.73,2.595,1.6305,1.5053,2.2081,6.7612,7.2695,7.637,6.8023,7.7725
Eric Staal 2013,Eric Staal,2013,C,27.924,76,195,82.0,70.0,81.0,82,82,4.2295,4.2055,4.4288,3.6451,3.5587,0.7195,1.1508,0.7819,0.8917,1.3874,0.4317,0.548,0.4139,0.3567,0.8479,0.865,0.8153,1.5053,1.8066,1.7563,0.5082499999999999,0.865,1.2229,1.338,1.4052,0.3513,-0.8564750000000001,2.595,1.6305,1.5053,2.2081,2.4588,7.2695,7.637,6.8023,7.7725,7.7732
Eric Staal 2014,Eric Staal,2014,C,28.923,76,195,70.0,81.0,82.0,82,79,4.2055,4.4288,3.6451,3.5587,3.3749,1.1508,0.7819,0.8917,1.3874,0.9483,0.548,0.4139,0.3567,0.8479,0.3319,0.8153,1.5053,1.8066,1.7563,1.5753,0.10442499999999999,1.2229,1.338,1.4052,0.3513,0.9002,-0.17915000000000003,1.6305,1.5053,2.2081,2.4588,1.3503,7.637,6.8023,7.7725,7.7732,7.3971
Eric Staal 2015,Eric Staal,2015,C,29.923,76,195,81.0,82.0,82.0,79,77,4.4288,3.6451,3.5587,3.3749,2.6058,0.7819,0.8917,1.3874,0.9483,0.4834,0.4139,0.3567,0.8479,0.3319,0.5318,1.5053,1.8066,1.7563,1.5753,2.3922,0.731325,1.338,1.4052,0.3513,0.9002,0.5981,-0.400575,1.5053,2.2081,2.4588,1.3503,2.3922,6.8023,7.7725,7.7732,7.3971,7.4129
Eric Staal 2016,Eric Staal,2016,C,30.922,76,195,82.0,82.0,79.0,77,83,3.6451,3.5587,3.3749,2.6058,2.6046,0.8917,1.3874,0.9483,0.4834,0.5093,0.3567,0.8479,0.3319,0.5318,0.4167,1.8066,1.7563,1.5753,2.3922,1.3877,-0.4949000000000001,1.4052,0.3513,0.9002,0.5981,0.2775,-0.5362,2.2081,2.4588,1.3503,2.3922,1.3877,7.7725,7.7732,7.3971,7.4129,6.7665
Eric Staal 2017,Eric Staal,2017,C,31.924,76,195,82.0,79.0,77.0,83,82,3.5587,3.3749,2.6058,2.6046,2.3738,1.3874,0.9483,0.4834,0.5093,0.7879,0.8479,0.3319,0.5318,0.4167,0.3939,1.7563,1.5753,2.3922,1.3877,2.1577,0.3798250000000003,0.3513,0.9002,0.5981,0.2775,1.5412,1.0094249999999998,2.4588,1.3503,2.3922,1.3877,2.466,7.7732,7.3971,7.4129,6.7665,6.5718
Eric Staal 2018,Eric Staal,2018,C,32.924,76,195,79.0,77.0,83.0,82,82,3.3749,2.6058,2.6046,2.3738,2.187,0.9483,0.4834,0.5093,0.7879,0.8048,0.3319,0.5318,0.4167,0.3939,0.5533,1.5753,2.3922,1.3877,2.1577,1.0037,-0.874525,0.9002,0.5981,0.2775,1.5412,1.0037,0.1744500000000001,1.3503,2.3922,1.3877,2.466,1.3383,7.3971,7.4129,6.7665,6.5718,6.7383
Eric Staal 2019,Eric Staal,2019,C,33.923,76,195,77.0,83.0,82.0,82,81,2.6058,2.6046,2.3738,2.187,2.8068,0.4834,0.5093,0.7879,0.8048,0.6394,0.5318,0.4167,0.3939,0.5533,0.3935,2.3922,1.3877,2.1577,1.0037,1.0556,-0.6797249999999999,0.5981,0.2775,1.5412,1.0037,1.0556,0.20047500000000007,2.3922,1.3877,2.466,1.3383,1.8474,7.4129,6.7665,6.5718,6.7383,6.1781
Eric Staal 2020,Eric Staal,2020,C,34.922,76,195,83.0,82.0,82.0,81,77,2.6046,2.3738,2.187,2.8068,2.6952,0.5093,0.7879,0.8048,0.6394,0.9037,0.4167,0.3939,0.5533,0.3935,0.3228,1.3877,2.1577,1.0037,1.0556,2.0238,0.622625,0.2775,1.5412,1.0037,1.0556,1.0119,0.04239999999999999,1.3877,2.466,1.3383,1.8474,1.0119,6.7665,6.5718,6.7383,6.1781,5.7206
Eric Staal 2021,Eric Staal,2021,C,35.924,76,195,82.0,82.0,81.0,77,77,2.3738,2.187,2.8068,2.6952,1.3509,0.7879,0.8048,0.6394,0.9037,0.1703,0.3939,0.5533,0.3935,0.3228,0.3406,2.1577,1.0037,1.0556,2.0238,1.676,0.1157999999999999,1.5412,1.0037,1.0556,1.0119,0.0,-1.1531,2.466,1.3383,1.8474,1.0119,0.838,6.5718,6.7383,6.1781,5.7206,6.1508
Jeff Carter 2009,Jeff Carter,2009,C,23.749,75,219,,,,82,82,,,,2.4602,2.7518,,,,0.3634,0.8226,,,,0.2596,0.4839,,,,2.6768,1.5954,-1.0814000000000001,,,,0.5948,1.3295,0.7346999999999999,,,,1.7845,0.7977,,,,5.9306,7.275
Jeff Carter 2010,Jeff Carter,2010,C,24.748,75,219,,,82.0,82,74,,,2.4602,2.7518,3.0982,,,0.3634,0.8226,0.3948,,,0.2596,0.4839,0.564,,,2.6768,1.5954,1.3085,-0.8275999999999999,,,0.5948,1.3295,1.5702,0.6080500000000001,,,1.7845,0.7977,2.8787,,,5.9306,7.275,8.5656
Jeff Carter 2011,Jeff Carter,2011,C,25.747,75,219,,82.0,82.0,74,80,,2.4602,2.7518,3.0982,2.9198,,0.3634,0.8226,0.3948,0.5118,,0.2596,0.4839,0.564,0.563,,2.6768,1.5954,1.3085,1.0275,-0.8327333333333333,,0.5948,1.3295,1.5702,1.2843,0.11946666666666661,,1.7845,0.7977,2.8787,2.8255,,5.9306,7.275,8.5656,8.0965
Jeff Carter 2012,Jeff Carter,2012,C,26.747,75,219,82.0,82.0,74.0,80,55,2.4602,2.7518,3.0982,2.9198,3.1058,0.3634,0.8226,0.3948,0.5118,0.4268,0.2596,0.4839,0.564,0.563,0.2845,2.6768,1.5954,1.3085,1.0275,0.3513,-1.30075,0.5948,1.3295,1.5702,1.2843,0.7025,-0.4922000000000001,1.7845,0.7977,2.8787,2.8255,1.7563,5.9306,7.275,8.5656,8.0965,7.6257
