,Player,Position,Age,Height,Weight,GP,EV ATOI,PP ATOI,PK ATOI,EV G/60,PP G/60,PK G/60,EV A1/60,PP A1/60,PK A1/60,EV A2/60,PP A2/60,PK A2/60,GOALS,PRIMARY ASSISTS,SECONDARY ASSISTS,POINTS
1,Alex Ovechkin,L,26.0,75,238,72.8031965380907,16.89808579905033,5.188441857845336,0.3236396073187887,1.7648495697247797,1.8675309423118829,1.355897068977356,0.9919332003561778,2.4155261632442477,1.9574637413024905,1.3336265862762926,2.1408946465730665,1.18389093875885,47.94117259020868,35.91372261266182,40.83215744980353,124.68705265267403
2,Henrik Sedin,C,31.0,74,183,78.05658469438553,15.086945709067582,3.818837303704768,0.5341759454719722,0.7879055110922084,0.8413036220103502,1.2779639959335327,1.2400574095485732,3.0148627880573278,1.791250467300415,1.6753206264793874,3.140442993474007,0.8629326820373535,20.51731103630688,40.532429868473784,49.048051093493896,110.09779199827456
3,Martin St. Louis,R,36.3,68,180,75.74412275969982,16.27263316974938,4.570094237212836,1.260556645963341,1.0250516519940458,0.9685047116175292,1.1973884105682373,0.835074570070222,2.2165169576168062,1.1614910364151,1.283179234701395,2.378348085570335,1.0718649625778198,28.26977904120341,31.47834846000987,41.3764079492993,101.12453545051258
4,Daniel Sedin,L,31.0,73,190,73.95155035912991,14.684402500616017,3.8049948917798697,0.2900132455655932,1.1733579951713793,2.188048315472901,1.2611762285232544,1.1763786657102406,2.5283349948883056,1.760464429855347,1.331508568394184,2.47043210105896,0.8760128021240234,31.537620056172553,33.343087702489754,35.53450758722358,100.41521534588588
5,Ilya Kovalchuk,L,28.5,75,222,75.66232339859009,16.40686557711661,5.329284390196577,0.2588280423000454,1.445117740743235,1.5281960578791796,1.4831453561782837,0.7390358666835353,1.814566691684723,1.508382797241211,0.8444045289695262,1.575307470345497,0.739115297794342,40.29740440110273,27.7325197909496,28.050746095682403,96.08067028773473
6,Joe Thornton,C,32.2,76,220,76.90791889965534,15.567378111959991,3.834356197571754,0.7633289917103946,0.7166329621839337,1.4764945250436663,0.3393585681915283,1.1448668081056326,2.76969399163723,0.2837186157703399,1.2152596873223782,2.563972544240952,0.1787410080432891,21.63028964462018,36.301575378524696,36.58897040313238,94.52083542627726
7,Jarome Iginla,R,34.3,73,210,78.56344633936882,16.757632820999625,4.282618266059831,0.2204223537677228,1.237480500980001,1.914879766456783,1.056279182434082,0.7945586652871222,1.6547107847690583,1.2950310707092283,0.9337594680488108,1.5082817590236663,0.8189406394958496,37.922001607533794,26.89293203523077,28.973757986689396,93.78869162945396
8,Ryan Getzlaf,C,26.4,76,220,69.09357487976551,16.359998449251055,3.862506331170723,0.5730072639666497,0.8036719106446021,1.3401357317388056,1.4768905639648438,0.9031649683203548,2.581649593997002,1.4948886632919312,1.4876520204782486,3.0378619420766837,0.7343407273292542,22.046216428790814,29.444597062559943,41.96640754905874,93.4572210404095
9,Pavel Datsyuk,C,33.2,71,188,71.63976385056972,15.22287029848695,3.66536266800724,1.2470431693285704,1.0346113004146142,1.8530131276205184,1.0947494506835938,1.086202323918417,2.4011249169588087,1.569309949874878,1.1566622628569605,2.2346823959350584,1.093317627906799,28.289853678405404,32.296844443377246,32.141765456470225,92.72846357825287
10,Henrik Zetterberg,C,31.0,72,197,75.7236410945654,15.193930574835838,3.699915288959071,1.4400310405135153,1.034676033431664,1.954932223686576,1.2378225326538086,0.8541574365459382,1.956498839259148,1.748936891555786,1.106690069657564,1.9739121556997297,0.9165310859680176,30.920477890465605,28.41926521350485,31.797641329452944,91.13738443342339
11,Eric Staal,C,26.9,76,195,74.48927333116531,15.612426540642977,4.37600514650084,1.2924286055013536,1.0628640125421809,2.0298952718496324,0.5619345307350159,0.7471154594922439,1.713053733956814,0.4112556278705597,1.289754704326391,1.5877142407894134,0.2479353845119476,32.31700710886857,24.286967390913393,33.79886489360738,90.40283939338934
12,Dany Heatley,L,30.7,75,212,76.52387015879154,15.885314734628796,3.848386912379414,0.7238700218856334,1.0625335727476517,2.7051505705192684,0.3155747354030609,0.672867707682401,2.061677439117432,0.2706798613071441,0.987982532429695,2.0712075442552567,0.1713928878307342,34.85560305781244,23.837127442060037,30.1330977021091,88.82582820198158
13,Nicklas Backstrom,C,23.9,73,202,76.795955260396,15.289397326239945,3.7162901817955074,0.9295138894997536,0.6859766667392104,1.4304570316672325,0.1947362869977951,0.9926361471394076,2.465895946335793,0.0,1.300718746238947,2.5483380799531936,0.0,20.247886205491433,30.83167157501927,37.186254709324686,88.26581248983538
14,Sidney Crosby,C,24.2,71,200,50.86629568576813,15.615044922080637,5.270514132929221,0.7913905081979931,1.7001700483652762,1.5011065324157478,1.0891685485839844,1.340307693970762,2.800590617275238,1.6530627012252808,1.3105553436398505,2.3290084651231764,0.9330523610115052,29.434827104755435,30.831446175723077,27.898217814257347,88.16449109473587
15,Rick Nash,"L, R",27.3,76,211,74.3546790254116,14.883987907715142,3.5751283791579307,1.9398006745904688,1.4063153931315058,1.5657925939723851,1.0393930673599243,0.7786528025701642,1.6760475116729738,1.3155090808868408,0.9486817821741104,1.5493491437911988,0.8548864126205444,35.20637100172939,24.831155499718516,26.2917060589301,86.329232560378
16,Corey Perry,R,26.4,75,208,75.23547181844711,15.775706272166968,3.5768770603485405,0.5769235333643853,1.1632913136768157,2.0686913341864943,1.2354950904846191,0.8714377937071026,1.9321789794206616,1.7932084798812866,0.9088711013317108,1.650151399564743,1.1097296476364136,33.079978555973646,27.116571885297486,26.10087671308594,86.29742715435707
17,Paul Stastny,C,25.8,72,193,77.23104532241821,15.243708082687856,3.796706401187554,1.778020878842473,0.7980103260999545,1.2913400330498817,0.374798983335495,0.8153479622010141,2.198496923780441,0.3907252848148346,1.2499308971583845,2.2335557633161547,0.2156903445720672,22.758474001555502,27.554053936906246,35.8271235371026,86.13965147556435
18,Mike Ribeiro,C,31.6,72,179,74.99540376663208,14.762127122282982,4.153401925686374,0.9061309148147704,0.7954049151486716,1.3068949824631213,0.1936603337526321,1.0876204532887783,2.3849213973283767,0.0,1.082745369631052,2.071093281912804,0.0,21.39267260877637,32.018725170372576,30.3223727226132,83.73377050176214
19,Vincent Lecavalier,C,31.4,76,215,73.38961108028889,15.239612704421578,4.205841361288353,0.9910773603312673,0.9910720242458396,1.6000577550560235,1.2401787042617798,0.7297537156542763,1.9043211025953293,1.758250713348389,0.936243290489912,1.8754818740844728,1.2400920391082764,28.059078054149428,25.395482032034515,28.45173969147271,81.90629977765666
20,Anze Kopitar,C,24.1,75,225,74.40971629738807,15.71742254832089,3.89188139978759,1.6036129351630806,0.9475218880741856,1.6368408545464277,0.4435243904590606,0.7215367982601747,1.8910199873447415,0.4466437399387359,1.0207894999980929,1.9891514797210692,0.2620400786399841,27.101555037842537,23.94710045509889,29.853983304783416,80.90263879772485
21,Brad Richards,C,31.4,72,199,68.25812665998936,15.44585560784936,4.946429296619818,1.3325257882237436,0.795919784731511,1.3262025677800178,1.1259173154830933,0.9126894971773029,1.9753514124870304,1.601744294166565,0.9437896024674176,1.7623954183101656,1.1007996797561646,23.06780225162876,29.46958144605211,28.063652376096453,80.60103607377732
22,Patrick Kane,R,22.9,70,177,73.94549764096737,15.08059324105382,3.658038226060569,0.1987017411218285,0.912255981860496,1.575672427330911,0.9666547775268556,0.8006774899177252,2.063651879429817,1.5189796686172483,1.1784954841852189,2.2217582925081256,0.8691205382347107,23.98452394546958,24.24261003786725,31.72139999881495,79.94853398215177
23,Patrick Marleau,C,32.0,74,215,77.04513855695724,14.924643144151569,3.640211903750152,1.814937584103644,1.120975700823497,1.927933219058812,0.2138670086860656,0.5134960423832163,1.7878810410261154,0.0,1.0549880931556226,2.178635505962372,0.0,30.97505056000907,18.187414163554678,30.384220166830737,79.54668489039449
24,Steven Stamkos,C,21.6,72,182,79.22951492607594,13.815838929786626,3.829220155329754,0.5024790109531283,1.2184487736107317,3.135437240382284,1.018292784690857,0.7134100273166474,1.906396537987391,1.5518975257873535,0.3958090371216958,1.6047921294530232,0.9347417950630188,38.64659226733728,23.615951912471328,15.909578798235513,78.17212297804413
25,Evgeni Malkin,C,25.2,75,195,52.31410766750574,15.319317436617611,5.218153680856154,0.5537191782541573,1.0802998645998538,1.737356835231185,1.190909504890442,1.2010578010834752,2.4496467055797577,1.7227838039398191,1.2515790752530098,2.2455450553655623,1.0753028392791748,22.77139015639401,27.85116283756645,27.28817186467957,77.91072485864002
26,Jason Spezza,C,28.3,75,219,65.03958209395408,15.14102591111958,4.005547883855551,0.7212013721063733,0.9678646207261832,2.0256727720707657,1.4778958559036257,1.0196328731205315,2.107686597299576,1.4874767065048218,0.9926616140842438,1.7341676470279692,0.7462727427482605,25.820440864325192,27.032955715023746,24.39062133588448,77.24401791523341
27,Thomas Vanek,L,27.7,74,214,75.10721722126007,13.036852060444652,3.655449124510959,0.2374103721599578,1.1623823068242518,2.922881873385608,1.350311279296875,0.698549122069031,1.6523824313879012,1.8630541563034055,1.0069341240346432,1.629003943157196,1.0377609729766846,32.698537575265235,19.486737317679736,24.160459332874268,76.34573422581924
28,Jeff Carter,C,26.7,75,219,75.51514823377133,14.481783537998796,2.7969689415488395,1.993228468234837,1.3534499944549054,2.3314617219090463,0.4916551411151886,0.5120349455397576,1.6331052255868912,0.4294999539852142,1.060744441345334,1.8777862615585328,0.2554883658885956,33.87672112202,16.048769218542873,26.40353490667107,76.32902524723394
29,Shane Doan,R,35.0,73,223,74.84230223357677,14.971533114427327,3.7938559636704623,1.1203191844388842,0.8012984054160305,1.621204844418168,1.0832725763320925,0.8845281618226319,1.839280922603607,1.3508844375610352,0.9090409220039846,1.6077183496236802,0.8460493683815002,23.878436337610875,26.805428620372613,25.47700792555738,76.16087288354086
30,Mike Richards,C,26.6,71,196,77.35781823039055,14.198978122109176,3.643296683321521,2.6476407929793,0.8480867455942556,1.6986511758580805,0.4507982730865478,0.689470519124344,1.987110633206368,0.399005115032196,0.9130705678403378,2.0281594945430754,0.1906536370515823,24.927732622993354,23.210151856437886,26.76858559145313,74.90647007088437
31,Jason Pominville,R,28.8,72,180,76.11435576200485,13.307763465218247,3.537593043480441,2.267683703264594,1.01865520412717,0.9735552151292562,0.4098775088787079,0.8863163204165175,1.9886539179086684,0.4022091627120971,1.00984196023345,1.9037060794353489,0.2169863879680633,22.710747136266892,25.006557877451442,26.176086976188138,73.89339198990646
32,Jonathan Toews,C,23.4,74,201,71.31317395329475,14.632543566817043,3.417270913622156,1.424864035988599,1.0840893072657287,1.9847530608952044,0.4174046218395233,0.7732520760677755,1.8927843272209168,0.4340613782405853,0.9443608954370022,1.8373705808639529,0.2336708158254623,27.500865181152676,21.77484795933123,24.175670554474152,73.45138369495805
33,Daniel Alfredsson,R,38.8,71,203,67.4886189866066,14.265829322442412,3.905489555278421,2.2785558785773814,0.9806624102138914,1.4878792861558496,0.5981045961380005,0.7437093035094441,2.0015666373968126,0.4754990637302398,1.1186802204430104,2.0957529187679294,0.2241472750902176,23.63276965976494,21.78636629634451,27.530941320927568,72.95007727703702
34,Marian Gaborik,R,29.6,73,200,69.3777799475193,15.738150175184012,3.400535480123758,0.6065943519264461,1.1562795044243337,2.204547224764525,1.2634724378585815,0.9321652844056488,2.0126533557653428,1.786712408065796,0.4492049918543547,1.897720559859276,0.9245055913925172,30.42987030293101,25.988235940007375,16.196279824441714,72.6143860673801
35,Alexander Semin,R,27.6,74,211,64.64339851260185,13.566382760387658,3.8490397671166807,0.8901948773272336,1.672443421683088,1.6913279997810722,0.2288761585950851,0.7023374632969499,2.0754526463747025,0.0,0.9682517894566058,2.08033284971714,0.0,31.362923432495073,18.684457199690584,22.552488801705643,72.5998694338913
36,Loui Eriksson,L,26.2,74,179,74.1522437185049,14.38814292460084,2.764831543019414,1.2672333869114518,1.0070070201167838,1.7213719543799757,0.1740753948688507,0.7143199147634208,1.9848960297346117,0.0,1.1809554858505726,2.2779890245199206,0.0,24.011592224583378,19.44428955549249,28.724348414106803,72.18023019418267
37,Ryan Kesler,C,27.1,74,206,78.48989582121372,13.807730047741533,2.75210101939328,2.990486142247915,0.9037206827263348,2.474017421919108,0.4046462476253509,0.6551290222827346,1.823274485516548,0.4175161123275757,0.9640889178216456,1.948250896334648,0.2403651177883148,26.64631591770518,19.9059333257532,25.21021275625158,71.76246199970996
38,Nik Antropov,C,31.6,78,245,69.76241507053375,13.71131223925352,3.1429254951000214,0.7955930436639488,0.9313195962877944,1.8432000624015927,1.7809264659881592,0.7052992585392892,2.1343060081243515,2.0930988788604736,1.1658752195596696,2.2335825382232666,1.2534948587417605,22.976478998878587,20.750367735589705,27.603374631376447,71.33022136584475
39,Ray Whitney,L,39.4,70,180,72.80925352990627,13.985895843999089,4.103338416011259,0.2291882893950939,1.0009459075612948,0.9566857511565088,1.2429957389831543,0.7583678145177662,2.1109564601659776,2.099484205245972,0.9290896408617496,2.018425416088104,0.8986761569976807,21.851532804652127,23.69951903571029,25.77887945719348,71.3299312975559
40,Erik Cole,L,32.9,74,205,81.99729957133532,13.822523442026974,2.850998531395569,1.1810690409086646,0.9073521235859954,1.2477036910682917,1.1930735111236572,0.6826575589878484,1.8287547534704207,1.4759855270385742,0.8710907986998558,1.689029251360893,1.2091801166534424,23.636069428692494,22.130641852957528,24.68369443626701,70.45040571791702
