,Player,Position,Age,Height,Weight,GP,EV ATOI,PP ATOI,PK ATOI,EV G/60,PP G/60,PK G/60,EV A1/60,PP A1/60,PK A1/60,EV A2/60,PP A2/60,PK A2/60,GOALS,PRIMARY ASSISTS,SECONDARY ASSISTS,POINTS
1,Nathan Gerbe,C,31.2,64,176,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,,0.14049354808593773,0.13685715298260445,0.10836516857868352,0.2240788413424306
2,Zach Whitecloud,D,21.8,74,207,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,,0.13981992769881302,0.13620096791482797,0.10784559321167694,0.22300445694607945
3,Kyle Rau,C,25.9,69,171,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,,0.13836041886607495,0.1347792355554223,0.10671984813045089,0.22067662728682033
4,Curtis Valk,C,25.6,69,170,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,,0.13828557233444602,0.13470632627689022,0.10666211767145119,0.22055725152676303
5,Jean-Sebastien Dea,C,24.6,71,174,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,,0.137611953885132,0.13405014309676808,0.10614254379911243,0.21948287022110446
6,Christian Jaros,D,22.5,75,222,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,,0.13546012130257817,0.13195400640611105,0.1044827971150945,0.21605082541598214
7,Shane Gersich,L,22.2,71,180,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,,0.13426258249805414,0.13078746350356366,0.10355911416879732,0.21414082234867968
8,Erik Burgdoerfer,D,29.8,73,207,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,,0.13300891128678444,0.1295662410695934,0.10259213530035574,0.21214129143588759
9,Danick Martel,L,23.8,68,184,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,,0.13274695043147205,0.12931106054821453,0.10239008024064881,0.21172347947416273
10,Mitch Reinke,D,22.7,71,181,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,,0.13212947168016678,0.12870956400205852,0.10191380791433513,0.21073863764312417
11,Sami Niku,D,22.0,73,176,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,,0.13160555076911915,0.1281992037381824,0.10150969841164931,0.20990301499495237
12,Trevor Carrick,D,24.2,74,171,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,,0.12915435505057235,0.125811452328856,0.09961904762463102,0.20599350381811513
13,Morgan Klimchuk,L,23.6,72,185,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,,0.1287988389125197,0.12546513801651835,0.09934483171395479,0.2054264767526114
14,Michael Bournival,L,26.3,71,198,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,,0.12818136400830385,0.12486364521787757,0.09886856235496955,0.2044416410574514
15,Jayson Megna,C,28.7,73,195,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,,0.12685285955807699,0.1235695264539927,0.09784386328040201,0.20232275558562166
16,Martin Necas,C,19.7,74,189,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,,0.12662832389126374,0.12335080244479968,0.09767067493319578,0.20196463457049305
17,Ben Sexton,C,27.3,71,196,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,,0.12660961258961542,0.12333257544785159,0.09765624257395172,0.20193479115881693
18,Will O'Neill,D,30.4,73,190,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,,0.12651605609044253,0.12324144047194514,0.09758408078472636,0.2017855741149005
19,Daniel Catenacci,C,25.6,70,193,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,,0.12574889337134262,0.12249413422877031,0.09699235455590559,0.20056199527046942
20,Zach Trotman,D,28.1,75,217,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,,0.11351213851483022,0.12878572379825337,0.10350138403736445,0.20045773804495554
