,Player,Position,Age,Height,Weight,GP,EV ATOI,PP ATOI,PK ATOI,EV G/60,PP G/60,PK G/60,EV A1/60,PP A1/60,PK A1/60,EV A2/60,PP A2/60,PK A2/60,GOALS,PRIMARY ASSISTS,SECONDARY ASSISTS,POINTS
1,Connor McDavid,C,25.7,73,193,76.59356441,19.2514446,4.061897711,0.4001235378,1.538231788,2.446398516,0.6130407139,1.405561285,3.677744254,0.485842501,0.6795824664,2.973019919,0.02089659337,50.80131553,53.86072623,32.12769172,136.7897335
2,Leon Draisaitl,C,26.9,74,208,78.34105405,18.63243664,4.104967093,1.029874501,1.315995942,3.983390172,1.09279268,1.279286933,2.519691756,0.3456942135,0.6747172767,2.021648873,0.0291607858,54.83525937,45.09246586,27.28940236,127.2171276
3,Nathan MacKinnon,C,27.1,72,200,72.20470194,18.16597063,3.960330923,0.2406699307,1.323593022,2.629903319,0.4105517144,1.411235643,2.53560387,0.3364447424,0.7147063485,2.193939077,0.03091616839,41.58803925,43.0331212,26.0893638,110.7105242
4,Mitchell Marner,R,25.4,72,181,73.27351733,17.37070911,3.372580126,2.062511886,1.347394811,2.198469276,0.8907799612,1.37633729,2.842453852,0.4439082698,0.7452023232,2.3854621,0.02024144506,39.88150708,42.02226958,25.68432555,107.5881022
5,Auston Matthews,C,25,75,208,74.84391962,18.86778711,3.402909566,0.300101925,1.883134491,3.278262588,0.4622560673,0.8845988333,1.597625473,0.3410820176,0.530180913,1.429969239,0.01847276629,58.40936212,27.72886994,18.55498062,104.6932127
6,Jonathan Huberdeau,C,29.3,73,200,77.75291975,14.92220509,3.906767945,1.388521594,1.062478803,1.52184505,0.6547366419,1.448386336,2.999016431,0.3866900749,0.7159711337,2.488299355,0.04412270034,29.4283631,43.88699633,26.52196357,99.837323
7,Kirill Kaprizov,L,25.4,70,202,76.70907242,16.93912701,3.545880672,0.263254614,1.476788648,2.669076498,0.4574451302,1.15243321,1.727989632,0.3433876107,0.6430498808,1.477032804,0.0205971183,44.23577192,32.90672937,20.62899748,97.77149877
8,David Pastrnak,R,26.4,73,195,73.93938356,16.1639407,3.765368223,0.2183619964,1.578959908,3.314912723,0.3913814527,1.085064288,1.835718346,0.3274917555,0.6008613798,1.503626595,0.02615911499,46.93862362,30.21974338,18.9527684,96.1111354
9,Aleksander Barkov,C,27.1,75,215,72.60050084,16.01280901,3.770496212,1.915192892,1.382992313,2.570277212,0.6714800367,1.191545771,2.071940937,0.3973012162,0.6800713832,1.810823662,0.03211385085,40.07889602,33.46054086,21.51281239,95.05224927
10,Artemi Panarin,L,30.9,72,173,72.78721716,16.87121171,3.247573131,0.1112713226,0.901715487,1.966888531,0.2821850498,1.437561779,3.0557675,0.2644870661,0.7467016706,2.782986921,0.0482129056,26.24227424,41.49680211,26.25323344,93.99230979
11,Mikko Rantanen,R,25.9,76,215,69.81309684,17.84563523,4.119186566,0.2361328956,1.331496681,2.939499359,0.3950483642,1.020826006,2.027736612,0.3317789814,0.6298151989,1.655827094,0.02361801811,41.84484656,31.00662348,21.02036278,93.87183281
12,Kyle Connor,L,25.8,74,179,77.83736399,17.88111508,3.534409457,1.308891285,1.381272833,2.682885884,1.086890231,0.8474556512,1.716950326,0.3334739494,0.5310914657,1.396721159,0.02257713336,46.18835045,28.09713314,18.76223359,93.04771718
13,Johnny Gaudreau,L,29.1,69,165,78.72271627,16.32408856,3.145042754,0.1896006727,1.043074042,1.864495821,0.2636715525,1.307223111,2.30604296,0.3005447437,0.6973935731,1.948081134,0.04570357121,30.09982003,37.58853966,22.98674231,90.675102
14,Matthew Tkachuk,L,24.8,74,201,77.77153531,16.29145149,3.242610456,0.2627478948,1.205789107,2.611083712,0.4653860152,1.068263181,2.325732462,0.3474472476,0.6401431115,1.922824037,0.01812624797,36.59547538,32.45184938,21.60570039,90.65302515
15,J.T. Miller,C,29.6,73,218,77.19013676,16.4901732,3.462664723,1.812819906,1.017013141,1.728652503,0.4036133091,0.9158749573,2.706581149,0.2984685886,0.568405337,2.470959226,0.05614819042,30.21755223,32.18312757,23.19691277,85.59759257
16,Mark Scheifele,C,29.5,75,198,75.31628143,18.45533715,3.505974588,0.2167831801,1.068226949,2.132860292,0.2731071375,0.9790758256,1.780068935,0.3727812463,0.5967669374,1.518291865,0.05551372897,34.20796151,30.61715247,20.52200735,85.34712132
17,Jake Guentzel,L,28,71,180,70.86269033,17.67886783,3.563312098,0.2541347449,1.264985948,2.48277357,0.4220762057,0.9339992054,1.795918696,0.37907052,0.573279134,1.572080925,0.03755711545,36.98758517,27.17324618,18.59706933,82.75790067
18,William Nylander,R,26.4,72,204,76.499609,15.97483648,3.099499225,0.406370506,1.25384284,2.702070413,0.4033194713,0.9661688715,1.94456543,0.326148711,0.5321716942,1.646251363,0.02620378016,36.42515702,27.53234442,17.35847408,81.31597552
