,Player,Position,Age,Height,Weight,GP,EV ATOI,PP ATOI,PK ATOI,EV G/60,PP G/60,PK G/60,EV A1/60,PP A1/60,PK A1/60,EV A2/60,PP A2/60,PK A2/60,GOALS,PRIMARY ASSISTS,SECONDARY ASSISTS,POINTS
1,Sidney Crosby,C,28.2,71,200,77.08467229207356,15.903451593621572,3.518851934591929,0.3951177175045013,0.8562623168259498,1.5380362259281017,0.026081688767387725,0.9785686358793629,3.6842214962627144,0.0007076261836673551,0.6341365357054061,3.66994501487763,0.0,24,37,30,91
2,Tyler Seguin,C,23.7,73,205,78.68635429441929,15.594174730587007,3.7809357573509215,0.023401311397552492,1.0860617499675944,2.0144387419717154,0.030657374947574267,0.785476279672789,1.9559978614630584,0.0,0.5205476456735821,1.6864264433854195,0.0,32,26,19,77
3,Claude Giroux,R,27.7,71,190,80.64921651780605,15.89667109363079,3.39684319934845,0.9475245329856872,0.8830254486322675,1.1705070767652586,0.6774127162326068,0.6995722566316278,2.3683233999323123,6.0046331111729375e-06,0.539969572465988,2.844992089596759,4.301406361247623e-05,25,26,25,76
4,Nicklas Backstrom,C,27.9,73,202,81.5061202943325,15.843436139297484,3.193530135011673,0.9774245580196381,0.6279482096619889,0.9239195458262023,0.07896392156931122,0.7384174271023657,3.059823704758927,0.010311287049762839,0.5452324943583211,3.5666513404383053,0.0,18,29,27,74
5,Patrick Kane,R,26.9,70,177,74.19542328516641,16.05639827337265,3.4219576382756234,0.02184729527235031,0.9561268456016526,2.123318955687557,0.3321854242778099,0.8581358800188653,1.5915915727977685,0.00034295100375614685,0.5601170902766653,2.1217705727258656,0.0,28,24,20,72
6,Alex Ovechkin,L,30.0,75,238,79.4164510667324,16.03340022189915,3.8781055735588073,0.009905860161781313,1.2168706027932779,3.483689659986478,0.09650137079385819,0.4943299464694609,0.8680117377413862,0.0,0.35033948787307573,0.8180522355958697,0.0,44,15,12,71
7,Steven Stamkos,C,25.6,72,182,82.0,16.250142103099822,3.7812247782707216,0.14952497751116753,1.2558879053766108,2.79631085338872,0.5014441373606903,0.5762828582997395,0.712257548121103,0.0,0.38590614374720433,0.8259112973237582,0.0,42,16,13,71
8,Evgeni Malkin,C,29.2,75,195,66.75985129674275,15.10932933473587,3.835326277542114,0.02430675984621048,1.0587264033654697,2.3039452219635246,0.11532250207585493,0.8127677305656867,2.4006123097541243,0.0,0.5977492680035059,1.78420972145491,0.0,28,24,18,70
9,John Tavares,C,25.0,73,216,76.83671766519547,16.729312954998015,3.703334382069111,0.054838883924484244,0.888903110079458,1.7441733748229655,0.11718218528981351,0.8097789329189407,1.6262902985530543,0.0007390204807132126,0.5195877108054048,1.4533301184519287,0.0,27,25,18,70
10,Jamie Benn,L,26.2,74,205,77.45688335100809,15.153444400978088,3.5630279754161833,1.377754740524292,1.0039905780449423,1.3356943361043785,0.2563181321687574,0.8310963873654351,1.6521835720618514,0.018957750999962726,0.5495638062595896,1.6897527218220656,0.0,26,24,19,69
11,Filip Forsberg,L,21.1,73,205,82.0,15.45869700565338,3.1462136714458464,0.024096569681167603,1.0972079392342715,1.8259918561853656,0.01610036627102086,0.6668931882800627,1.3985430081905172,0.00018381750593213987,0.3879573398233074,1.1234846922466166,0.0,31,20,13,64
12,Max Pacioretty,L,26.9,74,217,76.95327969888845,15.189374919986726,2.7082611038684847,1.3157495670318604,1.2870834560882696,2.091602994211909,0.4223002827854461,0.7423673908878339,1.276741867095437,0.006723246582749543,0.4759731726253257,0.7858496861089389,0.0,33,19,12,64
13,Ryan Getzlaf,C,30.4,76,220,77.2891973654429,15.294733375453948,3.0218848350048066,1.5905802098751067,0.6337198809054142,1.276148329871427,0.062181408852070574,0.8323185773925472,2.3589421619037423,0.0,0.6038420196899852,1.7114151321482178,4.191466639589903e-05,18,26,19,63
14,Mark Stone,R,23.4,75,217,82.0,14.07129106798172,2.7348445143699647,1.8134434986114503,0.9602538831734136,1.8962111974695477,0.1990112839049318,0.8347123684549285,1.55545057343777,0.0,0.5140376806649253,1.2783572150590399,0.0,26,22,15,63
15,Johnny Gaudreau,L,22.1,69,165,82.0,15.794114429950714,3.1057819811820986,0.01067669612467289,0.8897351297454213,1.4022669527914287,0.3375704943160859,0.6610871012822251,1.7321133190920026,0.0028365333369031686,0.4109658813192114,1.3768182734462373,0.0,25,22,15,62
16,Taylor Hall,L,23.9,73,210,69.6838014125824,16.173025251436233,2.7746716092586516,0.15632891992330553,0.8380130848295986,2.0067132832704693,0.399996655352504,0.886335576250801,2.2273035301686126,0.0,0.5599834269154023,1.7849861123742103,0.0,22,24,16,62
