,Player,Position,Age,Height,Weight,GP,EV ATOI,PP ATOI,PK ATOI,EV G/60,PP G/60,PK G/60,EV A1/60,PP A1/60,PK A1/60,EV A2/60,PP A2/60,PK A2/60,GOALS,PRIMARY ASSISTS,SECONDARY ASSISTS,POINTS
1,Connor McDavid,C,25.7,73,193,80.88649848539582,17.081535610261845,3.743437431980676,0.25022740564106316,1.6506604032096,2.798967254738793,0.4388970620185909,1.4452906555410647,5.425760460406184,0.11708486759229216,0.5153739028489126,3.1803445514311197,0.10570959047652863,52.2842201475255,60.702723955382545,27.95336272941635,140.94030683232438
2,Leon Draisaitl,C,26.9,74,208,79.78942500324418,16.967912775251314,3.680231316675237,1.113257630776817,1.207517882028986,4.292546218585004,1.049088737046657,1.705308045918067,3.3171818665256336,0.11620135486703194,0.3935693052914648,2.1594290972539985,0.10803005472894239,49.80791976523191,54.88565181682794,19.60893408010195,124.30250566216179
3,Nathan MacKinnon,C,27.1,72,200,77.519646892166,16.836388908641247,3.7629722874561895,0.12701746209136244,1.2876777410464777,2.620416552206962,0.179014991103132,1.7113602251510633,2.4675318904408763,0.11513747092786647,0.7448938978552969,2.942661992778728,0.10453233011799318,40.779386132792695,49.24177803714058,30.526922114844346,120.54808628477761
4,Mitchell Marner,R,25.4,72,181,77.99415074551403,15.601932703026243,3.2609750057445543,2.07722042973668,0.9903637124539684,1.9083184304742755,1.2940015425035765,1.8410838006613894,2.844113101835156,0.49675526800541114,0.6483130337930647,3.2731159296192103,0.007270434517570323,31.668866039293313,50.73638770546696,27.04263612178511,109.44788986654538
5,David Pastrnak,R,26.4,73,195,77.12921228461111,14.996545130212311,3.517914447412444,0.12533632824950058,1.8955439676138173,3.7030344495796204,0.11106287883558523,1.0376095571310124,2.7714359658469556,0.1107041902684813,0.6653066578413567,1.919066365778534,0.11000300490188628,53.305913033433356,32.55380891965359,21.521878280777507,107.38160023386445
6,Jason Robertson,L,23.2,75,200,76.83134712933564,15.299752339321522,2.842926118581498,0.06196986533587179,1.6085052040063843,3.603556725739277,0.0685551936727226,1.5729044020273,3.133083595786701,0.11613735136900233,0.4989982538578309,1.5782611714521904,0.1056445203258011,44.63725215498209,42.23082375143951,15.530146059873974,102.39822196629558
7,Matthew Tkachuk,L,24.8,74,201,78.46758892882934,15.157432014933203,3.044966267189462,0.09559507553810898,1.2781700440338737,2.741050594795359,0.13401541358652133,1.5559657958139443,2.321870997752735,0.11505301740393842,0.7617468275025798,2.388436427775154,0.11225611257866214,36.26901870886011,40.104082592401944,24.625176410685405,100.99827771194745
8,Nikita Kucherov,R,29.3,71,181,73.26073619229004,15.71154301335694,3.625226967592663,0.13207855328568519,1.060752474003649,2.315575816759573,0.15346534025345346,1.3783324836081539,3.421687244174728,0.11593943103895722,0.6641299878354311,3.272439148522133,0.10708552103137156,30.623983461899783,41.6065255640438,27.243207721327682,99.47371674727125
9,Mikko Rantanen,R,25.9,76,215,75.47600103077275,16.65290796191804,3.644322141007179,0.10724444687373169,1.0885711492861128,2.6103909716885867,0.3021308847771052,1.216442696615663,2.876989568769379,0.11343532784864162,0.9135832368865993,1.4258156597244198,0.10747890867785082,34.81127093617393,38.686671406534344,25.68885529092746,99.18679763363575
10,Auston Matthews,C,25.0,75,208,76.29442089329228,16.875445583556456,3.229770763493674,0.11015071801440413,1.5664801108086914,3.3745546691804402,0.24260159673151263,1.0721873706427498,1.7128412900988343,0.11056910811307714,0.5331129713589565,1.8326733985376518,0.10762336668575531,47.50702350350253,30.05733612596503,18.98140175093082,96.54576138039837
11,Aleksander Barkov,C,27.1,75,215,76.48903416417522,15.0321569340093,3.456024251771245,2.14461858140353,0.987397673464,2.050163660490916,0.38309377575637554,1.3062604488366332,2.795777642116264,0.3540271066540587,0.8112871425779787,2.2309458280282812,0.058401562522433906,29.00173790553933,38.31774323245635,25.53566978375961,92.8551509217553
