,Player,Position,Age,Height,Weight,GP,EV ATOI,PP ATOI,PK ATOI,EV G/60,PP G/60,PK G/60,EV A1/60,PP A1/60,PK A1/60,EV A2/60,PP A2/60,PK A2/60
1,Aaron Gagnon,C,25.4,71,186,74.24454663441443,10.34911271412786,0.1402898879998109,0.5938678569882484,0.5287320982927752,1.117710464511092,0.11960449058814515,0.4111119045177955,0.8540322303811955,0.10781179139135447,0.37389754271633757,0.9217575607311965,0.09946249486356937
2,Aaron Palushaj,R,22.1,72,187,75.42105617170698,11.850536831972185,0.36740901106766044,0.11460005213992086,0.5860236630184601,1.0716006198275845,,0.4095709707155902,0.889651676936194,,0.3278821360265923,1.024386114151224,
3,Aaron Rome,D,28.0,73,220,75.00382559483687,15.413325837001908,0.28094743268072686,1.7920554647201405,0.07933634285309002,0.6739269776960244,0.09965405011421014,0.19798277464082356,0.8667912817404387,0.0998909346662914,0.31197757943806803,0.8699978508327456,0.09963694783243998
4,Aaron Volpatti,L,26.3,72,215,74.57353089510204,9.843877642213421,0.23117519643961826,0.0872449781622966,0.47313666344288496,1.324172921362269,,0.33510973675859035,0.5364946571686064,,0.21816471658546516,0.7148933645871516,
5,Aaron Voros,L,30.2,74,210,74.75524320185146,6.444575138155814,0.11655330465580027,0.07418814449880529,0.4622734033698789,,,0.35719853260697026,,,0.2600936994037264,,
6,Adam Burish,R,28.7,73,195,72.98590181877356,12.370599834296051,0.1663396432453732,1.8436496703233054,0.5043043221329645,1.1780504326693433,0.1016339053229427,0.35177132419125157,0.7309487025635599,0.09967459261511916,0.30359502721209747,0.65849180953173,0.0995054663195277
7,Adam Cracknell,R,26.2,74,209,73.2458316958923,10.138332297327372,0.12865129697354938,0.34333601469664043,0.611464186480333,1.1659498186089867,0.1493601912228386,0.4576808804152215,0.6212391199227315,0.10025903995613061,0.316810323737476,0.534356153347199,0.09968039817282434
8,Adam Foote,D,40.2,74,220,75.76653811905726,15.163125677981283,0.16267809077074258,2.235970697131837,0.0411665697856354,0.03314861798744695,0.08142588288428518,0.16148453168135832,0.9646809563439869,0.11481920202569643,0.23673258101690897,1.2182735123965314,0.094565975929467
9,Adam Hall,R,31.1,74,212,78.95317268936375,11.775708898647379,0.16973605252934298,2.4749258532818317,0.43976591416575783,1.1778601245351346,0.09949375180662712,0.49080810594094626,0.5895755301592778,0.10040029618616078,0.27046114115484143,0.46577376558873396,0.09827670377678481
10,Adam Henrique,C,21.6,72,195,75.45857284766949,11.997397109989997,0.29057429872869633,0.09223788058605287,0.5430816143125564,1.2416461627638593,,0.39459939594938276,0.8816115187128996,,0.31033764462955943,0.9330178378975301,
11,Adam Mair,C,32.6,73,208,71.25450095845696,8.421044761815805,0.12120232230779648,0.28503699977262786,0.5051058759765326,1.0785011292013995,0.10644927123805653,0.40689306935386726,0.5801562686189448,0.10026648208655048,0.3751413832361871,0.3669297075240623,0.09902288582240923
12,Adam McQuaid,D,25.0,76,210,72.07769783669818,14.09374730485166,0.1505186397361482,1.7961436018657113,0.1572659856646629,0.578234096250216,0.09940399216337764,0.24871532631655707,0.945260949537532,0.10018562682654686,0.2910358844246339,0.9344720983863208,0.10019271966580698
13,Adam Pardy,D,27.5,76,227,70.53245598737917,14.530732551249447,0.1958732789882658,1.0333404278718479,0.08825094607134804,0.7252411460834983,0.09977607487020353,0.2799623747948168,0.7775455710238759,0.10010450750000499,0.3094845273381579,0.6525204402237459,0.0999084681065868
14,Adrian Aucoin,D,38.2,74,215,73.87999870259716,16.252183528134534,1.1280957568210601,2.1238726317545935,0.14319669568860183,0.36870544768467534,0.08164272193455963,0.09955644659482343,1.1549898988492753,0.10015904979381836,0.34845090901206477,1.0579204748822368,0.09161785496030087
15,Alec Martinez,D,24.2,73,210,70.44054780010997,14.886743485388346,1.7517527468342402,0.6271366279379549,0.2058352810835969,0.6830391074425717,0.10001693926950794,0.2822978680440376,1.0704071149193994,0.09979994766775446,0.32687999447243754,1.2064050868770892,0.10006909948049404
16,Ales Hemsky,R,28.1,72,177,73.89895210599066,14.028371328207292,3.141505669957738,0.8814259884387262,0.7866321112703917,0.8916164452594484,0.733429176038131,0.95844038163548,1.7544627297281088,0.11096725999197316,0.6244363551199259,2.263402617780491,0.10141941499129521
17,Ales Kotalik,R,32.8,73,225,72.7372952283828,10.824212324078326,1.1025026824817148,0.0594951583075487,0.6242802168536818,1.9379959613155324,0.30055854154959466,0.41129655728287656,0.9102979876135472,0.10408555292725427,0.24610653250594322,0.9489479958544877,0.09924085946074634
18,Alex Frolov,L,29.3,74,210,75.74779421197572,12.547227361934139,2.2330938048755895,0.5196138919673591,0.923448619209779,1.4795790809638165,0.11880375810185528,0.8650310221710388,1.0678639626494908,0.10017250101688985,0.48000372815720405,1.0788912680312523,0.09964610770640872
19,Alex Goligoski,D,26.2,71,173,74.52004879109158,17.135497317938356,3.22585209297113,1.715085788034863,0.2425249217480831,0.666059377889759,0.09953953500954643,0.4364622198200849,1.0063306736435362,0.1102723014840888,0.39100660920631714,1.25572822634321,0.10021424736874468
20,Alex Kovalev,R,38.6,74,222,74.98882173466059,12.734960908192528,2.669838799066947,0.26974635357049104,0.6805880516289229,1.2629171964996257,0.08513790446579117,0.5896316899887588,1.187669587158656,0.021547354606824165,0.40839204894879066,0.979334947034028,0.08888495868525977
21,Alex Ovechkin,L,26.0,75,238,78.09988852241997,15.784935148913387,3.965127406363014,0.10507671995155876,1.29318722975542,2.651567278353132,0.4877332115407931,0.5293678586238947,1.1819473253494475,0.09341141401976147,0.482123362350181,1.218472581171272,0.09228400757688743
22,Alex Pietrangelo,D,21.7,75,215,78.9953778692433,17.790697020131123,2.867010716562886,2.223444035088841,0.2631787082363896,0.8183088227733923,0.10095390598606957,0.38675714535511807,1.3792492238961378,0.0923981379584636,0.33586862681936136,1.7267064461110082,0.09165609322028984
23,Alex Plante,D,22.4,76,230,73.9939910941491,16.085563042633126,0.14960151170735525,0.8898296595045084,0.06613730454028297,0.6628614462207629,0.09811809835935195,0.2777023158026805,0.8420536391647016,0.09849627793047445,0.3617079494528347,0.6752709933694503,0.10022084132011558
24,Alex Tanguay,L,31.9,73,194,75.38472115706519,14.030856682488512,3.076868734753303,1.1317661986723668,0.7481267591551017,1.2315646121851294,0.14944420941731484,0.8971645748966732,1.7907789713408662,0.10025902885073493,0.43230118896508385,1.6474341398126906,0.0995693592362503
25,Alexander Burmistrov,C,19.9,73,180,78.81526850742213,13.221779070763855,1.0866881426861952,1.247647757829218,0.6544780388896043,0.9971273775583684,0.2920850244525896,0.5057652267209631,0.8556506189453585,0.10017920002589373,0.43470501877625606,1.0324524829220298,0.08514689028688105
26,Alexander Edler,D,25.4,76,210,75.8973081525065,18.22446536501026,3.225934157506555,2.3628071117251093,0.2771353419550563,1.1161171483432883,0.16027501013640788,0.34704002416509916,1.8954884014607518,0.0996439418385075,0.3854327128530799,1.936748630676219,0.10020238815792945
27,Alexander Semin,R,27.6,74,211,74.56621324524355,13.999667063579817,3.3535656773448785,1.0732260718839468,0.943982066468724,1.0411275178663038,0.6159492506724096,0.7754602562823885,1.6824785352124816,0.23703354264357046,0.3377249249036846,1.0265060874381713,0.08833318526852876
28,Alexander Steen,L,27.6,72,211,78.7864255947059,14.796530184360059,2.964553090174798,1.4088613405316717,0.7069514685292759,1.5625880168773025,0.10337235470486761,0.5958302684287297,1.414119189668866,0.10436024211208439,0.4820475103503264,1.1054526020198385,0.09873672491627444
29,Alexander Sulzer,D,27.3,73,198,66.31080351495339,15.234137690402832,0.8827912611188848,1.5804209308022448,0.15090464711648435,0.4574283191215277,0.09981837369440383,0.27315779564910075,1.05815738865642,0.10415345746376256,0.3230768295443945,0.9496196108789773,0.06838603021994016
