,Player,Position,Age,Height,Weight,GP,EV ATOI,PP ATOI,PK ATOI,EV G/60,PP G/60,PK G/60,EV A1/60,PP A1/60,PK A1/60,EV A2/60,PP A2/60,PK A2/60,GOALS,PRIMARY ASSISTS,SECONDARY ASSISTS,POINTS
1,Connor McDavid,C,26.7,73,193,79.3305822177757,16.8169689407349,3.69927089757919,0.933858550357818,1.7015034286876218,4.025262303390527,0.9027116541063618,1.4414338060840521,4.782109872799245,0.01699176239040356,0.7166233058630043,4.063894637975804,0.0,59,55,36,150
2,Leon Draisaitl,C,27.9,74,208,80.0112380286772,16.6696486508369,3.70370409684181,0.689365136265755,1.2737159214131992,5.677433538449854,1.382091901641809,1.3935402020139116,3.478225367645196,0.00043799023492138516,0.72897913284826,3.250566924132186,0.0,58,48,32,138
3,Matthew Tkachuk,L,25.8,74,201,79.7166465752416,15.4929944069386,3.99861339063644,0.339481741428375,1.3200806759539006,3.6551401256076788,0.36665437249047794,1.3220508623962872,3.370258889582401,0.0018107521617462962,0.6271724954561018,3.109513587541663,0.0,47,45,29,121
4,Nikita Kucherov,R,30.3,71,181,82.0,16.0112168406844,3.66211853508949,0.0,1.5949048553349368,2.456701361340266,0.03807043582304941,1.2507291891154277,3.7134815791668325,0.0035056434234626527,0.5403375235350685,3.0860094750384723,0.0,47,46,27,120
5,Auston Matthews,C,26.0,75,208,76.6228151856199,16.5779882288933,3.42362703624964,0.0989576877176761,2.0782914648307873,4.533257965792323,0.248251723104046,1.0537418096592417,2.032899839914713,0.0013287338645222532,0.5869985208091292,2.0770761226236982,0.0,64,31,22,117
6,Nathan MacKinnon,C,28.1,72,200,73.4961599683713,17.1350951086886,3.74140119187832,0.124998381972313,1.347291009284221,2.5421493354635176,0.07691079971993307,1.4433794790915597,3.3405729982587533,0.0013950959662426936,0.6938940408934847,3.244113543566479,0.0,40,46,29,115
7,Mikko Rantanen,R,26.9,76,215,79.0349820681981,17.1918815793991,3.92756672105193,0.0766471750736236,1.5403135531276886,3.423045982351666,0.24219617511990296,1.0546875486747311,2.027898790352441,0.0006557832225919453,0.5831971573746677,1.9115062121619644,0.0,53,34,23,110
8,David Pastrnak,R,27.4,73,195,77.4456077923143,15.3672171943188,3.55246199574471,0.0851390805125236,1.892306150848294,4.171728460556932,0.035307725333825944,1.1211855220441727,2.0713502097174032,0.001485096836406685,0.5336740642451038,1.751916750368129,0.0,57,32,19,108
9,Mitchell Marner,R,26.4,72,181,76.9980168777527,15.3490710090637,3.33231716103554,2.06738969020247,1.0675021539504468,1.9747208606637996,1.210733388748201,1.4199705038822115,3.3222367337532757,0.017183600822187107,0.6676831707152528,3.3559352962285023,0.0,33,42,28,103
10,Artemi Panarin,L,31.9,72,173,75.9590596192175,15.7091652650833,3.18386227135658,0.0204777187287807,0.9263444497150191,2.2210243147827797,0.3097558584423435,1.2380321207446159,4.0216973767258075,0.0048333657957037,0.6793073597075985,3.812444300502471,0.0,27,41,29,97
11,Jake Guentzel,L,29.0,71,180,79.6191820899646,15.9996948896408,3.45210355898142,0.0621621304810047,1.4217083600686464,3.4041657591422307,0.13216129780554156,1.0823323386202681,2.157712725518745,0.0028722682261186562,0.5457181918187558,1.4803945175886595,0.0,46,33,18,97
12,Elias Pettersson,C,24.9,74,176,82.0,15.7134752153397,3.69946966183186,1.75405078125,1.1734266137844926,2.2140739826193796,0.9565305650479927,1.0130321550604415,2.025781190630965,0.013699621309789292,0.5882537549819702,2.3001264395751098,0.0,39,32,24,95
13,Aleksander Barkov,C,28.1,75,215,73.2029037563798,15.0336059662342,3.76200099179,1.9825167804718,1.247863651761486,2.752480663438589,0.5372654837453412,1.1930665536481644,2.508865158219424,0.02942369449046706,0.7293341877928878,2.3548881211636625,0.0,37,33,24,94
