,Player,Position,Age,Height,Weight,GP,EV ATOI,PP ATOI,PK ATOI,EV G/60,PP G/60,PK G/60,EV A1/60,PP A1/60,PK A1/60,EV A2/60,PP A2/60,PK A2/60,GOALS,PRIMARY ASSISTS,SECONDARY ASSISTS,POINTS
1,Connor McDavid,C,26.7,73,193,79.3305822177757,16.8169689407349,3.69927089757919,0.933858550357818,1.5241890687584925,3.4123078869932932,0.9066892327150838,1.4414338060840521,4.782109872799245,0.01699176239040356,0.7166233058630043,4.063894637975804,0.0,52,55,36,143
2,Leon Draisaitl,C,27.9,74,208,80.0112380286772,16.6696486508369,3.70370409684181,0.689365136265755,1.17793562470876,5.478582403291439,1.3996718643337052,1.3935402020139116,3.478225367645196,0.00043799023492138516,0.72897913284826,3.250566924132186,0.0,55,48,32,135
3,Matthew Tkachuk,L,25.8,74,201,79.7166465752416,15.4929944069386,3.99861339063644,0.339481741428375,1.2200164352452303,3.52097468251494,0.37128310719363516,1.3220508623962872,3.370258889582401,0.0018107521617462962,0.6271724954561018,3.109513587541663,0.0,44,45,29,118
4,Nikita Kucherov,R,30.3,71,181,82.0,16.0112168406844,3.66211853508949,0.0,1.4385334628583757,2.3527738259015845,0.038299003400134944,1.2507291891154277,3.7134815791668325,0.0035056434234626527,0.5410530803681655,3.0900962079983056,0.0,43,46,27,116
5,Nathan MacKinnon,C,28.1,72,200,73.4961599683713,17.1350951086886,3.74140119187832,0.124998381972313,1.2525273369940486,2.5800670422670775,0.07735957110446941,1.4433794790915597,3.3405729982587533,0.0013950959662426936,0.6938940408934847,3.244113543566479,0.0,38,46,29,113
6,Auston Matthews,C,26.0,75,208,76.6228151856199,16.5779882288933,3.42362703624964,0.0989576877176761,1.8433365585177455,4.383161772070771,0.2510905113994092,1.0515388719682182,2.0286498883247006,0.0013259560323392045,0.5676127640656233,2.0084802215719817,0.0,58,31,21,110
7,Mikko Rantanen,R,26.9,76,215,79.0349820681981,17.1918815793991,3.92756672105193,0.0766471750736236,1.4303540115286515,3.240585008459517,0.2442183242665196,1.0546875486747311,2.027898790352441,0.0006557832225919453,0.5669460576906762,1.858241072564488,0.0,49,34,22,105
8,David Pastrnak,R,27.4,73,195,77.4456077923143,15.3672171943188,3.55246199574471,0.0851390805125236,1.6699981247144884,4.125400969815315,0.035878704035940304,1.1179820168545902,2.0654318482903182,0.0014808535463097996,0.5361496866852914,1.760043591657834,0.0,52,32,19,103
9,Mitchell Marner,R,26.4,72,181,76.9980168777527,15.3490710090637,3.33231716103554,2.06738969020247,1.002582684324781,1.7541752880402441,1.2054995519230067,1.4199705038822115,3.3222367337532757,0.017183600822187107,0.668763524696738,3.3613654137122237,0.0,30,42,28,100
10,Artemi Panarin,L,31.9,72,173,75.9590596192175,15.7091652650833,3.18386227135658,0.0204777187287807,0.9297665006356494,1.885990387839338,0.3092628475674408,1.2380321207446159,4.0216973767258075,0.0048333657957037,0.6793073597075985,3.812444300502471,0.0,26,41,29,96
11,Sidney Crosby,C,36.2,71,200,79.2019476549966,16.0413515916348,3.19071304917336,0.09078783390522,1.0699142303343303,1.9079179067060816,0.02616578779755019,1.1546271015905076,3.291619350830351,0.0,0.6511932527237242,2.821184055156475,0.0,31,38,26,95
12,Jason Robertson,L,24.2,75,200,79.3123813356672,15.7315001547813,3.32226710624695,0.0254991179113586,1.277151767513327,2.542766178132442,0.07849905213555348,1.144061360455988,2.652054083032194,0.0022189587815352467,0.6249173851735186,1.8025520932198973,0.0,38,35,21,94
13,Jake Guentzel,L,29.0,71,180,79.6191820899646,15.9996948896408,3.45210355898142,0.0621621304810047,1.3124952847080438,2.732113561397236,0.1336237127283311,1.0902306385632297,2.1734585936673554,0.0028932285496320815,0.5451431436699643,1.4788345583650475,0.0,40,33,18,91
14,Evgeni Malkin,C,37.2,75,195,82.0,13.7134726999283,3.49164263317585,0.0294733484327793,0.9611404903395173,2.752286869817666,0.0803058599859693,1.0367004108646147,2.7909630572468824,0.0004299375573835973,0.675051887448838,2.855553054657111,0.0,31,33,26,90
15,Elias Pettersson,C,24.9,74,176,82.0,15.7134752153397,3.69946966183186,1.75405078125,1.1315261899310158,1.5331093480423568,0.9589904119082969,1.0105127202029258,2.020743025040781,0.0136655500285469,0.5798183705924189,2.2671433085741346,0.0,34,32,24,90
16,Mika Zibanejad,C,30.5,74,202,79.176260215773,14.3195811859131,3.17069302248955,1.8699579647541,1.065530293981837,4.534274904081524,0.6492557847618095,1.0430293640896504,1.8600441521342699,0.030962491899516397,0.5886372022023691,2.1017381892710576,0.0,41,28,20,89
17,Aleksander Barkov,C,28.1,75,215,73.2029037563798,15.0336059662342,3.76200099179,1.9825167804718,1.1376483718204762,2.0239084627755997,0.5298635079830569,1.1930665536481644,2.508865158219424,0.02942369449046706,0.7177007893805203,2.3173259827248316,0.0,31,33,24,88
