,Player,Position,Age,Height,Weight,GP
0,A.J. Greer,L,26,75,208,73.93421649932861
1,Aaron Ekblad,D,27,76,215,71.30702352523804
2,Aatu Raty,C,20,74,190,67.34126281738281
3,Adam Beckman,L,22,74,182,62.04609680175781
4,Adam Boqvist,D,23,72,182,71.86419296264648
5,Adam Erne,L,28,73,212,73.04682636260986
6,Adam Fox,D,25,71,182,77.69021439552307
7,Adam Ginning,D,23,75,188,47.81489562988281
8,Adam Henrique,C,33,72,195,69.47598576545715
9,Adam Larsson,D,30,75,209,74.17434871196747
10,Adam Lowry,C,30,78,208,75.68018794059753
11,Adam Pelech,D,29,75,210,79.88979975382487
12,Adam Raska,R,22,70,178,59.527549743652344
13,Adam Ruzicka,C,24,76,215,67.12039375305176
14,Adrian Kempe,"C, R",27,74,200,80.66644006967545
15,Aidan McDonough,L,23,75,190,57.843746185302734
16,Akito Hirose,D,24,72,170,49.61553955078125
17,Alec Martinez,D,36,73,210,76.78425323963165
18,Alec Regula,D,23,76,208,48.81255340576172
19,Aleksander Barkov,C,28,75,215,73.91354060173035
20,Aleksi Heponiemi,C,24,70,155,62.6065788269043
21,Alex Barré-Boulet,C,26,70,180,51.95212936401367
22,Alex Belzile,R,32,72,196,49.7117977142334
23,Alex Chiasson,R,33,76,208,41.83528137207031
24,Alex DeBrincat,R,25,68,178,81.0906354188919
25,Alex Galchenyuk,C,29,73,194,49.36341857910156
26,Alex Goligoski,D,38,71,173,56.134098052978516
27,Alex Iafallo,L,29,72,200,76.18287563323975
28,Alex Killorn,L,34,73,194,81.48128724470735
29,Alex Newhook,C,22,70,190,82.0
30,Alex Nylander,L,25,73,192,55.30763626098633
31,Alex Ovechkin,L,38,75,238,73.41667300462723
32,Alex Pietrangelo,D,33,75,215,77.57306051254272
33,Alex Steeves,C,23,72,196,55.39787673950195
34,Alex Tuch,R,27,76,219,75.3728551864624
35,Alex Turcotte,C,22,71,185,59.02327346801758
36,Alex Vlasic,D,22,78,199,52.768951416015625
