,Player,Position,Age,Height,Weight,PP ATOI,PK ATOI,EV G/60,PP G/60,PK G/60,EV A1/60,GP,EV ATOI,PP A1/60,PK A1/60,EV A2/60,PP A2/60,PK A2/60,GOALS,PRIMARY ASSISTS,SECONDARY ASSISTS,POINTS
1,Connor McDavid,C,25.7,73,193,3.786566640000004,0.7699951899999989,1.628967589397363,3.408841895201632,0.3605847965477766,1.3753316858348696,78.72040000000001,17.30078420000001,4.539853468226517,0.28224065948913385,0.5246938039112076,2.688150938134388,0.1433132539087909,57.08674823153411,54.0,25.317053719373195,136.4038019509073
2,Leon Draisaitl,C,26.9,74,208,3.802965230000002,0.9612324399999994,1.1174728166495864,5.011276449205956,1.249291966470357,1.5529305433803084,78.2506,17.107406389999973,3.512801541362884,0.8292111600843401,0.4990458971709144,2.4652913385554,0.0035560599421848222,55.20343295030983,55.5851522627382,24.28155593454806,135.0701411475961
3,David Pastrnak,R,26.4,73,195,3.592694390000003,0.0476991,1.7587565788904518,3.561087007700573,0.22914222973763326,1.1037158262129372,77.39890000000003,15.274161170000003,2.6341042569367894,0.2952260939226264,0.6613147376970729,2.6337924295907076,0.035748808720240874,54.31651559381618,35.377465918130454,26.04242308738776,115.73640459933439
4,Nathan MacKinnon,C,27.1,72,200,3.8227285999999974,0.1583829800000001,1.433168461469741,2.7397887409793285,0.22944093197367713,1.6012739314084656,72.57519999999998,17.134012560000013,2.606052976019361,0.6112144462626715,0.6717498464345826,2.4936463539377436,0.00024416970424784453,42.41504519360601,48.08322352740593,25.0,115.49826872101194
5,Mitchell Marner,R,25.4,72,181,3.3627764200000008,2.0606314800000005,1.0000697864375754,2.240735515341613,1.3076196006205043,1.6089410348165607,76.66190000000002,15.112025330000012,2.6670433865748264,0.6085842026197061,0.6447926937311874,2.768742618081804,0.04049761537498288,35.56037466184678,46.4612099502649,25.058399556001604,107.07998416811328
6,Mikko Rantanen,R,25.9,76,215,3.8980976299999988,0.0422444299999999,1.171171992460454,2.717365725387342,0.3325145991318089,1.2186784668937491,70.40819999999997,17.155036719999988,3.0958192468479906,0.109711448872886,0.7141496149926148,2.3808547905664543,0.0006836601718267261,36.02330212918901,42.693154214218985,26.191756211867208,104.90821255527521
7,Nikita Kucherov,R,29.3,71,181,3.656668789999999,0.12759211,1.0635523286326865,1.8932804789338122,0.36003811055127083,1.1521397944387477,74.62689999999999,15.725526489999998,4.289623835565838,0.2368976005886667,0.619489680022642,2.8054686333594625,0.01587711342220218,32.4226669520701,45.2280085209615,26.581076287837487,104.2317517608691
8,Matthew Tkachuk,L,24.8,74,201,3.647455339999998,0.2343904399999999,1.2978613547259947,2.617005222346775,0.2490539066500116,1.35582905079391,77.99150000000002,15.307821509999986,2.1042207775525417,0.14285290266226502,0.6994597026057163,2.51266833173893,0.007452133402306322,40.43896178928081,37.0,26.0,103.43896178928081
9,Auston Matthews,C,25.0,75,208,3.378971129999998,0.0899813799999999,1.6313169566453547,3.3871102915345004,0.5900454792009925,1.0751887387184051,72.22099999999999,16.74735797999999,1.8886034334608235,0.2010980998808139,0.4899797582075108,2.537913995403056,0.11200190478830876,48.82568561349908,31.37517333119195,22.412876226388878,102.61373517107991
10,Jason Robertson,L,23.2,75,200,3.0857852699999984,0.1162514899999999,1.606858100525492,2.816051234360653,0.311049117620296,1.1607187173952604,74.92779999999999,15.467708739999996,3.155630966660579,0.41947998298116457,0.5739243606945971,2.119959427718738,0.018914890722815495,44.31237758756718,38.280377915296405,19.887667563399415,102.480423066263
11,Kyle Connor,L,25.8,74,179,3.511805080000002,0.8480395700000003,1.2289420805119438,2.2900396361461492,1.6953974690154263,0.85426467085921,79.40049999999998,16.53798063999999,2.185953378484384,0.314066071749382,0.534458881838788,2.449226081027528,0.04766862598750211,39.44108319949031,34.202067185671154,24.949043552691393,98.59219393785285
12,Artemi Panarin,L,30.9,72,173,3.4089155100000017,0.0262177199999999,0.9739164496610363,1.996633722811448,0.39091579303846175,1.312815342534509,76.5389,16.041597940000017,3.0324921671676854,0.7680026091799033,0.7239453169900304,2.5570739194417937,0.03536963995115663,31.09220264633997,40.0,27.181041365750463,98.27324401209043
