,Player,Position,Age,Height,Weight,PP ATOI,PK ATOI,EV G/60,PP G/60,PK G/60,EV A1/60,GP,EV ATOI,PP A1/60,PK A1/60,EV A2/60,PP A2/60,PK A2/60,GOALS,PRIMARY ASSISTS,SECONDARY ASSISTS,POINTS
1,Ryan O'Reilly,C,31.6,73,207,0.21246017051593646,0.0949933508181554,0.09456979590847628,0.3938785656806503,0.15624011322507908,0.17156706906827607,9.811383396850822,0.1895871917135034,0.12597514272133062,0.154671429805316,0.05897581568850858,0.14848424979173178,0.02183427330158457,10.353758408174215,10.432356398985759,10.038504980319669,17.79904366673109
2,Brandon Duhaime,R,25.4,74,200,0.09477769767814583,0.1273894224272173,0.14743753481979263,0.143107582477915,0.21308304080115306,0.142636622213597,9.560896179752188,0.46313333403606016,0.17582053705388798,0.0643371059225848,0.13277297880530164,0.15428696813845919,0.0057925988405550756,9.779005377777223,9.710618120561294,9.683693556844755,16.843365796801002
3,Gustav Nyquist,"C, L",33.1,71,180,0.18982785297476096,0.0675876128423981,0.1341104134441354,0.4274846801206541,0.3892999644343085,0.06617994856221887,8.368028806714278,0.2343706407862097,0.3381143428158393,0.09034734600360089,0.055132544598413616,0.19851510632570962,0.015715887497781262,8.7461880438387,8.640184933865605,8.545764573310672,14.97259807555245
4,Jonathan Toews,C,34.4,74,201,0.32244331243268165,0.0966977213703283,0.057921903259234464,0.9068923286226447,0.10409400951370022,0.04864825633122317,7.902885576800413,0.3714136123855439,0.1452910741386379,0.09795970720250587,0.03642028291492416,0.1764303386941224,0.012063055843296205,8.492363206333435,8.113770536741416,8.03771834664505,14.232302040470243
5,Justin Braun,D,35.6,74,205,0.0051541383630923,0.2902339394009694,0.0443088831122281,0.1983012386470793,0.0142806756702755,0.032140746631108365,7.763882196427249,0.9819535883443289,0.2067866352175363,0.022599426262316938,0.11820181864711347,,0.020131003977487055,7.79675316011025,7.7959093698506035,7.994360624776316,13.618934045716925
6,Ryan Poehling,C,23.7,74,196,0.528956419104343,0.7153184688645373,0.07944699546965525,0.18829132183076105,0.12265523420606768,0.03536416238910827,7.7259312992027045,0.6214424466068548,0.1590910113676514,0.11070708640742943,0.09514407142434632,0.13147503890097575,0.014675228870119883,7.923335665628325,7.8074907012627826,7.841236064721731,13.609597427669028
7,Jake Evans,C,26.3,72,186,0.1533460984417353,0.3132259604594574,0.2192445206775593,0.17030073516605043,0.19752857213288022,0.24036456362254993,7.120050421169783,0.39105028251984497,0.17886968255629596,0.1024948628971261,0.05712168670874507,0.21341359729585063,0.14683654883118907,7.684859510823047,7.864484509948724,7.196707577156612,13.141528916355748
8,Tyler Bertuzzi,L,27.6,73,186,0.09907690178161437,0.2774722454747638,0.2268293491945757,0.2763375841552825,0.14746804716238868,0.10149106744106778,6.996895771697618,0.8277804076793712,0.38783563579034636,0.3157292150095722,0.03187670867004972,0.17907065794776283,0.005867329042373579,7.949678600931834,7.469518008791479,7.171861228076653,13.054757087612275
9,Arthur Kaliyev,R,21.3,74,210,0.09214454206206883,0.0893244595903249,0.11684509540492916,1.0712875250342944,0.14139935333144346,0.0901696356057648,7.148193005228662,0.5604264108358717,0.2674898903803395,0.19739385027388864,0.12601498970186534,0.17948222439215972,0.10988410350532765,7.803717271890172,7.333786972789067,7.361912405845335,12.995391063495822
10,Oliver Ekman-Larsson,D,31.2,74,200,0.1782538764308979,0.4286872926285509,0.0330875944736089,0.2316202743909962,0.0101125414821596,0.12852682071130755,7.223106170478184,0.1861996586978706,0.1571259953331183,0.07127051858285012,0.04337837782093153,,0.4316209541129784,7.276481647334143,7.703661190570059,7.364265532972818,12.904494865868147
11,Shea Theodore,D,27.2,74,197,0.1003769272441327,0.1585453293316063,0.03882575111435198,0.09263665013509131,0.06345951561663825,0.0810469376985002,6.955488867793551,0.23520010903907024,0.13098037715608207,0.08871413712110594,0.14658334814036597,,0.0292008304792402,7.082203313141954,7.350230538743698,7.6778189128147565,12.772329309853207
12,Zack Kassian,R,31.7,75,211,0.19010026117691056,0.0585559759763732,0.14837371902145283,0.1679523614707398,0.07698292158968752,0.2696205201916976,6.999823109193545,0.8260468444332028,0.15523336589976905,0.05566696375857407,0.17605132637385723,0.1877331758171891,0.03356685800758838,7.190644407513661,7.567729304342834,7.251909268471796,12.710864717133287
13,Kailer Yamamoto,R,24.0,68,153,0.2161258281318787,0.1418037611834904,0.12576415897558482,0.22702544963978277,0.1232606239752509,0.1287094993472979,6.977981788454311,0.29701798598964996,0.1971208455063888,0.13036359191417363,0.054097261234729827,0.2799506274048339,0.0971107544809698,7.463068540096285,7.3700610712894745,7.1309550825980415,12.683284772437394
14,Ryan Johansen,C,30.2,75,218,0.13031244098261624,0.0791433252404136,0.03476518926177158,0.13286398436232907,0.10532459184527941,0.05384092974666357,7.021780899458485,0.276656825947528,0.09712691178945759,0.14370724589407435,0.03060730089628243,0.20751325123741832,0.015356532749962288,7.206667107347015,7.1995508303012175,7.219960506145301,12.485888541249528
15,Anthony Cirelli,C,25.2,72,189,0.4062352052767918,0.1621054384482509,0.07389550614671672,0.1795202852450761,0.17719483845063813,0.06855776829511256,6.958300064670968,0.2820992543419086,0.1167451866224762,0.13813375309845485,0.02291767186129168,0.14866422951713062,0.05218915848834938,7.233291627579786,7.214231211353617,7.110657603518039,12.44697116952367
16,Derek Forbort,D,30.6,76,208,0.0191830884710048,0.1456221048153867,0.0436621319641298,0.1372850937875762,0.2612519681239308,0.0536194069685697,6.8926984527106665,0.4251948447002291,0.19612396993525388,0.05409153437821853,0.055098890295623114,,0.038754426711046834,6.987126130093128,6.969501551448011,6.960943714291783,12.076780234276217
17,Calvin de Haan,D,31.4,73,195,0.0567008418823521,0.4955496092686882,0.0283479821338239,0.1746023949964246,0.0055125971441417,0.04369797216342664,6.85342482558903,1.3414378086426535,0.2305594706561781,0.03400676745575209,0.0935099761752947,,0.043560259368896403,6.8750233279045245,6.919882857178408,7.053074147492826,12.0372995080431
18,TJ Brodie,D,32.3,74,187,0.0653194629399622,0.3510643428667672,0.0114121432640849,0.1052882605983568,0.0017886607587801,0.05209708707758903,6.764576779074947,0.25095288491317747,0.17271008417011333,0.03323266056484795,0.02859134635301463,,0.09948866377460888,6.773529567346879,6.873892635061755,6.8645218968372,11.842835962312238
19,Ryan Hartman,R,28.0,72,197,0.31557875020325116,0.0885739545876418,0.062237506076779796,0.32537836492346206,0.12001117457925965,0.06981037747078593,6.551392886249458,0.414804597621203,0.14341230407459296,0.07397754374382949,0.02354864215119615,0.18052246336264413,0.015587584135275253,6.8684575782526895,6.809402364927203,6.671167609213186,11.749389232719638
20,Jaycob Megna,D,29.8,78,220,0.0130529896406915,0.1987924784106317,0.0269025634526879,0.1272069118487734,0.0186873540728376,0.028096220033900225,6.735471650894241,0.43222174958271964,0.2332293807357867,0.2377848776788828,0.03869573493826338,,0.048110604269673486,6.756591889427268,6.791875523770927,6.789332359732632,11.74206715112742
21,Jonas Brodin,D,29.2,74,196,0.3761947773442175,0.2613408816284043,0.023883470235227806,0.12075110944042632,0.016754347072124223,0.12310523161853024,6.408255631605219,0.4251278901893711,0.2314560468226624,0.09837999148584008,0.02054329930233925,,0.0908642135596275,6.446253202732102,6.9989981579195675,6.493781551285498,11.519954618144606
22,Artem Zub,D,27.0,74,200,0.1081320602309394,0.1877904737935916,0.0144898822595768,0.1613030263127211,0.012717147754819,0.07994244714726902,6.5464360533041175,0.5107026078985537,0.19584246934894478,0.13008304687447783,0.027637037327349144,,0.015965124276199835,6.563968698188113,6.752116403388059,6.607879148431551,11.503948358540729
23,Mattias Samuelsson,D,22.6,76,231,0.1853631414767917,0.2033538892655551,0.0237524077884222,0.1305183261504774,0.0329982740477058,0.029581717874597718,6.5311420930798905,0.49279372228964363,0.18266912541820962,0.016166067912517623,0.03399282166729355,,0.12110190028693638,6.560439033228136,6.592402635400336,6.6174706651037125,11.414466733905916
