,Player,Position,Age,Height,Weight,GP
1,A.J. Greer,L,26.8,75,208,69.9271
2,Aaron Ekblad,D,27.6,76,215,
3,Aatu Raty,C,20.9,74,190,67.45129999999999
4,Adam Beckman,L,22.4,74,182,67.55720000000002
5,Adam Boqvist,D,23.1,72,182,
6,Adam Erne,L,28.4,73,212,69.77989999999998
7,Adam Fox,D,25.6,71,182,
8,Adam Ginning,D,23.7,75,188,
9,Adam Henrique,C,33.6,72,195,69.3501
10,Adam Larsson,D,30.9,75,209,
11,Adam Lowry,C,30.5,78,208,72.98369999999998
12,Adam Pelech,D,29.1,75,210,
13,Adam Raska,R,22.0,70,178,69.18149999999999
14,Adam Ruzicka,C,24.4,76,215,70.32549999999999
15,Adrian Kempe,"C, R",27.0,74,200,78.73979999999999
16,Aidan McDonough,L,23.9,75,190,68.28129999999999
17,Akito Hirose,D,24.5,72,170,
18,Alec Martinez,D,36.2,73,210,
19,Alec Regula,D,23.2,76,208,
20,Aleksander Barkov,C,28.1,75,215,72.42980000000004
21,Aleksi Heponiemi,C,24.7,70,155,69.82019999999999
22,Alex Barr��-Boulet,C,26.4,70,180,70.47330000000002
23,Alex Belzile,R,32.1,72,196,69.3226
24,Alex Chiasson,R,33.0,76,208,71.04430000000002
25,Alex DeBrincat,R,25.8,68,178,74.27119999999996
26,Alex Galchenyuk,C,29.6,73,194,67.88139999999997
27,Alex Goligoski,D,38.2,71,173,
28,Alex Iafallo,L,29.8,72,200,73.47299999999997
29,Alex Killorn,L,34.0,73,194,78.64340000000004
30,Alex Newhook,C,22.7,70,190,76.2879
31,Alex Nylander,L,25.6,73,192,63.8784
32,Alex Ovechkin,L,38.0,75,238,72.42519999999998
33,Alex Pietrangelo,D,33.7,75,215,
34,Alex Steeves,C,23.8,72,196,68.42370000000001
35,Alex Tuch,R,27.4,76,219,69.8635
36,Alex Turcotte,C,22.6,71,185,66.17250000000001
37,Alex Vlasic,D,22.3,78,199,
38,Alex Wennberg,C,29.0,74,190,77.95110000000001
39,Alexander Alexeyev,D,23.9,76,213,
40,Alexander Barabanov,L,29.3,70,195,72.20609999999999
41,Alexander Edler,D,37.4,76,210,
42,Alexander Holtz,R,21.7,72,195,66.3251
43,Alexander Kerfoot,C,29.1,71,186,79.18689999999997
44,Alexander Romanov,D,23.7,73,215,
45,Alexandre Carrier,D,27.0,71,174,
46,Alexey Toropchenko,R,24.3,78,222,65.40829999999998
47,Alexis Lafreni��re,L,22.0,73,195,76.2604
48,Aliaksei Protas,C,22.7,78,225,71.9288
49,Anders Bjork,L,27.2,72,190,64.9043
50,Anders Lee,L,33.2,75,235,77.37860000000008
51,Andre Burakovsky,L,28.6,75,209,72.56750000000002
52,Andreas Athanasiou,C,29.2,74,190,74.08049999999999
53,Andreas Englund,D,27.7,75,189,
54,Andreas Johnsson,L,28.9,70,195,68.40850000000003
55,Andrei Kuzmenko,L,27.7,71,194,75.77590000000001
56,Andrei Svechnikov,R,23.5,74,195,74.32500000000003
57,Andrew Agozzino,L,32.7,70,187,67.97769999999997
58,Andrew Cogliano,C,36.3,70,179,73.51560000000003
59,Andrew Copp,C,29.2,73,199,78.5747
60,Andrew Mangiapane,L,27.5,70,184,79.23760000000003
61,Andrew Peeke,D,25.5,75,210,
62,Andy Andreoff,C,32.4,73,208,69.32860000000002
63,Anthony Beauvillier,L,26.3,71,180,75.69500000000004
64,Anthony Cirelli,C,26.2,72,189,74.34970000000001
65,Anthony Duclair,L,28.1,71,197,69.95039999999999
66,Anthony Mantha,R,29.0,77,234,70.8389
67,Anthony Richard,C,26.8,71,183,70.12010000000004
68,Anton Blidh,L,28.6,73,197,67.2318
69,Anton Levtchi,L,27.8,72,185,67.81090000000003
70,Anton Lundell,C,22.0,73,185,74.6199
71,Anton Stralman,D,37.2,71,193,
72,Anze Kopitar,C,36.1,75,225,76.42330000000001
73,Arber Xhekaj,D,22.7,76,238,
74,Arnaud Durandeau,L,24.7,72,185,67.47149999999998
75,Artem Zub,D,28.0,74,200,
76,Artemi Panarin,L,31.9,72,173,73.33950000000002
77,Arthur Kaliyev,R,22.3,74,210,71.12400000000002
78,Artturi Lehkonen,L,28.2,71,179,73.55050000000001
79,Austin Czarnik,C,30.8,69,170,71.7427
80,Austin Strand,D,26.6,75,215,
81,Austin Wagner,L,26.3,73,195,64.8706
82,Austin Watson,L,31.7,76,204,66.16290000000002
83,Auston Matthews,C,26.0,75,208,73.36680000000001
84,Axel Jonsson-Fjallby,L,25.6,73,189,68.52109999999999
85,Barclay Goodrow,C,30.6,74,204,75.87689999999998
86,Barrett Hayton,C,23.3,73,207,74.72210000000001
87,Beck Malenstyn,L,25.7,75,200,67.39229999999999
88,Ben Chiarot,D,32.4,75,232,
89,Ben Harpur,D,28.7,78,231,
90,Ben Hutton,D,30.4,75,201,
91,Ben Meyers,C,24.9,71,194,66.4392
92,Benoit-Olivier Groulx,C,23.6,74,200,64.46379999999998
93,Billy Sweezey,D,27.6,73,206,
94,Blake Coleman,C,31.8,71,199,78.04140000000001
95,Blake Lizotte,C,25.8,69,170,69.12630000000003
96,Blake Wheeler,R,37.1,77,220,70.03599999999997
97,Bo Horvat,C,28.5,72,215,76.57309999999997
98,Bobby McMann,C,27.3,74,208,71.9047
99,Bokondji Imama,L,27.2,73,221,64.43450000000003
100,Boone Jenner,C,30.3,74,203,71.42340000000002
101,Boris Katchouk,L,25.3,74,206,71.91570000000003
102,Bowen Byram,D,22.3,73,190,
103,Brad Hunt,D,35.1,69,177,
104,Brad Malone,C,34.4,74,217,62.920200000000015
105,Brad Marchand,L,35.4,69,176,73.10459999999999
106,Braden Schneider,D,22.0,75,208,
107,Brady Skjei,D,29.5,75,210,
108,Brady Tkachuk,L,24.0,76,221,72.71840000000006
109,Brandon Carlo,D,26.8,78,218,
110,Brandon Duhaime,R,26.4,74,200,74.52969999999999
111,Brandon Hagel,L,25.1,74,179,74.34700000000004
112,Brandon Montour,D,29.5,72,194,
113,Brandon Saad,L,30.9,73,215,72.16359999999997
114,Brandon Tanev,L,31.8,72,189,71.11170000000003
115,Brandt Clarke,D,20.6,74,185,
116,Brayden McNabb,D,32.7,76,215,
117,Brayden Pachal,D,24.1,74,203,
118,Brayden Point,C,27.6,71,180,74.39240000000001
119,Brayden Schenn,C,32.1,73,199,72.30039999999998
120,Brendan Gallagher,R,31.4,69,186,66.51249999999999
121,Brendan Gaunce,C,29.5,75,219,63.898499999999984
122,Brendan Lemieux,L,27.5,73,215,66.98410000000001
123,Brendan Smith,D,34.6,74,200,
124,Brenden Dillon,D,32.9,76,224,
125,Brent Burns,D,38.6,77,230,
126,Brett Howden,C,25.5,74,203,69.27080000000002
127,Brett Kulak,D,29.7,73,197,
