,Player,Position,Age,Height,Weight,PP ATOI,PK ATOI,EV G/60,PP G/60,PK G/60,EV A1/60,GP,EV ATOI,PP A1/60,PK A1/60,EV A2/60
0,A.J. Greer,L,25.8,75,208,0.08032070620579969,0.0548309976406366,0.0399146363794973,0.1590995094402795,0.1038530035596328,0.0513674497621947,3.8028256599533985,0.3301279747887562,0.2007664749753744,0.08534416949370587,0.03159680440883064
1,Aaron Ekblad,D,26.6,76,215,0.1461797672566472,0.0748125639508849,0.0763054359756702,0.2953489670328514,0.0935444173325907,0.033278135198739664,2.774174291568575,0.4789246735823123,0.159155411040844,0.0834210073399806,0.0868175329779165
2,Adam Beckman,L,21.4,74,182,0.2684447017786814,0.1238483393000665,0.062791295771137,0.2085708564306324,0.123790053207443,0.0528802224793684,3.4993651924313354,0.4464899363426254,0.14575383914398274,0.11235293493240447,0.03326877638636414
3,Adam Boqvist,D,22.1,72,182,0.2941361865155101,0.3484100366356949,0.0490836082864086,0.2948200898666743,0.0400139755603901,0.025962572177270875,2.7570773855660997,0.4434341060870911,0.4387159741251515,0.07637282922605132,0.030494187997511912
4,Adam Brooks,C,26.4,72,179,0.4413532276414596,0.3578372002900717,0.0598531518069842,0.1636898958604396,0.1377601212919399,0.0991831209906323,3.2394963481998245,0.9556782051047692,0.12049769134497974,0.08969355685280576,0.03642410172171578
5,Adam Erne,L,27.4,73,212,0.3706659407845909,0.4378565102491086,0.048573595003717,0.2164055011376122,0.107158223012842,0.035293543878681,3.828640562915249,0.4130304875881304,0.16174399987606689,0.05005221281287771,0.02340677592502648
6,Adam Fox,D,24.6,71,182,0.3695374534571733,0.1170739444412265,0.0615422087050053,0.1599006115437386,0.035356012019508,0.02354022614605694,3.281015298653756,0.14717548582747467,0.18083703839870302,0.22075086721330756,0.06340719585163447
7,Adam Gaudette,C,26.0,73,194,0.25663070684062983,0.1776851484158381,0.056866170875728,0.1888687677030532,0.0649088558996875,0.0516052355964547,1.7034219794284684,0.31339954642043943,0.13278957615114934,0.09835696335089805,0.035158816048718115
8,Adam Henrique,C,32.6,72,195,0.23530881398541173,0.7733315957512713,0.1549939206028998,0.1329873786154435,0.1033471659788772,0.108316912616514,1.737874273358116,0.5576551937012815,0.3726176242530411,0.1024608422841624,0.023130727134562806
9,Adam Larsson,D,29.9,75,209,0.0434060355917422,0.1616090360516563,0.0340758426010217,0.1638466153242306,0.0889636128380197,0.06818605420056127,2.077401732934677,0.9595361537482204,0.1790705847415624,0.0284218067750803,0.0686201159375118
