,Player,Position,Age,Height,Weight,GP
1,A.J. Greer,L,26.8,75,208,2.4841333679977824
2,Aaron Ekblad,D,27.6,76,215,
3,Aatu Raty,C,20.9,74,190,4.258412299202603
4,Adam Beckman,L,22.4,74,182,4.607080003646561
5,Adam Boqvist,D,23.1,72,182,
6,Adam Erne,L,28.4,73,212,2.005074809078204
7,Adam Fox,D,25.6,71,182,
8,Adam Ginning,D,23.7,75,188,
9,Adam Henrique,C,33.6,72,195,1.3435092072628303
10,Adam Larsson,D,30.9,75,209,
11,Adam Lowry,C,30.5,78,208,1.8045546015568494
12,Adam Pelech,D,29.1,75,210,
13,Adam Raska,R,22.0,70,178,3.94789978976164
14,Adam Ruzicka,C,24.4,76,215,2.732098964166562
15,Adrian Kempe,"C, R",27.0,74,200,0.9973614991566505
16,Aidan McDonough,L,23.9,75,190,3.776127025140971
17,Akito Hirose,D,24.5,72,170,
18,Alec Martinez,D,36.2,73,210,
19,Alec Regula,D,23.2,76,208,
20,Aleksander Barkov,C,28.1,75,215,2.3820822739779586
21,Aleksi Heponiemi,C,24.7,70,155,3.3088287897683677
22,Alex Barr��-Boulet,C,26.4,70,180,2.5111682759225835
23,Alex Belzile,R,32.1,72,196,3.248715937104997
24,Alex Chiasson,R,33.0,76,208,3.0674641823499753
25,Alex DeBrincat,R,25.8,68,178,1.950793828163295
26,Alex Galchenyuk,C,29.6,73,194,2.739385704861584
27,Alex Goligoski,D,38.2,71,173,
28,Alex Iafallo,L,29.8,72,200,2.011532500358869
29,Alex Killorn,L,34.0,73,194,1.0989888261488374
30,Alex Newhook,C,22.7,70,190,1.9418775939795994
31,Alex Nylander,L,25.6,73,192,3.4151283196975184
32,Alex Ovechkin,L,38.0,75,238,1.4488322746267082
33,Alex Pietrangelo,D,33.7,75,215,
34,Alex Steeves,C,23.8,72,196,5.585130733474375
35,Alex Tuch,R,27.4,76,219,1.7644190970401563
36,Alex Turcotte,C,22.6,71,185,3.967752102891509
37,Alex Vlasic,D,22.3,78,199,
38,Alex Wennberg,C,29.0,74,190,1.2776704543817232
39,Alexander Alexeyev,D,23.9,76,213,
