,Player,Position,Age,Height,Weight,GP,EV ATOI,PP ATOI,PK ATOI,EV G/60,PP G/60,PK G/60,EV A1/60,PP A1/60,PK A1/60,EV A2/60,PP A2/60,PK A2/60
1,Aaron Gagnon,C,25.4,71,186,49.430162927139826,10.053195833758709,0.6510236959248836,0.4245441021462594,0.5793830423695436,1.4394502703810943,0.3664835673720185,0.4982394528144162,1.0381787362641073,0.3017920475862245,0.3530336240259911,0.8169813140271842,0.018468969398127907
2,Aaron Palushaj,R,22.1,72,187,38.46945205479322,10.48345899223757,0.6611018002099245,0.009732314805186548,0.601496721608261,1.3578222682105303,,0.44432982578449876,0.9105126100024623,,0.2865698080661911,0.6893057874237755,
3,Aaron Rome,D,28.0,73,220,60.664857632020606,15.383582263377313,0.43245233768610536,1.7177050058011034,0.16127297529543383,0.5857227845192123,0.03203219621172534,0.1660512909575385,1.322337005442454,0.08914647379335043,0.24803706051118973,1.3961387165313515,0.10244973172712211
4,Aaron Volpatti,L,26.3,72,215,48.51107521388937,10.335938605018494,0.83607686781659,0.3167480388299091,0.5853588872093886,1.4142492231774393,,0.5234709600776855,1.0439070614760033,,0.350192173744983,0.8227627156026607,
5,Aaron Voros,L,30.2,74,210,48.90730370694516,6.431872515555729,0.044558565341043854,0.1527976429922807,0.48534509607024967,,,0.5582241525526819,,,0.33501866951200127,,
6,Adam Burish,R,28.7,73,195,69.97953274833002,12.200481947276245,0.2914820690874933,1.8075299794635076,0.5792005216131705,1.2280126010127703,0.20906788045606306,0.4317496150769329,0.9843865776300216,0.26580643324155323,0.3054458041210828,0.7637855067434232,0.03823221390010499
7,Adam Cracknell,R,26.2,74,209,52.192515199940075,10.39582258197644,0.6094507390389394,0.3643549763770374,0.693967054329479,1.4087518903099174,0.38127036427794536,0.6139442241360598,1.0484413537555166,0.2944835776477132,0.3948302808558481,0.8272363377453165,0.022738180804089833
8,Adam Foote,D,40.2,74,220,52.618388438587786,13.970950352828943,0.0,2.038908513085359,0.0,0.0,0.0,0.18138046692637827,0.91906326187013,0.0380584850200134,0.24673536103452076,1.03978197076233,0.09519759143531135
9,Adam Hall,R,31.1,74,212,78.33645915352774,11.452833313109576,0.06909386475203982,2.3803687498374186,0.46771226918447206,1.1889905107011873,0.08609600315832788,0.4733879926125426,1.0935941197589027,0.2254026915715696,0.3005198122947712,0.9246135390603867,0.04438217636245011
10,Adam Henrique,C,21.6,72,195,36.94721023465513,10.50188307109366,0.6197559697163748,0.0,0.585197570099847,1.44100020689699,,0.4411086188683787,0.8844912733030661,,0.2788122318141795,0.6632689884629794,
11,Adam Mair,C,32.6,73,208,70.1566910635121,8.692873990520104,0.020164543142938696,0.328737234698959,0.3698186792755149,1.1244578544947688,0.12284327738954948,0.3110053464733658,0.950542848159379,0.19438783258535158,0.20167191610582513,0.7558114117878616,0.04073517532995251
