,Player,Position,Age,Height,Weight,GP,EV ATOI,PP ATOI,PK ATOI
0,A.J. Greer,L,26.8,75,208,68.15319351462496,9.431587017319425,0.281960639813686,0.22660404068507256
1,Aaron Ekblad,D,27.6,76,215,65.05479626541451,18.26429770343243,3.292502536118012,2.7743396419651063
2,Aatu Raty,C,20.9,74,190,41.466697290539365,8.879028368183107,0.3749270135890732,0.0
3,Adam Beckman,L,22.4,74,182,41.501533125414,10.41075528365042,0.6903745155126484,0.01019664512392815
4,Adam Boqvist,D,23.1,72,182,56.33688867201498,16.446157314268312,3.0700990874569607,0.557882534273479
5,Adam Erne,L,28.4,73,212,70.23964367735509,12.42931294701488,0.4128427702905335,1.267479662098934
6,Adam Fox,D,25.6,71,182,76.11095112720281,19.35523291763076,3.4835628707046764,2.31826435382967
7,Adam Ginning,D,23.7,75,188,38.03937215922333,15.368410609160756,0.7008814315971461,1.0934921461798033
8,Adam Henrique,C,33.6,72,195,65.40090322847496,13.367216809870753,2.2051750329467183,1.8929490244126588
9,Adam Larsson,D,30.9,75,209,77.92054714178143,20.13926777580189,0.096070695499971,2.652021362542532
10,Adam Lowry,C,30.5,78,208,76.85523458084828,12.348514078985447,1.22305094631638,2.2148189238525124
11,Adam Pelech,D,29.1,75,210,72.06142889428426,19.264330261586583,0.1371615427684474,2.478552694702373
12,Adam Raska,R,22.0,70,178,38.390921094006586,10.280629498554369,0.5343405199908231,0.0
13,Adam Ruzicka,C,24.4,76,215,58.85123936122578,9.941322620656637,1.1196746117880474,0.05884623576569337
14,Adrian Kempe,"C, R",27.0,74,200,77.78633375994406,14.695244313963784,2.96990858387434,1.490544790918365
15,Aidan McDonough,L,23.9,75,190,42.31974359916877,11.14076065027596,0.7948568806845988,0.20957849091739433
16,Akito Hirose,D,24.5,72,170,41.46399682382295,15.472852491571608,0.8480707465033239,1.2154697823563472
17,Alec Martinez,D,36.2,73,210,75.501421406456,15.24485762158434,0.0,1.154415398383275
18,Alec Regula,D,23.2,76,208,38.63503095686436,14.712307562690876,0.8907997162335732,0.8643894502811222
19,Aleksander Barkov,C,28.1,75,215,70.9688572340466,15.469603387992562,3.962755680595672,1.9806204443684234
20,Aleksi Heponiemi,C,24.7,70,155,44.942333363397175,11.235916900934036,0.5842415379848616,0.24329177817974446
21,Alex Barr��-Boulet,C,26.4,70,180,42.65125525497213,11.049003363693789,1.2521407585346798,0.3091692080348283
22,Alex Belzile,R,32.1,72,196,56.84382103249008,9.856642021100877,0.1549616541359872,0.7051768736490306
23,Alex Chiasson,R,33.0,76,208,52.03890286463492,8.867093220145632,1.4561541312078372,0.0009051138603484166
24,Alex DeBrincat,R,25.8,68,178,76.94640668912936,15.980583477768487,4.035292754263049,0.3462154709355758
25,Alex Galchenyuk,C,29.6,73,194,48.39197185907911,11.395747329924124,0.765007283550498,0.1742166485091211
26,Alex Goligoski,D,38.2,71,173,64.69411736857757,16.020564220945634,0.3177523438635163,0.978314093510015
27,Alex Iafallo,L,29.8,72,200,72.25692443165539,13.622421887220735,1.9172961065452625,1.8002154752064656
28,Alex Killorn,L,34.0,73,194,77.2733818880492,13.133192706599576,2.139100963046046,1.708159393897762
29,Alex Newhook,C,22.7,70,190,72.44411346955519,12.962322600309976,1.5714636673578444,0.2878059387124774
30,Alex Nylander,L,25.6,73,192,45.36417006799541,11.197353478107166,1.1354890023583522,0.13967919162511155
31,Alex Ovechkin,L,38.0,75,238,69.25043601701023,14.867194256370349,4.139553125642875,0.0
