,Player,Position,Age,Height,Weight,Projected A1,Projected A2,Projected Assists,StDev,5th Percentile,95th Percentile,90A Probability,80A Probability,70A Probability,60A Probability,50A Probability,40A Probability,30A Probability
0,Connor McDavid,C,26.7,73,193,58.72304979150920,33.477179370891300,92.20022916240050,7.879736826558370,77.32656949548000,103.0923287546520,0.578,0.903,0.992,1.0,1.0,1.0,1.0
1,Nathan MacKinnon,C,28.1,72,200,55.46257871439380,31.65435574571060,87.11693446010440,6.4079813007534900,66.10484311096110,86.86867070193750,0.016,0.348,0.87,0.993,1.0,1.0,1.0
2,Mitchell Marner,R,26.4,72,181,52.84266911113130,29.94497626794270,82.78764537907390,4.060316485845730,70.8655208285109,84.2877462657755,0.001,0.286,0.964,1.0,1.0,1.0,1.0
3,Leon Draisaitl,C,27.9,74,208,50.76620961374010,29.474318563242500,80.24052817698250,6.130654267358560,61.978947117127500,81.91654146337310,0.003,0.085,0.639,0.976,1.0,1.0,1.0
4,Matthew Tkachuk,L,25.8,74,201,45.5731063247256,29.262918323072300,74.83602464779790,3.6086713765822800,57.18852217011020,69.05405744241870,0.0,0.0,0.026,0.804,1.0,1.0,1.0
5,Artemi Panarin,L,31.9,72,173,41.92421475556450,29.841646457305100,71.76586121286960,5.060941624453690,58.09931437002410,74.64593085828720,0.0,0.003,0.257,0.911,0.999,1.0,1.0
6,Nikita Kucherov,R,30.3,71,181,39.90351941444960,25.795457859081900,65.69897727353140,8.10659140340189,51.710248441273300,77.4423077963162,0.002,0.022,0.255,0.744,0.964,0.997,1.0
7,Aleksander Barkov,C,28.1,75,215,38.95873699456640,28.286812498392200,67.24554949295860,4.704063917732750,50.1204792912437,65.15658426590630,0.0,0.0,0.0,0.38,0.952,0.997,1.0
8,Jason Robertson,L,24.2,75,200,37.082907241735000,25.079636964486200,62.16254420622120,2.7002877089882300,50.17238718810090,58.919413433141400,0.0,0.0,0.0,0.019,0.954,1.0,1.0
9,Sidney Crosby,C,36.2,71,200,35.588001394277100,25.14826881457890,60.736270208855900,9.489241716932340,48.920921407111800,70.01954187506290,0.01,0.021,0.051,0.298,0.922,1.0,1.0
10,Jonathan Huberdeau,C,30.3,73,200,35.21981999926990,25.881210528812100,61.101030528082000,3.4759328115449300,53.93074315016760,65.03566140260600,0.0,0.0,0.006,0.399,1.0,1.0,1.0
11,Johnny Gaudreau,L,30.1,69,165,34.67262090938630,24.037276489760200,58.70989739914640,4.93521940306446,47.1940667004016,63.372865518942700,0.0,0.0,0.002,0.18,0.87,0.998,1.0
12,David Pastrnak,R,27.4,73,195,33.99209214256610,23.56892941519550,57.561021557761600,4.004695032035750,43.34973118386520,56.07886232502580,0.0,0.0,0.0,0.004,0.56,0.986,1.0
13,Robert Thomas,C,24.2,72,218,33.76961514493060,23.771205949730500,57.540821094661100,5.095139882046210,42.99784721186160,59.035442905082100,0.001,0.002,0.002,0.03,0.617,0.984,1.0
14,Brad Marchand,L,35.4,69,176,33.67402723316750,21.066638900850600,54.740666134018100,3.7130796128237800,46.013667216196000,57.85297957253170,0.0,0.0,0.0,0.014,0.723,0.999,1.0
15,Auston Matthews,C,26.0,75,208,33.28200758939230,25.716932611126400,58.99894020051870,2.381938884863720,46.410335009463200,54.21739597559040,0.0,0.0,0.0,0.0,0.607,1.0,1.0
16,Patrick Kane,R,34.9,70,177,31.98554717073220,22.030004401339200,54.015551572071400,2.829638173040460,42.72750153021260,51.844197458399300,0.0,0.0,0.0,0.0,0.191,0.997,1.0
17,Victor Hedman,D,32.8,79,244,31.858913883601200,24.66515664640080,56.52407053000190,4.164143690518330,44.992599341657700,58.07132523355420,0.0,0.0,0.0,0.02,0.674,0.996,1.0
18,Mikko Rantanen,R,26.9,76,215,31.62288758327350,23.429512104363300,55.052399687636800,3.6812200620682600,40.33849479925290,52.20842024301590,0.0,0.0,0.0,0.001,0.177,0.954,1.0
19,Elias Pettersson,C,24.9,74,176,31.395792093503200,24.32375674355850,55.71954883706160,3.412620574908390,43.00498061666460,52.57623380636910,0.001,0.001,0.001,0.003,0.199,0.994,1.0
20,Kevin Fiala,L,27.2,70,204,31.03478047849110,20.273140062411700,51.30792054090270,3.370433855196960,42.62986592516610,53.65894523185840,0.0,0.0,0.0,0.001,0.333,0.991,1.0
