,Player,Projected Goals,Projected A1,Projected A2,Projected Assists,Projected Points,StDev,5th Percentile,95th Percentile,150P Probability,140P Probability,130P Probability,120P Probability,110P Probability,100P Probability,90P Probability,80P Probability,70P Probability,60P Probability,50P Probability,40P Probability,30P Probability
0,Auston Matthews,57.506307396170700,33.28200758939230,25.716932611126400,58.99894020051870,116.50524759668900,5.090978953386920,98.76013080111440,115.44106760560700,0.0,0.0,0.0,0.005,0.346,0.928,0.998,1.0,1.0,1.0,1.0,1.0,1.0
1,David Pastrnak,54.2357206872768,33.99209214256610,23.56892941519550,57.561021557761600,111.79674224503800,7.840133320598430,87.46157974196460,112.31774697134400,0.0,0.0,0.0,0.0,0.098,0.585,0.908,0.986,0.999,1.0,1.0,1.0,1.0
2,Connor McDavid,52.529843587354900,58.72304979150920,33.477179370891300,92.20022916240050,144.73007274975500,10.610172849115700,118.46931565488200,153.32908614707300,0.117,0.457,0.791,0.935,0.988,0.999,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,Leon Draisaitl,49.68900395668170,50.76620961374010,29.474318563242500,80.24052817698250,129.9295321336640,11.993594940718500,108.53961371512900,146.5283301573860,0.022,0.183,0.484,0.769,0.934,0.989,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,Jason Robertson,46.4267643392191,37.082907241735000,25.079636964486200,62.16254420622120,108.58930854544000,4.571848793195830,89.53830134232370,104.75624107186300,0.0,0.0,0.0,0.0,0.001,0.33,0.94,1.0,1.0,1.0,1.0,1.0,1.0
5,Alex Ovechkin,45.738416352152700,20.65023694196170,16.961959695917000,37.61219663787870,83.35061299003140,8.795344162714590,59.837611112805000,83.03653472974080,0.001,0.002,0.003,0.003,0.008,0.01,0.02,0.089,0.565,0.947,0.999,1.0,1.0
6,Mikko Rantanen,44.93796283816630,31.62288758327350,23.429512104363300,55.052399687636800,99.99036252580320,6.450009751401910,75.02865351533450,96.00010357090770,0.0,0.0,0.0,0.0,0.0,0.013,0.307,0.849,0.987,1.0,1.0,1.0,1.0
7,Kirill Kaprizov,43.37060757625100,27.372778973248100,18.826070418208000,46.19884939145610,89.56945696770710,5.470108963230110,69.41718327285950,86.99804724560440,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.423,0.943,0.999,1.0,1.0,1.0
8,Brayden Point,42.834379634068100,27.181715801621300,23.88979010259570,51.07150590421700,93.90588553828510,6.470256729269410,71.40387062316170,91.33241072802140,0.0,0.0,0.0,0.001,0.002,0.012,0.069,0.562,0.97,1.0,1.0,1.0,1.0
9,Nathan MacKinnon,42.044482362606400,55.46257871439380,31.65435574571060,87.11693446010440,129.16141682271100,8.692694777701800,98.61214572038380,126.06618358791400,0.0,0.0,0.011,0.204,0.631,0.924,0.992,1.0,1.0,1.0,1.0,1.0,1.0
