,Player,Position,Team,Age,Games,Average TOI,Goals,Primary Assists,Secondary Assists,Total Assists,Points
1,Connor McDavid,C,EDM,26.7,76,22.1,53,59,33,92,145
2,Leon Draisaitl,C/LW,EDM,27.9,75,21.1,50,51,29,80,130
3,Nathan MacKinnon,C,COL,28.1,75,21.4,42,55,32,87,129
4,Auston Matthews,C,TOR,26,80,19.9,58,33,26,59,117
5,Mitchell Marner,RW,TOR,26.4,78,21.5,33,53,30,83,116
6,Matthew Tkachuk,LW/RW,FLA,25.8,78,20.0,40,46,29,75,115
7,David Pastrnak,RW,BOS,27.4,74,19.4,54,34,24,58,112
8,Jason Robertson,LW,DAL,24.2,80,19.1,46,37,25,62,109
9,Aleksander Barkov,C,FLA,28.1,73,21.0,35,39,28,67,102
10,Mikko Rantanen,RW,COL,26.9,71,20.9,45,32,23,55,100
11,Artemi Panarin,LW,NYR,31.9,74,19.4,27,42,30,72,99
12,Nikita Kucherov,RW,TB,30.3,67,19.6,31,40,26,66,97
13,Elias Pettersson,C,VAN,24.9,78,20.1,38,31,24,56,94
14,Brayden Point,C,TB,27.6,75,19.6,43,27,24,51,94
15,William Nylander,RW,TOR,27.4,80,17.9,39,29,24,53,92
16,Kyle Connor,LW,WPG,26.8,75,20.1,40,28,23,51,90
17,Sidney Crosby,C,PIT,36.2,74,19.5,29,36,25,61,90
18,Kirill Kaprizov,LW,MIN,26.4,75,19.6,43,27,19,46,90
19,Brady Tkachuk,LW,OTT,24,75,19.1,36,30,21,51,87
20,Johnny Gaudreau,LW,CBJ,30.1,73,19.1,27,35,24,59,86
21,J.T. Miller,C/RW,VAN,30.6,81,20.4,29,31,26,57,86
22,Jonathan Huberdeau,LW,CGY,30.3,78,17.1,24,35,26,61,85
23,Mika Zibanejad,C,NYR,30.5,74,19.3,35,30,20,50,84
24,Clayton Keller,LW/RW,ARI,25.2,76,19.9,35,29,20,48,84
25,Jake Guentzel,LW,PIT,29,68,20.3,35,29,20,49,84
26,Andrei Svechnikov,LW/RW,CAR,23.5,77,18.4,33,28,22,51,83
27,Alex Ovechkin,LW,WSH,38,72,19.6,46,21,17,38,83
28,Steven Stamkos,C/LW,TB,33.6,71,18.1,34,29,21,50,83
29,Pavel Buchnevich,C/LW,STL,28.5,74,19.1,32,30,20,51,83
30,Mark Scheifele,C,WPG,30.5,77,19.5,38,23,21,44,82
31,Jordan Kyrou,C/RW,STL,25.4,81,17.9,37,29,17,45,82
32,Kevin Fiala,LW,LA,27.2,76,17.5,30,31,20,51,82
33,Nico Hischier,C,NJ,24.7,78,19.4,31,31,19,50,81
34,Brad Marchand,LW,BOS,35.4,75,17.9,26,34,21,55,81
35,Timo Meier,LW/RW,NJ,27,79,19.3,36,23,20,43,79
36,Patrick Kane,RW,NYR,34.9,77,19.7,25,32,22,54,79
37,Sam Reinhart,C/RW,FLA,27.9,80,19.8,34,24,21,45,79
38,Tage Thompson,C,BUF,25.9,73,18.1,40,23,15,39,79
39,Jack Hughes,C/LW,NJ,22.4,68,19.1,34,26,18,44,78
40,Robert Thomas,C,STL,24.2,72,18.9,19,34,24,58,77
41,Dylan Larkin,C,DET,27.2,76,19.5,29,27,21,48,76
42,Brock Nelson,C,NYI,32,77,17.7,37,21,18,39,76
43,Zach Hyman,LW/RW,EDM,31.3,73,19.6,30,25,21,46,76
44,Roope Hintz,C,DAL,26.9,68,18.0,32,26,17,44,75
45,Pierre-Luc Dubois,C/LW,LA,25.3,78,18.7,30,24,21,45,75
46,Alex Tuch,RW,BUF,27.4,71,19.1,33,25,17,43,75
47,John Tavares,C,TOR,33,77,17.2,28,25,22,46,75
48,Martin Necas,C/RW,CAR,24.7,79,18.0,26,27,21,48,75
49,Bo Horvat,C,NYI,28.5,78,20.0,34,23,17,40,74
50,Jesper Bratt,LW/RW,NJ,25.2,74,17.9,27,27,19,46,74
51,Mathew Barzal,C/RW,NYI,26.4,72,18.9,21,30,22,52,73
52,Alex DeBrincat,LW/RW,DET,25.8,74,18.4,33,22,17,40,72
53,Ryan Nugent-Hopkins,C/LW,EDM,30.5,73,19.5,25,24,23,47,72
54,Tyler Toffoli,RW,NJ,31.4,80,16.6,34,19,19,38,72
55,Anze Kopitar,C,LA,36.1,78,20.0,23,27,22,49,72
56,Claude Giroux,C/RW,OTT,35.7,79,18.0,30,23,19,42,72
57,Trevor Zegras,C,ANA,22.5,79,19.2,25,28,19,47,71
58,Matt Boldy,LW/RW,MIN,22.5,71,18.6,31,21,18,39,70
59,Jared McCann,LW,SEA,27.3,74,16.7,35,20,15,35,70
60,Elias Lindholm,C,CGY,28.8,76,18.5,27,24,20,43,70
61,Victor Hedman,D,TB,32.8,76,24.9,13,32,25,57,69
62,Nick Schmaltz,C/RW,ARI,27.6,71,18.9,22,26,20,46,68
63,Patrik Laine,LW/RW,CBJ,25.5,66,19.6,29,22,18,40,68
64,Jeff Skinner,LW,BUF,31.4,77,16.9,29,23,17,39,68
65,Adam Fox,D,NYR,25.6,75,24.3,12,30,26,56,68
66,Brandon Hagel,LW,TB,25.1,80,18.5,32,20,15,36,67
67,Joel Eriksson Ek,C,MIN,26.7,77,19.5,25,22,20,43,67
68,Nick Suzuki,C,MTL,24.1,77,19.9,23,24,20,44,67
69,Tomas Hertl,C,SJ,29.9,71,18.9,26,22,19,41,67
70,Drake Batherson,RW,OTT,25.4,75,18.4,25,25,17,42,67
71,Vincent Trocheck,C,NYR,30.2,77,17.9,22,27,18,45,66
72,Brock Boeser,RW,VAN,26.6,75,17.4,25,22,19,41,66
73,Roman Josi,D,NSH,33.3,73,24.7,16,28,23,50,66
74,Chandler Stephenson,C,VGK,29.4,79,18.8,20,25,22,46,66
75,Valeri Nichushkin,LW/RW,COL,28.6,71,19.0,24,22,20,42,66
76,Brayden Schenn,C/LW,STL,32.1,76,17.9,23,23,19,43,65
77,Chris Kreider,LW,NYR,32.4,77,17.2,37,14,14,28,65
78,Jonathan Marchessault,RW,VGK,32.8,78,16.7,27,22,16,38,65
79,Travis Konecny,RW,PHI,26.6,65,19.9,27,22,15,38,65
80,Joe Pavelski,C/RW,DAL,39.2,78,16.7,22,23,19,42,64
81,Erik Karlsson,D,PIT,33.3,65,23.8,14,27,23,50,64
82,Matty Beniers,C,SEA,20.9,78,18.4,26,22,15,37,63
83,Dougie Hamilton,D,NJ,30.3,68,23.4,16,25,23,47,63
84,Dylan Cozens,C,BUF,22.6,77,17.2,27,21,14,35,62
85,Adrian Kempe,C/RW,LA,27,75,18.9,32,16,14,30,62
86,Evgeni Malkin,C,PIT,37.2,63,16.6,20,23,18,42,62
87,Nikolaj Ehlers,LW,WPG,27.6,58,16.1,24,22,15,37,62
88,Troy Terry,RW,ANA,26.1,68,18.9,24,22,15,37,61
89,Dawson Mercer,C/RW,NJ,21.9,80,17.5,26,23,12,35,61
90,Rickard Rakell,RW,PIT,30.4,78,17.9,25,18,18,36,61
91,David Perron,LW/RW,DET,35.3,78,16.0,25,19,16,35,60
92,Andrew Mangiapane,LW/RW,CGY,27.5,78,16.8,27,19,14,33,60
93,Andre Burakovsky,LW/RW,SEA,28.6,67,16.8,22,22,17,39,60
94,Filip Forsberg,LW,NSH,29.1,62,17.1,27,19,15,33,60
95,Miro Heiskanen,D,DAL,24.2,76,25.3,12,26,22,49,60
96,Michael Bunting,LW,CAR,28,75,15.7,23,22,14,36,59
97,Carter Verhaeghe,C/LW,FLA,28.1,71,15.1,30,15,14,29,59
98,Mats Zuccarello,RW,MIN,36.1,68,17.4,18,25,16,41,58
99,Logan Couture,C,SJ,34.5,75,17.9,25,18,15,34,58
100,Vladimir Tarasenko,RW,OTT,31.8,69,16.8,24,18,16,34,58
101,Andrei Kuzmenko,LW,VAN,27.7,77,16.1,26,17,15,32,58
102,Max Domi,C/LW,TOR,28.6,77,17.2,18,24,15,39,57
103,Pavel Zacha,C,BOS,26.5,78,16.9,21,19,17,36,57
104,Nazem Kadri,C,CGY,33,70,17.0,20,22,16,37,57
105,J.T. Compher,LW/RW,DET,28.5,78,19.3,21,19,17,36,57
106,Jamie Benn,LW,DAL,34.2,78,14.8,22,18,17,35,57
107,Mikhail Sergachev,D,TB,25.3,79,24.3,9,26,22,47,57
108,Patrice Bergeron,C,-,38.2,78,15.3,23,16,17,33,56
109,Matt Duchene,C/RW,DAL,32.7,69,17.3,22,19,15,34,56
110,Alex Killorn,LW/RW,ANA,34,79,16.3,24,18,15,33,56
111,Anders Lee,LW,NYI,33.2,78,16.9,30,14,12,26,56
112,Artturi Lehkonen,LW,COL,28.2,72,19.0,23,17,16,33,56
113,Seth Jarvis,C/RW,CAR,21.7,76,16.7,21,22,14,35,56
114,Jordan Eberle,RW,SEA,33.4,77,16.3,22,20,14,34,56
115,Phillip Danault,C,LA,30.6,78,18.0,19,19,17,37,56
116,Evgeny Kuznetsov,C,WSH,31.4,68,17.6,14,24,17,41,55
117,Josh Morrissey,D,WPG,28.5,71,23.6,13,23,19,42,55
118,Bryan Rust,RW,PIT,31.4,71,17.9,24,16,15,31,55
119,Tim Stutzle,C/LW,OTT,21.7,70,21.0,21,20,14,34,55
120,Lucas Raymond,LW/RW,DET,21.5,76,18.1,21,18,15,33,55
121,Kevin Hayes,C,STL,31.4,74,17.3,18,22,14,37,55
122,Cale Makar,D,COL,24.9,56,25.2,13,23,18,41,54
123,Ryan Strome,LW/RW,ANA,30.2,77,16.7,18,18,17,36,54
124,William Karlsson,C,VGK,30.7,78,17.3,16,20,18,38,54
125,Nino Niederreiter,RW,WPG,31.1,79,15.7,27,13,13,26,53
126,Quinn Hughes,D,VAN,24,71,23.9,7,25,21,46,53
127,Andrew Copp,C,DET,29.2,78,17.9,16,22,14,37,52
128,Sam Bennett,C,FLA,27.3,66,17.8,22,17,14,31,52
129,Jack Eichel,C,VGK,26.9,57,18.4,21,17,14,31,52
130,Jack Roslovic,C,CBJ,26.7,74,17.1,17,19,15,34,51
131,Conor Garland,RW,VAN,27.6,74,15.7,19,18,14,32,51
132,Charlie McAvoy,D,BOS,25.8,69,23.5,9,23,19,42,51
133,Mikael Backlund,C,CGY,34.5,80,17.2,15,20,16,36,51
134,Noah Cates,C/LW,PHI,24.7,78,18.0,20,16,14,30,51
135,Rasmus Andersson,D,CGY,26.9,80,24.4,9,22,19,41,50
136,Joel Farabee,LW,PHI,23.6,71,17.4,21,15,14,30,50
