,Player,Year,Position,Age,Height,Weight,Draft Position,Y1 GP,Y2 GP,Y3 GP,Y4 GP,Y5 GP
Instance ID,,,,,,,,,,,,
Eric Staal 2008,Eric Staal,2008,C,22.922,76,195,2,,,,,82.0
Eric Staal 2009,Eric Staal,2009,C,23.924,76,195,2,,,,82.0,82.0
Eric Staal 2010,Eric Staal,2010,C,24.923,76,195,2,,,82.0,82.0,70.0
Eric Staal 2011,Eric Staal,2011,C,25.923,76,195,2,,82.0,82.0,70.0,81.0
Eric Staal 2012,Eric Staal,2012,C,26.922,76,195,2,82.0,82.0,70.0,81.0,82.0
Eric Staal 2013,Eric Staal,2013,C,27.924,76,195,2,82.0,70.0,81.0,82.0,48.0
Eric Staal 2014,Eric Staal,2014,C,28.923,76,195,2,70.0,81.0,82.0,48.0,79.0
Eric Staal 2015,Eric Staal,2015,C,29.923,76,195,2,81.0,82.0,48.0,79.0,77.0
Eric Staal 2016,Eric Staal,2016,C,30.922,76,195,2,82.0,48.0,79.0,77.0,83.0
Eric Staal 2017,Eric Staal,2017,C,31.924,76,195,2,48.0,79.0,77.0,83.0,82.0
Eric Staal 2018,Eric Staal,2018,C,32.924,76,195,2,79.0,77.0,83.0,82.0,82.0
Eric Staal 2019,Eric Staal,2019,C,33.923,76,195,2,77.0,83.0,82.0,82.0,81.0
Eric Staal 2020,Eric Staal,2020,C,34.922,76,195,2,83.0,82.0,82.0,81.0,66.0
Eric Staal 2021,Eric Staal,2021,C,35.924,76,195,2,82.0,82.0,81.0,66.0,53.0
Eric Staal 2022,Eric Staal,2022,C,36.924,76,195,2,82.0,81.0,66.0,53.0,
Eric Staal 2023,Eric Staal,2023,C,37.923,76,195,2,81.0,66.0,53.0,,72.0
Ryan Suter 2008,Ryan Suter,2008,D,22.692,73,205,7,,,,,76.0
Ryan Suter 2009,Ryan Suter,2009,D,23.694,73,205,7,,,,76.0,82.0
Ryan Suter 2010,Ryan Suter,2010,D,24.693,73,205,7,,,76.0,82.0,82.0
Ryan Suter 2011,Ryan Suter,2011,D,25.693,73,205,7,,76.0,82.0,82.0,70.0
Ryan Suter 2012,Ryan Suter,2012,D,26.692,73,205,7,76.0,82.0,82.0,70.0,79.0
Ryan Suter 2013,Ryan Suter,2013,D,27.694,73,205,7,82.0,82.0,70.0,79.0,48.0
Ryan Suter 2014,Ryan Suter,2014,D,28.693,73,205,7,82.0,70.0,79.0,48.0,82.0
Ryan Suter 2015,Ryan Suter,2015,D,29.693,73,205,7,70.0,79.0,48.0,82.0,77.0
Ryan Suter 2016,Ryan Suter,2016,D,30.692,73,205,7,79.0,48.0,82.0,77.0,82.0
Ryan Suter 2017,Ryan Suter,2017,D,31.694,73,205,7,48.0,82.0,77.0,82.0,82.0
Ryan Suter 2018,Ryan Suter,2018,D,32.694,73,205,7,82.0,77.0,82.0,82.0,78.0
Ryan Suter 2019,Ryan Suter,2019,D,33.693,73,205,7,77.0,82.0,82.0,78.0,82.0
Ryan Suter 2020,Ryan Suter,2020,D,34.692,73,205,7,82.0,82.0,78.0,82.0,69.0
Ryan Suter 2021,Ryan Suter,2021,D,35.694,73,205,7,82.0,78.0,82.0,69.0,56.0
Ryan Suter 2022,Ryan Suter,2022,D,36.694,73,205,7,78.0,82.0,69.0,56.0,82.0
Ryan Suter 2023,Ryan Suter,2023,D,37.693,73,205,7,82.0,69.0,56.0,82.0,82.0
Jeff Carter 2008,Jeff Carter,2008,C,22.747,75,219,11,,,,,82.0
Jeff Carter 2009,Jeff Carter,2009,C,23.749,75,219,11,,,,82.0,82.0
Jeff Carter 2010,Jeff Carter,2010,C,24.748,75,219,11,,,82.0,82.0,74.0
Jeff Carter 2011,Jeff Carter,2011,C,25.747,75,219,11,,82.0,82.0,74.0,80.0
Jeff Carter 2012,Jeff Carter,2012,C,26.747,75,219,11,82.0,82.0,74.0,80.0,55.0
Jeff Carter 2013,Jeff Carter,2013,C,27.749,75,219,11,82.0,74.0,80.0,55.0,48.0
