,Player,Team,Position,Age,Date of Birth,Birth City,Birth State/Province,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Team,Draft Round,Round Pick,Overall Draft Position
0,Eric Staal,FLA,C,38,1984-10-29,Thunder Bay,ON,CAN,CAN,76,195,2003,CAR,1,2,2
1,Ryan Suter,DAL,D,38,1985-01-21,Madison,WI,USA,USA,73,205,2003,NSH,1,7,7
2,Jeff Carter,PIT,C,38,1985-01-01,London,ON,CAN,CAN,75,219,2003,PHI,1,11,11
3,Zach Parise,NYI,L,38,1984-07-28,Minneapolis,MN,USA,USA,71,195,2003,N.J,1,17,17
4,Brent Burns,CAR,D,38,1985-03-09,Barrie,ON,CAN,CAN,77,230,2003,MIN,1,20,20
5,Corey Perry,T.B,R,37,1985-05-16,Peterborough,ON,CAN,CAN,75,208,2003,ANA,1,28,28
6,Patrice Bergeron,BOS,C,37,1985-07-24,Ancienne-Lorette,QC,CAN,CAN,73,196,2003,BOS,2,15,45
7,Joe Pavelski,DAL,C,38,1984-07-11,Plover,WI,USA,USA,71,200,2003,S.J,7,8,205
8,Mark Giordano,TOR,D,39,1983-10-03,Toronto,ON,CAN,CAN,72,205,-,-,-,-,-
9,Alex Ovechkin,WSH,L,37,1985-09-17,Moscow,,RUS,RUS,75,238,2004,WSH,1,1,1
10,Evgeni Malkin,PIT,C,36,1986-07-31,Magnitogorsk,,RUS,RUS,75,195,2004,PIT,1,2,2
11,Blake Wheeler,WPG,R,36,1986-08-31,Plymouth,MN,USA,USA,77,220,2004,PHX,1,5,5
12,Alex Goligoski,MIN,D,37,1985-07-30,Grand Rapids,MN,USA,USA,71,173,2004,PIT,2,31,61
13,David Krejci,BOS,C,36,1986-04-28,Sternberk,,CZE,CZE,72,192,2004,BOS,2,33,63
14,Alexander Edler,L.A,D,36,1986-04-21,Ostersund,,SWE,SWE,76,210,2004,VAN,3,26,91
15,Paul Stastny,CAR,C,37,1985-12-27,Quebec City,QC,CAN,USA,72,193,2005,COL,2,14,44
16,Sidney Crosby,PIT,C,35,1987-08-07,Cole Harbour,NS,CAN,CAN,71,200,2005,PIT,1,1,1
17,Jack Johnson,"CHI, COL",D,36,1987-01-13,Indianapolis,IN,USA,USA,73,227,2005,CAR,1,3,3
18,Anze Kopitar,L.A,C,35,1987-08-24,Jesenice,,SVN,SVN,75,225,2005,L.A,1,11,11
19,Marc Staal,FLA,D,36,1987-01-13,Thunder Bay,ON,CAN,CAN,76,208,2005,NYR,1,12,12
20,T.J. Oshie,WSH,R,36,1986-12-23,Everett,WA,USA,USA,72,187,2005,STL,1,24,24
21,Andrew Cogliano,COL,C,35,1987-06-14,Toronto,ON,CAN,CAN,70,179,2005,EDM,1,25,25
