Player,Position,Age,Year 1,Year 2,Year 3,Year 4
Thomas Chabot,D,26,20.75,22.44,22.54,22.52
Miro Heiskanen,D,23,20.06,19.25,20.65,20.90
Darnell Nurse,D,28,20.05,20.19,21.76,21.08
Zach Werenski,D,25,19.15,19.27,20.15,20.83
Seth Jones,D,28,21.19,20.22,21.06,20.87
Roman Josi,D,32,19.59,20.41,20.72,21.41
Quinn Hughes,D,23,,17.89,19.04,20.53
Colton Parayko,D,29,20.04,20.15,18.78,21.21
Devon Toews,D,29,16.02,18.10,19.92,20.85
Cale Makar,D,24,,17.03,19.19,20.42
Rasmus Dahlin,D,23,18.15,15.80,18.43,20.04
Ivan Provorov,D,26,20.63,18.89,19.75,19.96
Drew Doughty,D,33,21.18,20.47,20.95,20.54
Shea Theodore,D,27,17.51,18.86,19.16,20.34
Josh Morrissey,D,28,17.84,19.98,19.39,20.06
Travis Sanheim,D,27,17.91,17.28,19.16,20.13
Kris Letang,D,35,20.53,19.98,20.02,20.81
Jakob Chychrun,D,25,17.62,18.69,19.60,19.33
Charlie McAvoy,D,25,19.30,19.86,19.53,19.31
Brent Burns,D,38,19.78,20.07,20.54,20.59
Samuel Girard,D,24,17.72,18.68,19.55,19.14
Justin Faulk,D,31,17.75,18.28,20.66,19.80
MacKenzie Weegar,D,29,15.24,17.96,19.00,19.95
Mario Ferraro,D,24,,14.71,18.46,19.62
Alex Pietrangelo,D,33,19.26,19.20,19.64,19.96
K'Andre Miller,D,23,,,18.39,18.69
Hampus Lindholm,D,29,19.70,18.43,,19.46
Morgan Rielly,D,29,19.44,19.79,20.25,19.08
Jaccob Slavin,D,28,18.81,19.33,20.07,18.90
Jonas Brodin,D,29,18.15,18.99,19.32,19.22
Adam Fox,D,25,,16.68,18.36,18.82
Matt Dumba,D,28,19.11,18.62,18.33,19.26
Brian Dumoulin,D,31,18.50,,19.48,19.28
Mikhail Sergachev,D,24,16.18,17.22,18.02,18.74
Henri Jokiharju,D,23,17.15,15.86,17.21,18.77
Victor Hedman,D,32,17.33,18.57,19.25,19.44
John Klingberg,D,30,20.79,19.22,19.41,19.07
Aaron Ekblad,D,27,19.63,19.31,18.73,18.63
Moritz Seider,D,22,,,,18.15
Esa Lindell,D,28,19.93,18.39,18.98,18.92
Filip Hronek,D,25,17.10,18.11,18.78,18.48
Mikey Anderson,D,23,,,19.03,18.04
Connor Murphy,D,30,17.37,18.30,19.20,18.92
Dmitry Orlov,D,31,19.45,19.74,18.38,19.22
Nick Leddy,D,32,18.31,18.97,18.95,19.15
Jacob Trouba,D,29,18.33,18.29,17.70,19.12
Adam Larsson,D,30,19.53,17.90,17.23,19.51
Cam Fowler,D,31,19.36,18.54,17.97,19.35
Vladislav Gavrikov,D,27,,17.35,17.28,19.07
Adam Pelech,D,28,16.87,18.26,18.65,18.72
Jamie Drysdale,D,21,,,,17.76
Erik Karlsson,D,32,19.52,18.90,19.37,19.00
Rasmus Ristolainen,D,28,19.46,18.18,18.18,18.84
Ryan Suter,D,38,21.32,19.15,17.73,19.92
Damon Severson,D,28,18.09,18.33,18.52,18.69
Ben Chiarot,D,31,16.82,19.81,18.64,18.75
Brett Pesce,D,28,17.84,18.27,18.75,18.44
Andrew Peeke,D,25,,,,18.13
Tyler Myers,D,33,17.00,18.40,17.93,19.08
Artem Zub,D,27,,,16.12,18.90
TJ Brodie,D,32,18.54,18.01,19.10,18.77
Gustav Forsling,D,26,15.76,,16.91,18.53
Brady Skjei,D,29,18.76,17.93,17.91,18.52
Dante Fabbro,D,24,,18.07,17.42,17.89
Ryan Pulock,D,28,18.69,19.05,18.97,18.07
Neal Pionk,D,27,16.79,19.46,18.99,17.87
Martin Fehervary,D,23,,,,17.82
Mattias Ekholm,D,32,19.75,19.15,18.62,18.63
Connor McDavid,C,26,18.78,17.64,17.78,18.10
Mattias Samuelsson,D,23,,,,17.65
Ryan McDonagh,D,33,18.28,17.17,18.57,18.78
Noah Hanifin,D,26,17.95,18.06,18.65,17.55
Dougie Hamilton,D,29,17.53,17.73,18.28,18.21
Rasmus Andersson,D,26,14.66,17.57,17.62,17.92
Vince Dunn,D,26,15.28,14.66,17.50,18.14
Alexander Romanov,D,23,,,15.53,17.65
Ryan Lindgren,D,25,,14.29,17.30,17.79
Dysin Mayo,D,26,,,,17.85
Jonas Siegenthaler,D,25,,12.40,,18.10
Matt Roy,D,28,,16.57,16.85,18.13
Noah Dobson,D,23,,12.19,14.33,18.08
Shayne Gostisbehere,D,29,16.08,15.49,17.04,18.42
Oliver Ekman-Larsson,D,31,18.78,18.21,16.81,18.48
John Carlson,D,33,18.40,18.99,18.54,18.09
Jake Bean,D,24,,,13.29,18.30
Auston Matthews,C,25,15.96,17.61,18.11,17.35
John Marino,D,25,,17.35,17.50,17.27
Ryan Graves,D,27,,15.98,15.71,18.17
Mike Matheson,D,29,19.11,16.36,17.58,17.82
Cody Ceci,D,29,19.58,17.54,15.96,18.22
Jake Muzzin,D,34,18.39,18.69,18.41,17.84
Leon Draisaitl,C,27,18.08,17.70,17.26,17.54
Jeff Petry,D,35,18.46,19.14,18.34,18.02
Nate Schmidt,D,31,18.63,18.96,17.27,17.81
David Savard,D,32,17.93,18.55,17.66,17.84
Torey Krug,D,32,17.38,16.37,19.28,17.52
Justin Holl,D,31,,16.38,18.31,17.60
Mark Scheifele,C,30,17.10,18.16,17.54,17.53
Jake McCabe,D,29,16.74,16.15,,17.60
Patrick Kane,R,34,18.70,17.49,18.15,17.97
Jamie Oleksiak,D,30,14.27,15.13,18.82,17.38
Evan Bouchard,D,23,,,,16.78
Anton Stralman,D,36,17.53,18.30,16.58,18.24
Alexandre Carrier,D,26,,,,17.08
Erik Brannstrom,D,23,,13.08,,16.87
Nathan MacKinnon,C,27,17.90,16.91,16.23,17.31
Scott Mayfield,D,30,16.34,17.30,17.04,17.36
Ty Smith,D,23,,,17.36,16.06
Mike Reilly,D,29,16.75,15.93,16.47,17.39
Brandon Carlo,D,26,18.10,17.13,,16.79
Zach Whitecloud,D,26,,,15.87,17.04
Oliver Kylington,D,25,12.37,13.53,,16.96
Jacob Middleton,D,27,,,,16.85
Kevin Shattenkirk,D,34,16.07,17.07,18.36,17.22
Jack Hughes,C,21,,12.54,16.02,16.55
Jacob Bryson,D,25,,,16.52,16.62
Christopher Tanev,D,33,16.81,15.89,18.41,17.22
Jaycob Megna,D,30,,,,17.04
Matt Grzelcyk,D,29,16.84,15.37,16.55,17.05
Kyle Connor,L,26,15.05,16.67,15.50,16.94
Calvin de Haan,D,31,16.40,,16.63,17.19
Mikko Rantanen,R,26,16.73,15.39,15.90,16.99
P.K. Subban,D,33,18.53,17.95,18.72,16.81
Nicolas Hague,D,24,,15.06,14.71,16.68
Jack Eichel,C,26,16.37,18.01,,16.43
Erik Cernak,D,25,16.74,15.71,16.69,16.22
Brayden McNabb,D,32,16.61,16.77,16.74,17.00
Travis Hamonic,D,32,17.78,17.78,17.32,16.87
Nikita Zaitsev,D,31,17.56,18.87,19.58,16.10
Tony DeAngelo,D,27,17.24,16.11,,16.58
Brenden Dillon,D,32,16.58,17.23,17.05,16.97
Dylan Larkin,C,26,18.09,17.24,17.23,16.25
Josh Manson,D,31,19.01,17.87,,16.79
Duncan Keith,D,39,19.61,19.27,18.18,17.31
J.J. Moser,D,22,,,,15.94
Jake Guentzel,"C, L",28,16.70,17.09,17.17,16.45
Tobias Bjornfot,D,22,,,15.47,15.54
Alex DeBrincat,"L, R",25,14.31,13.94,16.17,16.54
Brandon Montour,D,29,18.96,17.66,18.14,15.90
Brett Kulak,D,29,17.34,16.84,15.92,16.51
Alex Goligoski,D,37,17.37,18.71,19.07,16.55
Justin Braun,D,36,17.89,15.15,16.01,17.31
Nikita Zadorov,D,27,15.44,15.86,17.34,15.93
Jordan Oesterle,D,30,16.07,15.30,15.10,16.89
Mitchell Marner,"C, R",25,15.88,16.04,17.33,15.72
Sean Durzi,D,24,,,,15.83
Tyler Bertuzzi,L,28,14.78,15.94,,16.15
Olli Maatta,D,28,15.71,16.19,14.98,16.36
Colin Miller,D,30,16.69,15.40,16.09,16.43
Rasmus Sandin,D,23,,,,15.47
Vladislav Kolyachonok,D,21,,,,15.30
Nick Suzuki,C,23,,13.50,14.97,15.85
Nick Holden,D,35,16.45,16.80,,16.56
Tyson Barrie,D,31,17.66,19.08,17.72,15.69
Brady Tkachuk,L,23,13.70,15.86,14.89,15.52
Dmitry Kulikov,D,32,14.58,18.39,16.85,16.06
Lucas Raymond,L,21,,,,15.26
Mark Giordano,D,39,18.26,18.38,17.53,16.71
Nicolas Meloche,D,25,,,,15.73
Jeremy Lauzon,D,25,,,15.54,15.67
Evander Kane,L,31,15.48,15.41,15.59,16.58
Timo Meier,R,26,14.63,14.38,14.13,16.35
Jared Spurgeon,D,33,19.35,17.49,17.18,16.11
Gabriel Landeskog,L,30,16.75,16.11,15.77,16.27
Clayton Keller,C,24,14.55,13.54,13.87,16.06
Nick Jensen,D,32,17.35,15.29,14.53,16.75
Sidney Crosby,C,35,17.20,16.07,17.20,16.47
Mathew Barzal,C,25,14.88,17.27,16.10,15.25
Artemi Panarin,L,31,17.02,16.81,15.66,16.20
Casey Fitzgerald,D,26,,,,15.57
Kirill Kaprizov,L,25,,,14.99,15.73
Trevor Zegras,C,22,,,,15.21
Brayden Point,C,27,15.46,15.48,14.93,15.82
Patrik Laine,R,24,13.69,16.09,15.16,15.35
Alexander Edler,D,36,18.79,18.14,17.10,16.19
Nikita Kucherov,R,29,16.20,15.22,,16.05
Marco Scandella,D,33,15.52,15.49,17.50,15.86
Will Butcher,D,28,16.38,16.22,,15.62
Nikolaj Ehlers,L,27,14.43,15.06,15.12,15.79
Pierre-Luc Dubois,C,24,15.24,15.11,13.39,15.76
Danny DeKeyser,D,33,19.21,,16.03,16.10
Jason Robertson,L,23,,,14.60,15.43
Braden Schneider,D,21,,,,14.88
Brock Boeser,R,26,15.55,14.35,15.62,15.46
Caleb Jones,D,25,,13.84,12.94,15.93
Troy Terry,R,25,12.03,12.61,12.86,16.15
Niko Mikkola,D,26,,,,15.42
Tucker Poolman,D,29,,16.44,16.80,15.29
Drake Batherson,R,24,,,13.25,15.61
Tim Stützle,L,21,,,12.90,15.00
Kyle Capobianco,D,25,,,,15.29
Adam Boqvist,D,22,,13.91,13.34,15.03
Timothy Liljegren,D,23,,,,15.02
Dylan DeMelo,D,29,17.10,17.04,14.24,15.79
Justin Schultz,D,32,,16.90,17.22,15.44
Marcus Pettersson,D,26,14.99,17.14,15.42,15.01
Kirby Dach,C,22,,12.59,,14.96
J.T. Miller,L,30,12.06,15.50,15.71,15.63
Ethan Bear,D,25,,19.20,15.56,14.56
Jaden Schwartz,L,30,15.25,15.08,14.94,15.91
Ilya Lyubushkin,D,29,13.44,13.93,15.53,15.47
Rickard Rakell,C,29,15.59,14.96,15.56,15.64
Boone Jenner,C,29,14.01,14.51,14.49,15.82
Derek Forbort,D,31,18.39,,17.83,14.93
Tomas Hertl,C,29,14.49,14.36,14.75,15.78
Radko Gudas,D,32,15.22,13.75,15.47,15.87
Johnny Gaudreau,L,29,16.70,15.81,14.85,15.53
Jon Merrill,D,31,16.50,16.52,16.53,15.09
Bo Horvat,C,28,16.90,15.50,15.92,15.02
Nico Hischier,C,24,14.55,14.32,,14.78
Matthew Tkachuk,L,25,14.37,15.30,14.81,14.91
Kailer Yamamoto,R,24,,,14.93,14.87
Zach Hyman,C,30,14.75,16.01,15.87,15.27
Connor Clifton,D,27,,13.73,16.75,14.71
Patrik Nemeth,D,31,13.26,18.47,15.65,14.98
Connor Brown,R,29,11.59,15.77,13.92,15.38
Gustav Lindstrom,D,24,,,,14.76
Anze Kopitar,C,35,17.49,16.27,15.89,15.69
Erik Gudbranson,D,31,16.13,17.01,15.39,15.13
Blake Wheeler,R,36,15.98,15.33,15.21,16.04
David Pastrnak,R,26,15.35,15.03,15.06,14.94
Alexander Barabanov,L,28,,,,15.17
Nick Schmaltz,C,27,14.35,13.21,14.25,15.29
Carson Soucy,D,28,,14.35,14.16,15.32
Josh Norris,C,23,,,13.81,14.76
Elias Pettersson,C,24,14.55,14.51,,14.71
Andrei Svechnikov,R,23,12.71,13.72,14.61,14.36
Robert Thomas,C,23,11.65,13.05,12.01,15.11
Haydn Fleury,D,26,,12.78,14.05,15.09
